year,value,anomaly,month,state,type
1895,.35,0.42,01,IN,drought
1896,-3.11,-3.04,01,IN,drought
1897,2.72,2.79,01,IN,drought
1898,1.44,1.51,01,IN,drought
1899,1.63,1.70,01,IN,drought
1900,-3.19,-3.12,01,IN,drought
1901,-2.2,-2.13,01,IN,drought
1902,-4.1,-4.03,01,IN,drought
1903,1.94,2.01,01,IN,drought
1904,.61,0.68,01,IN,drought
1905,-2.6,-2.53,01,IN,drought
1906,2.16,2.23,01,IN,drought
1907,2.49,2.56,01,IN,drought
1908,2.48,2.55,01,IN,drought
1909,-5.38,-5.31,01,IN,drought
1910,2.78,2.85,01,IN,drought
1911,.18,0.25,01,IN,drought
1912,1.44,1.51,01,IN,drought
1913,3.08,3.15,01,IN,drought
1914,-2.44,-2.37,01,IN,drought
1915,-4.31,-4.24,01,IN,drought
1916,4.64,4.71,01,IN,drought
1917,-1.48,-1.41,01,IN,drought
1918,-.78,-0.71,01,IN,drought
1919,-.51,-0.44,01,IN,drought
1920,-.51,-0.44,01,IN,drought
1921,-1.34,-1.27,01,IN,drought
1922,1.74,1.81,01,IN,drought
1923,.21,0.28,01,IN,drought
1924,1.72,1.79,01,IN,drought
1925,-1.65,-1.58,01,IN,drought
1926,-.55,-0.48,01,IN,drought
1927,3.17,3.24,01,IN,drought
1928,2.96,3.03,01,IN,drought
1929,1.68,1.75,01,IN,drought
1930,3.71,3.78,01,IN,drought
1931,-6.18,-6.11,01,IN,drought
1932,1.86,1.93,01,IN,drought
1933,2.41,2.48,01,IN,drought
1934,-3.51,-3.44,01,IN,drought
1935,-4.21,-4.14,01,IN,drought
1936,-2.09,-2.02,01,IN,drought
1937,3.03,3.10,01,IN,drought
1938,1.43,1.50,01,IN,drought
1939,.55,0.62,01,IN,drought
1940,-3.73,-3.66,01,IN,drought
1941,-4.39,-4.32,01,IN,drought
1942,.45,0.52,01,IN,drought
1943,-.47,-0.40,01,IN,drought
1944,-3.05,-2.98,01,IN,drought
1945,-5.15,-5.08,01,IN,drought
1946,-.33,-0.26,01,IN,drought
1947,-.86,-0.79,01,IN,drought
1948,-1.26,-1.19,01,IN,drought
1949,2.79,2.86,01,IN,drought
1950,4.03,4.10,01,IN,drought
1951,4.11,4.18,01,IN,drought
1952,2.65,2.72,01,IN,drought
1953,-1.66,-1.59,01,IN,drought
1954,-5.11,-5.04,01,IN,drought
1955,.44,0.51,01,IN,drought
1956,-.97,-0.90,01,IN,drought
1957,-2.69,-2.62,01,IN,drought
1958,-.3,-0.23,01,IN,drought
1959,3.14,3.21,01,IN,drought
1960,.23,0.30,01,IN,drought
1961,-2.79,-2.72,01,IN,drought
1962,1.78,1.85,01,IN,drought
1963,-1.73,-1.66,01,IN,drought
1964,-4.9,-4.83,01,IN,drought
1965,-3.91,-3.84,01,IN,drought
1966,-1.3,-1.23,01,IN,drought
1967,-.24,-0.17,01,IN,drought
1968,-.08,-0.01,01,IN,drought
1969,1.79,1.86,01,IN,drought
1970,-.69,-0.62,01,IN,drought
1971,.15,0.22,01,IN,drought
1972,-.34,-0.27,01,IN,drought
1973,2.51,2.58,01,IN,drought
1974,2.44,2.51,01,IN,drought
1975,2.05,2.12,01,IN,drought
1976,1.8,1.87,01,IN,drought
1977,-1.55,-1.48,01,IN,drought
1978,2.5,2.57,01,IN,drought
1979,1.79,1.86,01,IN,drought
1980,2.97,3.04,01,IN,drought
1981,-1.49,-1.42,01,IN,drought
1982,2.87,2.94,01,IN,drought
1983,-.47,-0.40,01,IN,drought
1984,.89,0.96,01,IN,drought
1985,1.02,1.09,01,IN,drought
1986,-.62,-0.55,01,IN,drought
1987,-.47,-0.40,01,IN,drought
1988,-1.31,-1.24,01,IN,drought
1989,.41,0.48,01,IN,drought
1990,1.9,1.97,01,IN,drought
1991,-.14,-0.07,01,IN,drought
1992,-2.07,-2.00,01,IN,drought
1993,3.49,3.56,01,IN,drought
1994,.11,0.18,01,IN,drought
1995,-1,-0.93,01,IN,drought
1996,-1.32,-1.25,01,IN,drought
1997,3.11,3.18,01,IN,drought
1998,-.82,-0.75,01,IN,drought
1999,.95,1.02,01,IN,drought
2000,-4.15,-4.08,01,IN,drought
2001,-.51,-0.44,01,IN,drought
2002,3.31,3.38,01,IN,drought
2003,-2.06,-1.99,01,IN,drought
2004,3.93,4.00,01,IN,drought
2005,4.45,4.52,01,IN,drought
2006,.2,0.27,01,IN,drought
2007,4.78,4.85,01,IN,drought
2008,.94,1.01,01,IN,drought
2009,1.86,1.93,01,IN,drought
2010,-.32,-0.25,01,IN,drought
2011,-2.59,-2.52,01,IN,drought
2012,3.98,4.05,01,IN,drought
2013,.94,1.01,01,IN,drought
2014,1.1,1.17,01,IN,drought
2015,2.52,2.59,01,IN,drought
1895,-.63,-0.54,02,IN,drought
1896,-2.84,-2.75,02,IN,drought
1897,2.75,2.84,02,IN,drought
1898,1.14,1.23,02,IN,drought
