year,value,anomaly,month,state,type
1895,.15,-0.21,01,MN,drought
1896,-.82,-1.18,01,MN,drought
1897,2.89,2.53,01,MN,drought
1898,-2.12,-2.48,01,MN,drought
1899,.89,0.53,01,MN,drought
1900,2.52,2.16,01,MN,drought
1901,2.65,2.29,01,MN,drought
1902,-1.15,-1.51,01,MN,drought
1903,2.34,1.98,01,MN,drought
1904,4.01,3.65,01,MN,drought
1905,2.54,2.18,01,MN,drought
1906,4.94,4.58,01,MN,drought
1907,4.28,3.92,01,MN,drought
1908,1.52,1.16,01,MN,drought
1909,1.01,0.65,01,MN,drought
1910,3.1,2.74,01,MN,drought
1911,-6.62,-6.98,01,MN,drought
1912,-.04,-0.40,01,MN,drought
1913,-1.39,-1.75,01,MN,drought
1914,1.34,0.98,01,MN,drought
1915,-1.03,-1.39,01,MN,drought
1916,3.14,2.78,01,MN,drought
1917,1.63,1.27,01,MN,drought
1918,-2.56,-2.92,01,MN,drought
1919,.91,0.55,01,MN,drought
1920,2.16,1.80,01,MN,drought
1921,-1.55,-1.91,01,MN,drought
1922,-3.31,-3.67,01,MN,drought
1923,-3.09,-3.45,01,MN,drought
1924,-5.12,-5.48,01,MN,drought
1925,1.22,0.86,01,MN,drought
1926,-.22,-0.58,01,MN,drought
1927,2.43,2.07,01,MN,drought
1928,.12,-0.24,01,MN,drought
1929,2.79,2.43,01,MN,drought
1930,-2.24,-2.60,01,MN,drought
1931,-2.95,-3.31,01,MN,drought
1932,-2.35,-2.71,01,MN,drought
1933,-2.67,-3.03,01,MN,drought
1934,-4.62,-4.98,01,MN,drought
1935,-4.59,-4.95,01,MN,drought
1936,.68,0.32,01,MN,drought
1937,-4.85,-5.21,01,MN,drought
1938,-3.24,-3.60,01,MN,drought
1939,-2.02,-2.38,01,MN,drought
1940,-4.36,-4.72,01,MN,drought
1941,.69,0.33,01,MN,drought
1942,1.47,1.11,01,MN,drought
1943,2.91,2.55,01,MN,drought
1944,1.01,0.65,01,MN,drought
1945,2.51,2.15,01,MN,drought
1946,2.75,2.39,01,MN,drought
1947,2.82,2.46,01,MN,drought
1948,-1.27,-1.63,01,MN,drought
1949,-2.01,-2.37,01,MN,drought
1950,1.24,0.88,01,MN,drought
1951,-1.25,-1.61,01,MN,drought
1952,4.06,3.70,01,MN,drought
1953,-2.34,-2.70,01,MN,drought
1954,1.25,0.89,01,MN,drought
1955,-1.55,-1.91,01,MN,drought
1956,-2.15,-2.51,01,MN,drought
1957,-1.54,-1.90,01,MN,drought
1958,-.03,-0.39,01,MN,drought
1959,-2.14,-2.50,01,MN,drought
1960,1.46,1.10,01,MN,drought
1961,-1.61,-1.97,01,MN,drought
1962,.07,-0.29,01,MN,drought
1963,-1.06,-1.42,01,MN,drought
1964,-2.74,-3.10,01,MN,drought
1965,.73,0.37,01,MN,drought
1966,4.68,4.32,01,MN,drought
1967,.71,0.35,01,MN,drought
1968,-3.41,-3.77,01,MN,drought
1969,5.76,5.40,01,MN,drought
1970,.77,0.41,01,MN,drought
1971,2.35,1.99,01,MN,drought
1972,3.38,3.02,01,MN,drought
1973,3.1,2.74,01,MN,drought
1974,2.67,2.31,01,MN,drought
1975,1.06,0.70,01,MN,drought
1976,.37,0.01,01,MN,drought
1977,-7.32,-7.68,01,MN,drought
1978,3.44,3.08,01,MN,drought
1979,2.07,1.71,01,MN,drought
1980,2.89,2.53,01,MN,drought
1981,-2.43,-2.79,01,MN,drought
1982,2.68,2.32,01,MN,drought
1983,3.78,3.42,01,MN,drought
1984,3.22,2.86,01,MN,drought
1985,2.35,1.99,01,MN,drought
1986,4.02,3.66,01,MN,drought
