year,value,anomaly,month,state,type
1895,-.23,0.14,01,NH,drought
1896,-.89,-0.52,01,NH,drought
1897,-.8,-0.43,01,NH,drought
1898,2.92,3.29,01,NH,drought
1899,1,1.37,01,NH,drought
1900,.64,1.01,01,NH,drought
1901,-1.78,-1.41,01,NH,drought
1902,1,1.37,01,NH,drought
1903,2.45,2.82,01,NH,drought
1904,-1.48,-1.11,01,NH,drought
1905,-1.35,-0.98,01,NH,drought
1906,-1.18,-0.81,01,NH,drought
1907,-1.6,-1.23,01,NH,drought
1908,1.56,1.93,01,NH,drought
1909,-3.09,-2.72,01,NH,drought
1910,-2.53,-2.16,01,NH,drought
1911,-3.5,-3.13,01,NH,drought
1912,-.63,-0.26,01,NH,drought
1913,-.69,-0.32,01,NH,drought
1914,-2.29,-1.92,01,NH,drought
1915,-3.21,-2.84,01,NH,drought
1916,-1.51,-1.14,01,NH,drought
1917,-.81,-0.44,01,NH,drought
1918,-1.28,-0.91,01,NH,drought
1919,-.81,-0.44,01,NH,drought
1920,-1.26,-0.89,01,NH,drought
1921,-.72,-0.35,01,NH,drought
1922,-2.23,-1.86,01,NH,drought
1923,-1.15,-0.78,01,NH,drought
1924,-1.06,-0.69,01,NH,drought
1925,-1.63,-1.26,01,NH,drought
1926,-.74,-0.37,01,NH,drought
1927,-.65,-0.28,01,NH,drought
1928,2.9,3.27,01,NH,drought
1929,.24,0.61,01,NH,drought
1930,-2.34,-1.97,01,NH,drought
1931,-3.03,-2.66,01,NH,drought
1932,-.73,-0.36,01,NH,drought
1933,-1,-0.63,01,NH,drought
1934,-.62,-0.25,01,NH,drought
1935,1.51,1.88,01,NH,drought
1936,1.22,1.59,01,NH,drought
1937,1.34,1.71,01,NH,drought
1938,1.71,2.08,01,NH,drought
1939,2.21,2.58,01,NH,drought
1940,-2.53,-2.16,01,NH,drought
1941,-.54,-0.17,01,NH,drought
1942,-3.3,-2.93,01,NH,drought
1943,-1.36,-0.99,01,NH,drought
1944,-1.55,-1.18,01,NH,drought
1945,.48,0.85,01,NH,drought
1946,1.93,2.30,01,NH,drought
1947,-.29,0.08,01,NH,drought
1948,-2.71,-2.34,01,NH,drought
1949,-2.1,-1.73,01,NH,drought
1950,-3.01,-2.64,01,NH,drought
1951,.18,0.55,01,NH,drought
1952,2.53,2.90,01,NH,drought
1953,1.41,1.78,01,NH,drought
1954,.05,0.42,01,NH,drought
1955,-.89,-0.52,01,NH,drought
1956,.57,0.94,01,NH,drought
1957,-1.04,-0.67,01,NH,drought
1958,2.52,2.89,01,NH,drought
1959,-.88,-0.51,01,NH,drought
1960,1.69,2.06,01,NH,drought
1961,-1.56,-1.19,01,NH,drought
1962,-2.15,-1.78,01,NH,drought
1963,-.3,0.07,01,NH,drought
1964,-1.7,-1.33,01,NH,drought
1965,-3.86,-3.49,01,NH,drought
1966,-3.27,-2.90,01,NH,drought
1967,-2.41,-2.04,01,NH,drought
1968,-1.24,-0.87,01,NH,drought
1969,1.01,1.38,01,NH,drought
1970,-1.01,-0.64,01,NH,drought
1971,-1.36,-0.99,01,NH,drought
1972,-1.74,-1.37,01,NH,drought
1973,2.64,3.01,01,NH,drought
1974,3.03,3.40,01,NH,drought
1975,.54,0.91,01,NH,drought
1976,2.62,2.99,01,NH,drought
1977,-.99,-0.62,01,NH,drought
1978,3.65,4.02,01,NH,drought
1979,2.05,2.42,01,NH,drought
1980,-1.8,-1.43,01,NH,drought
1981,-3.21,-2.84,01,NH,drought
1982,2.41,2.78,01,NH,drought
1983,.39,0.76,01,NH,drought
1984,1.65,2.02,01,NH,drought
1985,-2.46,-2.09,01,NH,drought
1986,1.28,1.65,01,NH,drought
1987,1.64,2.01,01,NH,drought
1988,-1.31,-0.94,01,NH,drought
1989,-1.54,-1.17,01,NH,drought
1990,1.62,1.99,01,NH,drought
1991,-.25,0.12,01,NH,drought
1992,-.35,0.02,01,NH,drought
1993,-.7,-0.33,01,NH,drought
1994,.88,1.25,01,NH,drought
1995,-.79,-0.42,01,NH,drought
1996,2.43,2.80,01,NH,drought
1997,3.68,4.05,01,NH,drought
1998,1.82,2.19,01,NH,drought
1999,1.25,1.62,01,NH,drought
2000,.23,0.60,01,NH,drought
2001,-.71,-0.34,01,NH,drought
2002,-3.96,-3.59,01,NH,drought
2003,-1.94,-1.57,01,NH,drought
2004,-.96,-0.59,01,NH,drought
2005,1.23,1.60,01,NH,drought
2006,4.91,5.28,01,NH,drought
2007,4.33,4.70,01,NH,drought
2008,1.94,2.31,01,NH,drought
2009,4.79,5.16,01,NH,drought
2010,3.39,3.76,01,NH,drought
2011,1.23,1.60,01,NH,drought
2012,-.2,0.17,01,NH,drought
2013,-.54,-0.17,01,NH,drought
2014,1.12,1.49,01,NH,drought
2015,.01,0.38,01,NH,drought
2016,0,0.37,01,NH,drought
1895,-1.14,-0.73,02,NH,drought
