year,value,anomaly,month,state,type
1895,1.04,1.13,01,VA,drought
1896,-2.93,-2.84,01,VA,drought
1897,-1.31,-1.22,01,VA,drought
1898,-1.74,-1.65,01,VA,drought
1899,1.29,1.38,01,VA,drought
1900,-1.84,-1.75,01,VA,drought
1901,-2.53,-2.44,01,VA,drought
1902,3.55,3.64,01,VA,drought
1903,1.01,1.10,01,VA,drought
1904,-1.16,-1.07,01,VA,drought
1905,-.91,-0.82,01,VA,drought
1906,1.69,1.78,01,VA,drought
1907,1.54,1.63,01,VA,drought
1908,2.72,2.81,01,VA,drought
1909,1.77,1.86,01,VA,drought
1910,-1.43,-1.34,01,VA,drought
1911,.47,0.56,01,VA,drought
1912,.43,0.52,01,VA,drought
1913,-1.54,-1.45,01,VA,drought
1914,-.18,-0.09,01,VA,drought
1915,1.72,1.81,01,VA,drought
1916,-.57,-0.48,01,VA,drought
1917,-.68,-0.59,01,VA,drought
1918,.94,1.03,01,VA,drought
1919,.79,0.88,01,VA,drought
1920,-1.55,-1.46,01,VA,drought
1921,1.92,2.01,01,VA,drought
1922,.39,0.48,01,VA,drought
1923,.51,0.60,01,VA,drought
1924,.4,0.49,01,VA,drought
1925,.88,0.97,01,VA,drought
1926,-2.45,-2.36,01,VA,drought
1927,-.76,-0.67,01,VA,drought
1928,-.45,-0.36,01,VA,drought
1929,.71,0.80,01,VA,drought
1930,-.49,-0.40,01,VA,drought
1931,-6.58,-6.49,01,VA,drought
1932,-3.05,-2.96,01,VA,drought
1933,1.82,1.91,01,VA,drought
1934,-3.47,-3.38,01,VA,drought
1935,1.7,1.79,01,VA,drought
1936,3.19,3.28,01,VA,drought
1937,2.41,2.50,01,VA,drought
1938,-.72,-0.63,01,VA,drought
1939,.03,0.12,01,VA,drought
1940,-1.54,-1.45,01,VA,drought
1941,-.77,-0.68,01,VA,drought
1942,-4.41,-4.32,01,VA,drought
1943,-.12,-0.03,01,VA,drought
1944,-2.71,-2.62,01,VA,drought
1945,-.23,-0.14,01,VA,drought
1946,-.05,0.04,01,VA,drought
1947,.77,0.86,01,VA,drought
1948,.33,0.42,01,VA,drought
1949,3.02,3.11,01,VA,drought
1950,-.76,-0.67,01,VA,drought
1951,-.65,-0.56,01,VA,drought
1952,1.5,1.59,01,VA,drought
1953,.44,0.53,01,VA,drought
1954,-2.95,-2.86,01,VA,drought
1955,-2.88,-2.79,01,VA,drought
1956,-1.52,-1.43,01,VA,drought
1957,.9,0.99,01,VA,drought
1958,1.77,1.86,01,VA,drought
1959,-.97,-0.88,01,VA,drought
1960,.46,0.55,01,VA,drought
1961,-1.26,-1.17,01,VA,drought
1962,2.16,2.25,01,VA,drought
1963,.46,0.55,01,VA,drought
1964,-2.4,-2.31,01,VA,drought
1965,-1.71,-1.62,01,VA,drought
1966,-4.47,-4.38,01,VA,drought
1967,-.59,-0.50,01,VA,drought
1968,-.01,0.08,01,VA,drought
1969,-1.96,-1.87,01,VA,drought
1970,-.61,-0.52,01,VA,drought
1971,-1.76,-1.67,01,VA,drought
1972,.87,0.96,01,VA,drought
1973,4.21,4.30,01,VA,drought
1974,1.34,1.43,01,VA,drought
1975,1.04,1.13,01,VA,drought
1976,2.83,2.92,01,VA,drought
1977,-.57,-0.48,01,VA,drought
1978,3.45,3.54,01,VA,drought
1979,1.65,1.74,01,VA,drought
1980,-.13,-0.04,01,VA,drought
1981,-4.14,-4.05,01,VA,drought
1982,.6,0.69,01,VA,drought
1983,-.68,-0.59,01,VA,drought
1984,1.47,1.56,01,VA,drought
1985,-1.57,-1.48,01,VA,drought
1986,-1.18,-1.09,01,VA,drought
1987,1.4,1.49,01,VA,drought
1988,-1.1,-1.01,01,VA,drought
1989,-2.6,-2.51,01,VA,drought
1990,2.94,3.03,01,VA,drought
1991,.6,0.69,01,VA,drought
1992,-.24,-0.15,01,VA,drought
1993,1.48,1.57,01,VA,drought
1994,1.03,1.12,01,VA,drought
1995,-.63,-0.54,01,VA,drought
1996,1.92,2.01,01,VA,drought
1997,-.19,-0.10,01,VA,drought
1998,1.74,1.83,01,VA,drought
1999,-3.34,-3.25,01,VA,drought
2000,-.46,-0.37,01,VA,drought
2001,-1.7,-1.61,01,VA,drought
2002,-3.15,-3.06,01,VA,drought
2003,1.23,1.32,01,VA,drought
