Arkansas, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,12,-4
189603,4,-12
189703,26,10
189803,19,3
189903,8,-8
190003,10,-6
190103,9,-7
190203,13,-3
190303,19,3
190403,20,4
190503,29,13
190603,1,-15
190703,71,55
190803,48,32
190903,13,-3
191003,55,39
191103,26,10
191203,0,-16
191303,5,-11
191403,6,-10
191503,0,-16
191603,15,-1
191703,13,-3
191803,36,20
191903,14,-2
192003,10,-6
192103,62,46
192203,10,-6
192303,6,-10
192403,1,-15
192503,21,5
192603,3,-13
192703,14,-2
192803,13,-3
192903,23,7
193003,7,-9
193103,1,-15
193203,4,-12
193303,13,-3
193403,6,-10
193503,45,29
193603,30,14
193703,3,-13
193803,54,38
193903,22,6
194003,12,-4
194103,1,-15
194203,14,-2
194303,1,-15
194403,9,-7
194503,43,27
194603,37,21
194703,0,-16
194803,9,-7
194903,10,-6
195003,6,-10
195103,10,-6
195203,7,-9
195303,27,11
195403,9,-7
195503,15,-1
195603,11,-5
195703,6,-10
195803,1,-15
195903,10,-6
196003,0,-16
196103,20,4
196203,3,-13
196303,29,13
196403,10,-6
196503,0,-16
196603,14,-2
196703,40,24
196803,9,-7
196903,0,-16
197003,3,-13
197103,3,-13
197203,16,0
197303,27,11
197403,37,21
197503,4,-12
197603,26,10
197703,22,6
197803,3,-13
197903,15,-1
198003,3,-13
198103,11,-5
198203,24,8
198303,9,-7
198403,7,-9
198503,28,12
198603,20,4
198703,14,-2
198803,10,-6
198903,12,-4
199003,18,2
199103,22,6
199203,16,0
199303,7,-9
199403,14,-2
199503,18,2
199603,1,-15
199703,24,8
199803,7,-9
199903,6,-10
200003,24,8
200103,4,-12
200203,5,-11
200303,12,-4
200403,30,14
200503,10,-6
200603,18,2
200703,58,42
200803,13,-3
200903,16,0
201003,10,-6
201103,15,-1
201203,88,72
201303,3,-13
201403,1,-15
201503,9,-7
