Arkansas, Cooling Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189505,135,-9
189605,284,140
189705,122,-22
189805,211,67
189905,233,89
190005,141,-3
190105,122,-22
190205,248,104
190305,114,-30
190405,103,-41
190505,174,30
190605,139,-5
190705,54,-90
190805,160,16
190905,98,-46
191005,86,-58
191105,179,35
191205,153,9
191305,139,-5
191405,142,-2
191505,151,7
191605,194,50
191705,47,-97
191805,211,67
191905,94,-50
192005,173,29
192105,152,8
192205,174,30
192305,103,-41
192405,67,-77
192505,112,-32
192605,147,3
192705,193,49
192805,146,2
192905,109,-35
193005,131,-13
193105,73,-71
193205,147,3
193305,199,55
193405,163,19
193505,102,-42
193605,185,41
193705,178,34
193805,163,19
193905,144,0
194005,97,-47
194105,195,51
194205,123,-21
194305,194,50
194405,170,26
194505,91,-53
194605,92,-52
194705,112,-32
194805,138,-6
194905,201,57
195005,162,18
195105,143,-1
195205,140,-4
195305,167,23
195405,69,-75
195505,199,55
195605,227,83
195705,174,30
195805,147,3
195905,228,84
196005,99,-45
196105,97,-47
196205,274,130
196305,164,20
196405,188,44
196505,202,58
196605,112,-32
196705,102,-42
196805,108,-36
196905,151,7
197005,176,32
197105,84,-60
197205,136,-8
197305,97,-47
197405,196,52
197505,178,34
197605,55,-89
197705,224,80
197805,126,-18
197905,102,-42
198005,139,-5
198105,79,-65
198205,191,47
198305,89,-55
198405,103,-41
198505,144,0
198605,155,11
198705,253,109
198805,131,-13
198905,118,-26
199005,91,-53
199105,227,83
199205,103,-41
199305,108,-36
199405,94,-50
199505,131,-13
199605,226,82
199705,90,-54
199805,241,97
199905,129,-15
200005,188,44
200105,169,25
200205,107,-37
200305,160,16
200405,187,43
200505,115,-29
200605,169,25
200705,193,49
200805,127,-17
200905,115,-29
201005,197,53
201105,111,-33
201205,255,111
201305,111,-33
201405,129,-15
201505,152,8
