Florida, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,108,-12
189603,89,-31
189703,213,93
189803,170,50
189903,140,20
190003,90,-30
190103,67,-53
190203,115,-5
190303,189,69
190403,148,28
190503,150,30
190603,74,-46
190703,206,86
190803,176,56
190903,129,9
191003,90,-30
191103,119,-1
191203,155,35
191303,183,63
191403,32,-88
191503,14,-106
191603,46,-74
191703,139,19
191803,160,40
191903,127,7
192003,73,-47
192103,190,70
192203,138,18
192303,156,36
192403,47,-73
192503,96,-24
192603,45,-75
192703,101,-19
192803,126,6
192903,171,51
193003,62,-58
193103,27,-93
193203,69,-51
193303,87,-33
193403,92,-28
193503,156,36
193603,92,-28
193703,78,-42
193803,167,47
193903,158,38
194003,73,-47
194103,46,-74
194203,80,-40
194303,103,-17
194403,157,37
194503,191,71
194603,136,16
194703,58,-62
194803,215,95
194903,114,-6
195003,119,-1
195103,110,-10
195203,154,34
195303,172,52
195403,81,-39
195503,133,13
195603,99,-21
195703,101,-19
195803,87,-33
195903,96,-24
196003,52,-68
196103,167,47
196203,89,-31
196303,157,37
196403,153,33
196503,133,13
196603,81,-39
196703,148,28
196803,55,-65
196903,42,-78
197003,109,-11
197103,75,-45
197203,130,10
197303,173,53
197403,187,67
197503,142,22
197603,184,64
197703,190,70
197803,86,-34
197903,94,-26
198003,149,29
198103,74,-46
198203,179,59
198303,72,-48
198403,105,-15
198503,157,37
198603,96,-24
198703,118,-2
198803,100,-20
198903,170,50
199003,169,49
199103,160,40
199203,114,-6
199303,92,-28
199403,155,35
199503,157,37
199603,73,-47
199703,242,122
199803,89,-31
199903,94,-26
200003,188,68
200103,137,17
200203,182,62
200303,257,137
200403,144,24
200503,105,-15
200603,128,8
200703,160,40
200803,141,21
200903,133,13
201003,43,-77
201103,156,36
201203,227,107
201303,49,-71
201403,129,9
201503,237,117
