Florida, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,497,-1
189607,498,0
189707,509,11
189807,502,4
189907,478,-20
190007,519,21
190107,509,11
190207,511,13
190307,481,-17
190407,453,-45
190507,499,1
190607,473,-25
190707,491,-7
190807,486,-12
190907,476,-22
191007,443,-55
191107,459,-39
191207,493,-5
191307,488,-10
191407,481,-17
191507,501,3
191607,467,-31
191707,466,-32
191807,446,-52
191907,470,-28
192007,471,-27
192107,457,-41
192207,466,-32
192307,464,-34
192407,491,-7
192507,479,-19
192607,473,-25
192707,500,2
192807,484,-14
192907,442,-56
193007,510,12
193107,537,39
193207,546,48
193307,482,-16
193407,484,-14
193507,467,-31
193607,498,0
193707,475,-23
193807,453,-45
193907,483,-15
194007,499,1
194107,493,-5
194207,543,45
194307,480,-18
194407,489,-9
194507,478,-20
194607,487,-11
194707,448,-50
194807,495,-3
194907,505,7
195007,469,-29
195107,503,5
195207,521,23
195307,508,10
195407,499,1
195507,482,-16
195607,497,-1
195707,515,17
195807,518,20
195907,491,-7
196007,517,19
196107,509,11
196207,537,39
196307,511,13
196407,495,-3
196507,464,-34
196607,508,10
196707,485,-13
196807,484,-14
196907,538,40
197007,502,4
197107,488,-10
197207,485,-13
197307,510,12
197407,464,-34
197507,472,-26
197607,503,5
197707,515,17
197807,508,10
197907,538,40
198007,545,47
198107,551,53
198207,516,18
198307,538,40
198407,476,-22
198507,492,-6
198607,523,25
198707,543,45
198807,504,6
198907,522,24
199007,524,26
199107,523,25
199207,553,55
199307,546,48
199407,499,1
199507,533,35
199607,541,43
199707,535,37
199807,577,79
199907,538,40
200007,532,34
200107,508,10
200207,516,18
200307,526,28
200407,527,29
200507,577,79
200607,525,27
200707,545,47
200807,504,6
200907,531,33
201007,575,77
201107,550,52
201207,535,37
201307,501,3
201407,532,34
201507,549,51
