Georgia, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,385,-33
189607,442,24
189707,438,20
189807,433,15
189907,427,9
190007,450,32
190107,487,69
190207,508,90
190307,431,13
190407,403,-15
190507,434,16
190607,374,-44
190707,480,62
190807,439,21
190907,404,-14
191007,394,-24
191107,377,-41
191207,406,-12
191307,477,59
191407,450,32
191507,440,22
191607,374,-44
191707,416,-2
191807,351,-67
191907,404,-14
192007,400,-18
192107,428,10
192207,423,5
192307,391,-27
192407,406,-12
192507,489,71
192607,414,-4
192707,410,-8
192807,421,3
192907,394,-24
193007,503,85
193107,501,83
193207,490,72
193307,393,-25
193407,485,67
193507,423,5
193607,482,64
193707,406,-12
193807,384,-34
193907,433,15
194007,360,-58
194107,427,9
194207,447,29
194307,427,9
194407,379,-39
194507,408,-10
194607,388,-30
194707,325,-93
194807,424,6
194907,434,16
195007,355,-63
195107,422,4
195207,487,69
195307,404,-14
195407,489,71
195507,420,2
195607,403,-15
195707,397,-21
195807,406,-12
195907,405,-13
196007,430,12
196107,368,-50
196207,419,1
196307,342,-76
196407,345,-73
196507,372,-46
196607,422,4
196707,297,-121
196807,389,-29
196907,462,44
197007,399,-19
197107,349,-69
197207,354,-64
197307,415,-3
197407,365,-53
197507,350,-68
197607,361,-57
197707,466,48
197807,435,17
197907,359,-59
198007,502,84
198107,467,49
198207,403,-15
198307,458,40
198407,342,-76
198507,371,-47
198607,527,109
198707,438,20
198807,402,-16
198907,387,-31
199007,430,12
199107,433,15
199207,418,0
199307,530,112
199407,356,-62
199507,463,45
199607,419,1
199707,431,13
199807,491,73
199907,437,19
200007,446,28
200107,397,-21
200207,453,35
200307,377,-41
200407,416,-2
200507,443,25
200607,460,42
200707,373,-45
200807,408,-10
200907,363,-55
201007,492,74
201107,490,72
201207,498,80
201307,358,-60
201407,367,-51
201507,462,44
