Georgia, Cooling Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,0,-3
189612,1,-2
189712,2,-1
189812,1,-2
189912,1,-2
190012,1,-2
190112,0,-3
190212,2,-1
190312,0,-3
190412,2,-1
190512,0,-3
190612,2,-1
190712,1,-2
190812,6,3
190912,0,-3
191012,0,-3
191112,3,0
191212,3,0
191312,2,-1
191412,1,-2
191512,0,-3
191612,2,-1
191712,0,-3
191812,4,1
191912,2,-1
192012,1,-2
192112,6,3
192212,9,6
192312,12,9
192412,3,0
192512,1,-2
192612,5,2
192712,1,-2
192812,2,-1
192912,1,-2
193012,0,-3
193112,20,17
193212,8,5
193312,13,10
193412,1,-2
193512,0,-3
193612,3,0
193712,1,-2
193812,1,-2
193912,2,-1
194012,4,1
194112,3,0
194212,2,-1
194312,1,-2
194412,0,-3
194512,0,-3
194612,5,2
194712,2,-1
194812,5,2
194912,3,0
195012,0,-3
195112,5,2
195212,1,-2
195312,2,-1
195412,1,-2
195512,1,-2
195612,15,12
195712,2,-1
195812,1,-2
195912,2,-1
196012,0,-3
196112,2,-1
196212,0,-3
196312,0,-3
196412,4,1
196512,2,-1
196612,1,-2
196712,6,3
196812,0,-3
196912,0,-3
197012,4,1
197112,19,16
197212,8,5
197312,2,-1
197412,2,-1
197512,1,-2
197612,0,-3
197712,1,-2
197812,3,0
197912,1,-2
198012,1,-2
198112,1,-2
198212,10,7
198312,1,-2
198412,18,15
198512,1,-2
198612,3,0
198712,6,3
198812,1,-2
198912,0,-3
199012,7,4
199112,6,3
199212,2,-1
199312,1,-2
199412,5,2
199512,1,-2
199612,3,0
199712,2,-1
199812,9,6
199912,2,-1
200012,0,-3
200112,9,6
200212,1,-2
200312,0,-3
200412,1,-2
200512,1,-2
200612,7,4
200712,9,6
200812,7,4
200912,1,-2
201012,0,-3
201112,6,3
201212,7,4
201312,7,4
201412,6,3
201512,35,32
