Kansas, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,0,-6
189603,0,-6
189703,1,-5
189803,0,-6
189903,0,-6
190003,0,-6
190103,0,-6
190203,7,1
190303,3,-3
190403,7,1
190503,17,11
190603,0,-6
190703,23,17
190803,11,5
190903,0,-6
191003,42,36
191103,9,3
191203,0,-6
191303,0,-6
191403,1,-5
191503,0,-6
191603,9,3
191703,1,-5
191803,14,8
191903,3,-3
192003,6,0
192103,17,11
192203,1,-5
192303,0,-6
192403,0,-6
192503,12,6
192603,0,-6
192703,1,-5
192803,9,3
192903,9,3
193003,0,-6
193103,0,-6
193203,0,-6
193303,6,0
193403,0,-6
193503,18,12
193603,12,6
193703,0,-6
193803,19,13
193903,6,0
194003,2,-4
194103,0,-6
194203,4,-2
194303,0,-6
194403,0,-6
194503,17,11
194603,27,21
194703,0,-6
194803,0,-6
194903,0,-6
195003,0,-6
195103,0,-6
195203,0,-6
195303,9,3
195403,0,-6
195503,0,-6
195603,5,-1
195703,0,-6
195803,0,-6
195903,5,-1
196003,0,-6
196103,2,-4
196203,0,-6
196303,11,5
196403,0,-6
196503,0,-6
196603,10,4
196703,11,5
196803,10,4
196903,0,-6
197003,0,-6
197103,0,-6
197203,12,6
197303,10,4
197403,11,5
197503,0,-6
197603,6,0
197703,11,5
197803,0,-6
197903,2,-4
198003,0,-6
198103,8,2
198203,5,-1
198303,0,-6
198403,0,-6
198503,11,5
198603,18,12
198703,8,2
198803,0,-6
198903,5,-1
199003,8,2
199103,12,6
199203,13,7
199303,0,-6
199403,11,5
199503,4,-2
199603,0,-6
199703,10,4
199803,0,-6
199903,0,-6
200003,11,5
200103,0,-6
200203,0,-6
200303,3,-3
200403,15,9
200503,7,1
200603,9,3
200703,31,25
200803,2,-4
200903,6,0
201003,6,0
201103,6,0
201203,55,49
201303,0,-6
201403,0,-6
201503,9,3
