Michigan, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,136,-53
189607,161,-28
189707,244,55
189807,202,13
189907,156,-33
190007,161,-28
190107,304,115
190207,186,-3
190307,159,-30
190407,125,-64
190507,141,-48
190607,140,-49
190707,138,-51
190807,191,2
190907,142,-47
191007,216,27
191107,218,29
191207,157,-32
191307,186,-3
191407,193,4
191507,111,-78
191607,329,140
191707,157,-32
191807,139,-50
191907,239,50
192007,111,-78
192107,358,169
192207,152,-37
192307,169,-20
192407,107,-82
192507,140,-49
192607,166,-23
192707,147,-42
192807,179,-10
192907,187,-2
193007,209,20
193107,292,103
193207,187,-2
193307,246,57
193407,284,95
193507,292,103
193607,261,72
193707,203,14
193807,204,15
193907,197,8
194007,207,18
194107,220,31
194207,188,-1
194307,193,4
194407,194,5
194507,127,-62
194607,193,4
194707,133,-56
194807,204,15
194907,271,82
195007,118,-71
195107,159,-30
195207,254,65
195307,207,18
195407,151,-38
195507,335,146
195607,131,-58
195707,182,-7
195807,158,-31
195907,191,2
196007,125,-64
196107,171,-18
196207,119,-70
196307,188,-1
196407,223,34
196507,111,-78
196607,237,48
196707,122,-67
196807,155,-34
196907,176,-13
197007,197,8
197107,131,-58
197207,159,-30
197307,192,3
197407,203,14
197507,184,-5
197607,176,-13
197707,242,53
197807,146,-43
197907,143,-46
198007,198,9
198107,181,-8
198207,189,0
198307,269,80
198407,149,-40
198507,163,-26
198607,218,29
198707,274,85
198807,283,94
198907,202,13
199007,162,-27
199107,210,21
199207,89,-100
199307,219,30
199407,176,-13
199507,225,36
199607,112,-77
199707,164,-25
199807,194,5
199907,286,97
200007,116,-73
200107,187,-2
200207,284,95
200307,166,-23
200407,145,-44
200507,241,52
200607,253,64
200707,165,-24
200807,186,-3
200907,85,-104
201007,278,89
201107,328,139
201207,349,160
201307,199,10
201407,102,-87
201507,158,-31
