New Hampshire, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189507,53,-55
189607,126,18
189707,147,39
189807,119,11
189907,92,-16
190007,122,14
190107,161,53
190207,43,-65
190307,69,-39
190407,84,-24
190507,108,0
190607,90,-18
190707,90,-18
190807,156,48
190907,52,-56
191007,123,15
191107,180,72
191207,98,-10
191307,100,-8
191407,48,-60
191507,63,-45
191607,141,33
191707,124,16
191807,91,-17
191907,138,30
192007,63,-45
192107,192,84
192207,87,-21
192307,42,-66
192407,88,-20
192507,60,-48
192607,70,-38
192707,92,-16
192807,119,11
192907,84,-24
193007,81,-27
193107,160,52
193207,56,-52
193307,88,-20
193407,116,8
193507,139,31
193607,68,-40
193707,122,14
193807,105,-3
193907,97,-11
194007,96,-12
194107,116,8
194207,85,-23
194307,114,6
194407,119,11
194507,98,-10
194607,83,-25
194707,165,57
194807,118,10
194907,186,78
195007,104,-4
195107,103,-5
195207,186,78
195307,116,8
195407,64,-44
195507,214,106
195607,49,-59
195707,77,-31
195807,92,-16
195907,154,46
196007,72,-36
196107,86,-22
196207,40,-68
196307,143,35
196407,121,13
196507,55,-53
196607,104,-4
196707,130,22
196807,135,27
196907,71,-37
197007,138,30
197107,97,-11
197207,113,5
197307,146,38
197407,94,-14
197507,167,59
197607,68,-40
197707,88,-20
197807,96,-12
197907,146,38
198007,128,20
198107,112,4
198207,102,-6
198307,139,31
198407,103,-5
198507,109,1
198607,70,-38
198707,125,17
198807,169,61
198907,107,-1
199007,120,12
199107,96,-12
199207,45,-63
199307,125,17
199407,192,84
199507,178,70
199607,88,-20
199707,90,-18
199807,118,10
199907,172,64
200007,53,-55
200107,64,-44
200207,134,26
200307,134,26
200407,88,-20
200507,156,48
200607,195,87
200707,93,-15
200807,150,42
200907,56,-52
201007,211,103
201107,174,66
201207,171,63
201307,212,104
201407,139,31
201507,113,5
