Texas, Cooling Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,0,-15
189602,10,-5
189702,21,6
189802,20,5
189902,0,-15
190002,7,-8
190102,6,-9
190202,7,-8
190302,6,-9
190402,27,12
190502,1,-14
190602,6,-9
190702,20,5
190802,11,-4
190902,21,6
191002,4,-11
191102,35,20
191202,4,-11
191302,5,-10
191402,6,-9
191502,16,1
191602,15,0
191702,17,2
191802,16,1
191902,6,-9
192002,17,2
192102,17,2
192202,23,8
192302,9,-6
192402,7,-8
192502,30,15
192602,25,10
192702,38,23
192802,9,-6
192902,2,-13
193002,33,18
193102,17,2
193202,47,32
193302,8,-7
193402,10,-5
193502,10,-5
193602,2,-13
193702,13,-2
193802,31,16
193902,11,-4
194002,9,-6
194102,5,-10
194202,6,-9
194302,25,10
194402,31,16
194502,19,4
194602,16,1
194702,1,-14
194802,8,-7
194902,17,2
195002,29,14
195102,9,-6
195202,25,10
195302,10,-5
195402,33,18
195502,11,-4
195602,18,3
195702,45,30
195802,2,-13
195902,8,-7
196002,2,-13
196102,13,-2
196202,48,33
196302,5,-10
196402,1,-14
196502,6,-9
196602,3,-12
196702,6,-9
196802,1,-14
196902,12,-3
197002,9,-6
197102,14,-1
197202,14,-1
197302,4,-11
197402,16,1
197502,11,-4
197602,39,24
197702,10,-5
197802,1,-14
197902,4,-11
198002,6,-9
198102,9,-6
198202,6,-9
198302,9,-6
198402,14,-1
198502,4,-11
198602,27,12
198702,15,0
198802,8,-7
198902,6,-9
199002,31,16
199102,20,5
199202,26,11
199302,14,-1
199402,12,-3
199502,24,9
199602,22,7
199702,13,-2
199802,19,4
199902,50,35
200002,53,38
200102,28,13
200202,6,-9
200302,8,-7
200402,8,-7
200502,24,9
200602,13,-2
200702,11,-4
200802,33,18
200902,42,27
201002,1,-14
201102,12,-3
201202,25,10
201302,28,13
201402,10,-5
201502,7,-8
