Texas, Cooling Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,42,-10
189603,27,-25
189703,99,47
189803,47,-5
189903,65,13
190003,45,-7
190103,44,-8
190203,64,12
190303,36,-16
190403,109,57
190503,73,21
190603,22,-30
190703,166,114
190803,116,64
190903,59,7
191003,97,45
191103,87,35
191203,15,-37
191303,23,-29
191403,21,-31
191503,5,-47
191603,88,36
191703,50,-2
191803,89,37
191903,35,-17
192003,33,-19
192103,114,62
192203,34,-18
192303,22,-30
192403,18,-34
192503,85,33
192603,22,-30
192703,44,-8
192803,66,14
192903,68,16
193003,20,-32
193103,13,-39
193203,16,-36
193303,65,13
193403,26,-26
193503,104,52
193603,77,25
193703,18,-34
193803,116,64
193903,64,12
194003,52,0
194103,13,-39
194203,30,-22
194303,24,-28
194403,39,-13
194503,105,53
194603,67,15
194703,16,-36
194803,32,-20
194903,45,-7
195003,35,-17
195103,50,-2
195203,35,-17
195303,106,54
195403,36,-16
195503,63,11
195603,46,-6
195703,37,-15
195803,13,-39
195903,29,-23
196003,11,-41
196103,70,18
196203,22,-30
196303,75,23
196403,35,-17
196503,13,-39
196603,36,-16
196703,100,48
196803,21,-31
196903,9,-43
197003,19,-33
197103,48,-4
197203,90,38
197303,71,19
197403,109,57
197503,45,-7
197603,65,13
197703,52,0
197803,29,-23
197903,53,1
198003,39,-13
198103,38,-14
198203,72,20
198303,31,-21
198403,55,3
198503,81,29
198603,68,16
198703,26,-26
198803,43,-9
198903,45,-7
199003,58,6
199103,76,24
199203,69,17
199303,42,-10
199403,57,5
199503,45,-7
199603,20,-32
199703,78,26
199803,38,-14
199903,62,10
200003,109,57
200103,22,-30
200203,43,-9
200303,44,-8
200403,105,53
200503,51,-1
200603,103,51
200703,107,55
200803,64,12
200903,69,17
201003,30,-22
201103,101,49
201203,130,78
201303,45,-7
201403,27,-25
201503,41,-11
