Washington, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189508,32,-18
189608,40,-10
189708,88,38
189808,79,29
189908,12,-38
190008,21,-29
190108,68,18
190208,37,-13
190308,36,-14
190408,47,-3
190508,39,-11
190608,49,-1
190708,18,-32
190808,37,-13
190908,24,-26
191008,17,-33
191108,30,-20
191208,24,-26
191308,57,7
191408,46,-4
191508,91,41
191608,41,-9
191708,58,8
191808,31,-19
191908,42,-8
192008,50,0
192108,39,-11
192208,45,-5
192308,70,20
192408,34,-16
192508,37,-13
192608,42,-8
192708,55,5
192808,35,-15
192908,58,8
193008,64,14
193108,45,-5
193208,38,-12
193308,61,11
193408,58,8
193508,34,-16
193608,57,7
193708,27,-23
193808,27,-23
193908,64,14
194008,53,3
194108,47,-3
194208,85,35
194308,30,-20
194408,38,-12
194508,51,1
194608,48,-2
194708,31,-19
194808,26,-24
194908,37,-13
195008,57,7
195108,38,-12
195208,47,-3
195308,47,-3
195408,20,-30
195508,32,-18
195608,45,-5
195708,25,-25
195808,95,45
195908,25,-25
196008,27,-23
196108,106,56
196208,30,-20
196308,49,-1
196408,20,-30
196508,58,8
196608,43,-7
196708,122,72
196808,27,-23
196908,25,-25
197008,46,-4
197108,96,46
197208,67,17
197308,32,-18
197408,56,6
197508,22,-28
197608,23,-27
197708,102,52
197808,40,-10
197908,56,6
198008,24,-26
198108,101,51
198208,48,-2
198308,65,15
198408,53,3
198508,41,-9
198608,109,59
198708,53,3
198808,49,-1
198908,37,-13
199008,83,33
199108,78,28
199208,71,21
199308,44,-6
199408,68,18
199508,23,-27
199608,65,15
199708,98,48
199808,90,40
199908,70,20
200008,42,-8
200108,70,20
200208,52,2
200308,78,28
200408,102,52
200508,80,30
200608,53,3
200708,47,-3
200808,57,7
200908,66,16
201008,52,2
201108,61,11
201208,82,32
201308,92,42
201408,110,60
201508,95,45
