Connecticut, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.54,-1.39
189605,-1.39,-1.24
189705,.3,0.45
189805,3.2,3.35
189905,-1.27,-1.12
190005,-.35,-0.20
190105,3.93,4.08
190205,2.79,2.94
190305,1.65,1.80
190405,-.41,-0.26
190505,-2.1,-1.95
190605,1,1.15
190705,-.89,-0.74
190805,-.18,-0.03
190905,-.22,-0.07
191005,-1.3,-1.15
191105,-2.68,-2.53
191205,1.8,1.95
191305,-.15,0.00
191405,-.5,-0.35
191505,-2.03,-1.88
191605,.42,0.57
191705,.21,0.36
191805,-1.45,-1.30
191905,1.09,1.24
192005,1.37,1.52
192105,-.52,-0.37
192205,.37,0.52
192305,-.68,-0.53
192405,1.31,1.46
192505,-1.56,-1.41
192605,-.79,-0.64
192705,.49,0.64
192805,1.62,1.77
192905,1.49,1.64
193005,-2.4,-2.25
193105,.56,0.71
193205,-2.34,-2.19
193305,-.61,-0.46
193405,.82,0.97
193505,-1.57,-1.42
193605,-.48,-0.33
193705,1.02,1.17
193805,.08,0.23
193905,-.97,-0.82
194005,1.98,2.13
194105,-2.64,-2.49
194205,-1.92,-1.77
194305,-.26,-0.11
194405,-2.16,-2.01
194505,.82,0.97
194605,.71,0.86
194705,.42,0.57
194805,1.09,1.24
194905,-.27,-0.12
195005,-2.24,-2.09
195105,-.3,-0.15
195205,1.83,1.98
195305,.03,0.18
195405,-.97,-0.82
195505,-1.19,-1.04
195605,-.41,-0.26
195705,-1.94,-1.79
195805,1.77,1.92
195905,-1.59,-1.44
196005,-.71,-0.56
196105,1.02,1.17
196205,-2.16,-2.01
196305,-2.34,-2.19
196405,-2.24,-2.09
196505,-4.14,-3.99
196605,-4.12,-3.97
196705,1.13,1.28
196805,.5,0.65
196905,-1.12,-0.97
197005,-.34,-0.19
197105,-1.59,-1.44
197205,1.58,1.73
197305,3.66,3.81
197405,-.37,-0.22
197505,-.61,-0.46
197605,1.55,1.70
197705,-.39,-0.24
197805,-.55,-0.40
197905,2.74,2.89
198005,-.74,-0.59
198105,-2.01,-1.86
198205,.15,0.30
198305,4.03,4.18
198405,4.37,4.52
198505,.05,0.20
198605,-2.15,-2.00
198705,-.66,-0.51
198805,-1.85,-1.70
198905,1.78,1.93
199005,2.92,3.07
199105,-.89,-0.74
199205,-1.68,-1.53
199305,-1.1,-0.95
199405,-.7,-0.55
199505,-1.43,-1.28
199605,1.62,1.77
199705,-.37,-0.22
199805,1.44,1.59
199905,-.93,-0.78
200005,.47,0.62
200105,-.94,-0.79
200205,.44,0.59
200305,.33,0.48
200405,-.28,-0.13
200505,-.33,-0.18
200605,2.2,2.35
200705,-.83,-0.68
200805,1.34,1.49
200905,-1.47,-1.32
201005,-1.52,-1.37
201105,.9,1.05
201205,-2.78,-2.63
201305,.07,0.22
201405,-.6,-0.45
201505,-2.94,-2.79
