Georgia, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.77,-0.81
189609,-3.68,-3.72
189709,-1.95,-1.99
189809,3.27,3.23
189909,-3.67,-3.71
190009,-1.46,-1.50
190109,3.63,3.59
190209,.29,0.25
190309,2.43,2.39
190409,-2.06,-2.10
190509,-2.15,-2.19
190609,2.56,2.52
190709,1.42,1.38
190809,-.9,-0.94
190909,-.01,-0.05
191009,-.47,-0.51
191109,-.51,-0.55
191209,4.68,4.64
191309,-1.25,-1.29
191409,.28,0.24
191509,-1.63,-1.67
191609,-.79,-0.83
191709,1.15,1.11
191809,-2.41,-2.45
191909,2.41,2.37
192009,2.94,2.90
192109,-1.95,-1.99
192209,-1.02,-1.06
192309,-.49,-0.53
192409,2.5,2.46
192509,-6.3,-6.34
192609,-1.19,-1.23
192709,-3.23,-3.27
192809,5.92,5.88
192909,4.91,4.87
193009,.49,0.45
193109,-3.34,-3.38
193209,1.39,1.35
193309,-1.61,-1.65
193409,-1.81,-1.85
193509,1.08,1.04
193609,.13,0.09
193709,.26,0.22
193809,-.57,-0.61
193909,-.18,-0.22
194009,-.61,-0.65
194109,-2.59,-2.63
194209,.69,0.65
194309,-.79,-0.83
194409,-1.05,-1.09
194509,1.27,1.23
194609,1.79,1.75
194709,1.08,1.04
194809,2.7,2.66
194909,2.84,2.80
195009,.9,0.86
195109,.42,0.38
195209,-1.37,-1.41
195309,2.24,2.20
195409,-5.13,-5.17
195509,-2.74,-2.78
195609,-1.55,-1.59
195709,1.31,1.27
195809,-1.09,-1.13
195909,.83,0.79
196009,-.32,-0.36
196109,-.41,-0.45
196209,-1.46,-1.50
196309,-.06,-0.10
196409,3.87,3.83
196509,2.19,2.15
196609,2.05,2.01
196709,2.25,2.21
196809,-1.75,-1.79
196909,2.08,2.04
197009,.67,0.63
197109,2.63,2.59
197209,-1.25,-1.29
197309,2.61,2.57
197409,1.97,1.93
197509,3.45,3.41
197609,1.99,1.95
197709,.16,0.12
197809,-1.61,-1.65
197909,2.51,2.47
198009,-2.41,-2.45
198109,-3.91,-3.95
198209,.44,0.40
198309,.28,0.24
198409,-.71,-0.75
198509,.26,0.22
198609,-4.02,-4.06
198709,-2.19,-2.23
198809,-2.36,-2.40
198909,2.83,2.79
199009,-3.54,-3.58
199109,-.48,-0.52
199209,2.1,2.06
199309,-3.36,-3.40
199409,3.14,3.10
199509,.24,0.20
199609,.18,0.14
199709,.4,0.36
199809,-1.39,-1.43
199909,-3.02,-3.06
200009,-3.54,-3.58
200109,-1.3,-1.34
200209,.52,0.48
200309,3.85,3.81
200409,3.38,3.34
200509,-.87,-0.91
200609,-3.55,-3.59
200709,-4.66,-4.70
200809,-3.35,-3.39
200909,.82,0.78
201009,-1.96,-2.00
201109,-4.92,-4.96
201209,-3.42,-3.46
201309,4.34,4.30
201409,.21,0.17
201509,.03,-0.01
