Idaho, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.84,0.74
189601,.8,0.70
189701,2.04,1.94
189801,1.33,1.23
189901,-2.68,-2.78
190001,-.46,-0.56
190101,1.19,1.09
190201,-2.78,-2.88
190301,1.53,1.43
190401,.74,0.64
190501,-3.78,-3.88
190601,.32,0.22
190701,2.33,2.23
190801,-1.39,-1.49
190901,3.57,3.47
191001,3.25,3.15
191101,1.7,1.60
191201,1.59,1.49
191301,3.4,3.30
191401,3.57,3.47
191501,-2.93,-3.03
191601,1.94,1.84
191701,1.3,1.20
191801,-1.09,-1.19
191901,-2.69,-2.79
192001,-2.68,-2.78
192101,2.53,2.43
192201,.25,0.15
192301,-1.32,-1.42
192401,-.54,-0.64
192501,1.36,1.26
192601,-1.02,-1.12
192701,1.17,1.07
192801,0,-0.10
192901,-2.95,-3.05
193001,-4.24,-4.34
193101,-2.6,-2.70
193201,-3.31,-3.41
193301,-.22,-0.32
193401,-1.3,-1.40
193501,-3.77,-3.87
193601,-3.96,-4.06
193701,-5.56,-5.66
193801,.49,0.39
193901,-.59,-0.69
194001,-4.17,-4.27
194101,-.41,-0.51
194201,2.76,2.66
194301,2.75,2.65
194401,-3.09,-3.19
194501,-1.75,-1.85
194601,1.88,1.78
194701,-.3,-0.40
194801,.91,0.81
194901,1.53,1.43
195001,.9,0.80
195101,1.72,1.62
195201,2.3,2.20
195301,.82,0.72
195401,-1.74,-1.84
195501,-3.19,-3.29
195601,3.75,3.65
195701,-.9,-1.00
195801,-.07,-0.17
195901,.89,0.79
196001,-1.28,-1.38
196101,-2.16,-2.26
196201,.61,0.51
196301,-.78,-0.88
196401,1.69,1.59
196501,5.26,5.16
196601,-1.66,-1.76
196701,.87,0.77
196801,-.61,-0.71
196901,4.4,4.30
197001,1.37,1.27
197101,4.17,4.07
197201,3.56,3.46
197301,-.61,-0.71
197401,3.34,3.24
197501,.23,0.13
197601,3.32,3.22
197701,-4.55,-4.65
197801,2.34,2.24
197901,-2,-2.10
198001,.36,0.26
198101,-.75,-0.85
198201,2.58,2.48
198301,3.79,3.69
198401,4.82,4.72
198501,-.96,-1.06
198601,1.5,1.40
198701,-2.49,-2.59
198801,-4.23,-4.33
198901,-2.66,-2.76
199001,-2.67,-2.77
199101,-1.92,-2.02
199201,-1.46,-1.56
199301,-2.6,-2.70
199401,-2.43,-2.53
199501,1.2,1.10
199601,4.77,4.67
199701,4.69,4.59
199801,1.83,1.73
199901,2.59,2.49
200001,-1.87,-1.97
200101,-3.62,-3.72
200201,-2.77,-2.87
200301,-3.41,-3.51
200401,-3.04,-3.14
200501,-1.32,-1.42
200601,2.38,2.28
200701,-1.12,-1.22
200801,-1.64,-1.74
200901,-1.8,-1.90
201001,-1.24,-1.34
201101,2.65,2.55
201201,-.91,-1.01
201301,-.33,-0.43
201401,-3.91,-4.01
201501,-1.34,-1.44
