Kansas, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.13,-1.40
189605,1.2,0.93
189705,-.49,-0.76
189805,1.45,1.18
189905,.65,0.38
190005,.55,0.28
190105,-.69,-0.96
190205,.41,0.14
190305,4.26,3.99
190405,2.06,1.79
190505,2.34,2.07
190605,1.13,0.86
190705,1.35,1.08
190805,1.08,0.81
190905,1.71,1.44
191005,-.9,-1.17
191105,-2.47,-2.74
191205,.68,0.41
191305,-1.64,-1.91
191405,-1.85,-2.12
191505,2.77,2.50
191605,3.39,3.12
191705,-1.83,-2.10
191805,-2.47,-2.74
191905,2.24,1.97
192005,-.94,-1.21
192105,-.98,-1.25
192205,1.77,1.50
192305,.96,0.69
192405,-.22,-0.49
192505,-1.99,-2.26
192605,-2.53,-2.80
192705,.92,0.65
192805,1.92,1.65
192905,3.98,3.71
193005,-.65,-0.92
193105,-.04,-0.31
193205,-1.1,-1.37
193305,-2.25,-2.52
193405,-5.19,-5.46
193505,-3.56,-3.83
193605,-2.92,-3.19
193705,-4.39,-4.66
193805,-2.44,-2.71
193905,-3.61,-3.88
194005,-3.98,-4.25
194105,.63,0.36
194205,3.35,3.08
194305,2.77,2.50
194405,3.45,3.18
194505,3.93,3.66
194605,-1.26,-1.53
194705,2.76,2.49
194805,-1.25,-1.52
194905,2.83,2.56
195005,-1.66,-1.93
195105,2.86,2.59
195205,-.4,-0.67
195305,-3.56,-3.83
195405,-3.9,-4.17
195505,-4.64,-4.91
195605,-6.44,-6.71
195705,2.05,1.78
195805,2.5,2.23
195905,2.02,1.75
196005,2.82,2.55
196105,2.36,2.09
196205,2.4,2.13
196305,-2.67,-2.94
196405,-3.93,-4.20
196505,-.88,-1.15
196605,-1.72,-1.99
196705,-3.48,-3.75
196805,-.89,-1.16
196905,2.22,1.95
197005,-.38,-0.65
197105,-.41,-0.68
197205,-.74,-1.01
197305,4.68,4.41
197405,3.65,3.38
197505,2.02,1.75
197605,.98,0.71
197705,.51,0.24
197805,0,-0.27
197905,.97,0.70
198005,-.4,-0.67
198105,.87,0.60
198205,1.79,1.52
198305,2.98,2.71
198405,-.25,-0.52
198505,1.86,1.59
198605,2.27,2.00
198705,4.82,4.55
198805,-.5,-0.77
198905,-3.85,-4.12
199005,1.49,1.22
199105,-2.26,-2.53
199205,-1.01,-1.28
199305,5.67,5.40
199405,3.82,3.55
199505,3.86,3.59
199605,.13,-0.14
199705,2.09,1.82
199805,2.63,2.36
199905,4.29,4.02
200005,-.91,-1.18
200105,1.58,1.31
200205,-2.05,-2.32
200305,-1.29,-1.56
200405,-1.55,-1.82
200505,1.36,1.09
200605,-2.26,-2.53
200705,2.2,1.93
200805,2.53,2.26
200905,3.48,3.21
201005,3.73,3.46
201105,-1.39,-1.66
201205,-2.05,-2.32
201305,-2.63,-2.90
201405,-2.73,-3.00
201505,1.87,1.60
