Kentucky, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-2.11,-1.93
189609,1.09,1.27
189709,-1.75,-1.57
189809,.65,0.83
189909,-2.02,-1.84
190009,-2.55,-2.37
190109,-2.47,-2.29
190209,-2.97,-2.79
190309,-1.97,-1.79
190409,-2.59,-2.41
190509,.71,0.89
190609,1.69,1.87
190709,2.34,2.52
190809,-1.49,-1.31
190909,-.35,-0.17
191009,2.43,2.61
191109,-1.72,-1.54
191209,2.42,2.60
191309,-3.07,-2.89
191409,-3.12,-2.94
191509,2.38,2.56
191609,2.09,2.27
191709,1.51,1.69
191809,-1.54,-1.36
191909,-2.18,-2.00
192009,2.98,3.16
192109,.61,0.79
192209,-1,-0.82
192309,1.32,1.50
192409,1.15,1.33
192509,-3.25,-3.07
192609,1.28,1.46
192709,-.41,-0.23
192809,1.88,2.06
192909,1.02,1.20
193009,-5.24,-5.06
193109,-4.45,-4.27
193209,.19,0.37
193309,-.25,-0.07
193409,-1.49,-1.31
193509,-.14,0.04
193609,-4.28,-4.10
193709,-1.54,-1.36
193809,1.9,2.08
193909,-1.39,-1.21
194009,-2.62,-2.44
194109,-4.42,-4.24
194209,1.45,1.63
194309,-1.7,-1.52
194409,-2.97,-2.79
194509,-.64,-0.46
194609,-.2,-0.02
194709,-.13,0.05
194809,-1.36,-1.18
194909,.02,0.20
195009,4.8,4.98
195109,1.6,1.78
195209,-2.68,-2.50
195309,-3.86,-3.68
195409,-4.18,-4.00
195509,-.96,-0.78
195609,-.45,-0.27
195709,.37,0.55
195809,2.65,2.83
195909,-1.76,-1.58
196009,-.37,-0.19
196109,1.73,1.91
196209,1.5,1.68
196309,-.67,-0.49
196409,-1.57,-1.39
196509,.77,0.95
196609,.73,0.91
196709,1.97,2.15
196809,-.51,-0.33
196909,-.49,-0.31
197009,.51,0.69
197109,1.79,1.97
197209,1.32,1.50
197309,1.78,1.96
197409,3.83,4.01
197509,3.19,3.37
197609,1.83,2.01
197709,1.35,1.53
197809,.82,1.00
197909,6.44,6.62
198009,-1.66,-1.48
198109,1.2,1.38
198209,1.61,1.79
198309,-2.78,-2.60
198409,-1.13,-0.95
198509,.71,0.89
198609,-2.25,-2.07
198709,-2.72,-2.54
198809,.48,0.66
198909,3.74,3.92
199009,1.04,1.22
199109,-1.92,-1.74
199209,1.8,1.98
199309,.3,0.48
199409,-.6,-0.42
199509,-.93,-0.75
199609,2.96,3.14
199709,-1.06,-0.88
199809,-1.54,-1.36
199909,-4.01,-3.83
200009,-1.23,-1.05
200109,.69,0.87
200209,.85,1.03
200309,3.99,4.17
200409,3.02,3.20
200509,-1.44,-1.26
200609,2.5,2.68
200709,-3.98,-3.80
200809,-2.07,-1.89
200909,2.96,3.14
201009,-1.5,-1.32
201109,3,3.18
201209,.98,1.16
201309,2.68,2.86
201409,1.46,1.64
201509,3.04,3.22
