Kentucky, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-2.36,-2.25
189610,.82,0.93
189710,-2.64,-2.53
189810,1.43,1.54
189910,-2.25,-2.14
190010,-2.81,-2.70
190110,-2.91,-2.80
190210,-3.02,-2.91
190310,-2.07,-1.96
190410,-3.3,-3.19
190510,1.62,1.73
190610,1.42,1.53
190710,2.44,2.55
190810,-2.22,-2.11
190910,-.36,-0.25
191010,2.94,3.05
191110,.37,0.48
191210,1.73,1.84
191310,-2.63,-2.52
191410,-2.13,-2.02
191510,2.64,2.75
191610,1.96,2.07
191710,1.83,1.94
191810,-1.08,-0.97
191910,1.56,1.67
192010,-.34,-0.23
192110,.37,0.48
192210,-1.29,-1.18
192310,.89,1.00
192410,-.91,-0.80
192510,1.94,2.05
192610,2.62,2.73
192710,-.49,-0.38
192810,2.19,2.30
192910,1.41,1.52
193010,-5.43,-5.32
193110,-4.16,-4.05
193210,.53,0.64
193310,-.46,-0.35
193410,-2.07,-1.96
193510,-.15,-0.04
193610,-3.87,-3.76
193710,-.64,-0.53
193810,-.71,-0.60
193910,-1.77,-1.66
194010,-3.37,-3.26
194110,-3.8,-3.69
194210,1.56,1.67
194310,-2.03,-1.92
194410,-3.34,-3.23
194510,-.87,-0.76
194610,-.33,-0.22
194710,-.58,-0.47
194810,-1.39,-1.28
194910,.57,0.68
195010,4.15,4.26
195110,1.01,1.12
195210,-2.92,-2.81
195310,-4.58,-4.47
195410,-3.9,-3.79
195510,-.92,-0.81
195610,-.87,-0.76
195710,.5,0.61
195810,-.22,-0.11
195910,-1.06,-0.95
196010,-.56,-0.45
196110,1.3,1.41
196210,1.71,1.82
196310,-1.9,-1.79
196410,-1.83,-1.72
196510,.84,0.95
196610,.73,0.84
196710,2,2.11
196810,-.6,-0.49
196910,-.64,-0.53
197010,1.28,1.39
197110,-.45,-0.34
197210,1.52,1.63
197310,1.56,1.67
197410,3.49,3.60
197510,3.85,3.96
197610,2.77,2.88
197710,2.21,2.32
197810,.94,1.05
197910,6.15,6.26
198010,-1.66,-1.55
198110,1.48,1.59
198210,1.24,1.35
198310,.9,1.01
198410,.61,0.72
198510,1.5,1.61
198610,-1.98,-1.87
198710,-3.23,-3.12
198810,.5,0.61
198910,4.17,4.28
199010,1.8,1.91
199110,-2,-1.89
199210,1.5,1.61
199310,.94,1.05
199410,-.7,-0.59
199510,.69,0.80
199610,3.11,3.22
199710,-1.34,-1.23
199810,-1.63,-1.52
199910,-3.75,-3.64
200010,-1.87,-1.76
200110,1.46,1.57
200210,1.93,2.04
200310,3.85,3.96
200410,3.65,3.76
200510,-2.14,-2.03
200610,3.64,3.75
200710,.65,0.76
200810,-2.24,-2.13
200910,4.67,4.78
201010,-1.97,-1.86
201110,3.02,3.13
201210,1.19,1.30
201310,3.05,3.16
201410,2.53,2.64
201510,3.34,3.45
