Massachusetts, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-1.28,-1.20
189607,-1.8,-1.72
189707,2.71,2.79
189807,1.79,1.87
189907,-1.04,-0.96
190007,-.83,-0.75
190107,2.15,2.23
190207,1.42,1.50
190307,1.54,1.62
190407,-.55,-0.47
190507,.36,0.44
190607,1.46,1.54
190707,-1.4,-1.32
190807,.02,0.10
190907,-1.08,-1.00
191007,-1.85,-1.77
191107,-3.4,-3.32
191207,-1.26,-1.18
191307,-2.26,-2.18
191407,-.83,-0.75
191507,1.74,1.82
191607,2.57,2.65
191707,.31,0.39
191807,-1.72,-1.64
191907,.37,0.45
192007,2.42,2.50
192107,1.29,1.37
192207,2,2.08
192307,-1.16,-1.08
192407,-1.02,-0.94
192507,.66,0.74
192607,-1,-0.92
192707,.58,0.66
192807,2.92,3.00
192907,-1.35,-1.27
193007,-2.53,-2.45
193107,1.22,1.30
193207,-2.26,-2.18
193307,-1.64,-1.56
193407,-.46,-0.38
193507,.68,0.76
193607,-1.31,-1.23
193707,.59,0.67
193807,3.61,3.69
193907,-1.67,-1.59
194007,-.05,0.03
194107,-2.02,-1.94
194207,.77,0.85
194307,-.27,-0.19
194407,-1.99,-1.91
194507,2.14,2.22
194607,.66,0.74
194707,1.02,1.10
194807,1.85,1.93
194907,-2.74,-2.66
195007,-2.77,-2.69
195107,.51,0.59
195207,-.74,-0.66
195307,-.84,-0.76
195407,-.46,-0.38
195507,-1.99,-1.91
195607,-.68,-0.60
195707,-3.21,-3.13
195807,1.72,1.80
195907,1.1,1.18
196007,1.72,1.80
196107,-.33,-0.25
196207,-1.51,-1.43
196307,-1.67,-1.59
196407,-3.02,-2.94
196507,-4.77,-4.69
196607,-4.16,-4.08
196707,1.74,1.82
196807,-.88,-0.80
196907,-.31,-0.23
197007,-.79,-0.71
197107,-1.41,-1.33
197207,3.35,3.43
197307,3.43,3.51
197407,1.12,1.20
197507,.74,0.82
197607,.12,0.20
197707,.52,0.60
197807,-1.3,-1.22
197907,1.05,1.13
198007,-1.19,-1.11
198107,-1.84,-1.76
198207,2.31,2.39
198307,1.96,2.04
198407,4.7,4.78
198507,.35,0.43
198607,1.91,1.99
198707,-1.77,-1.69
198807,1.34,1.42
198907,1.92,2.00
199007,1.61,1.69
199107,-1.69,-1.61
199207,.74,0.82
199307,-2.07,-1.99
199407,-.84,-0.76
199507,-2.22,-2.14
199607,2.84,2.92
199707,-1.08,-1.00
199807,-.2,-0.12
199907,-2.33,-2.25
200007,2.36,2.44
200107,.69,0.77
200207,-1.75,-1.67
200307,1.37,1.45
200407,.14,0.22
200507,-.77,-0.69
200607,3.49,3.57
200707,-.07,0.01
200807,2.7,2.78
200907,4.12,4.20
201007,-2.17,-2.09
201107,.84,0.92
201207,-2.05,-1.97
201307,.01,0.09
201407,1.15,1.23
201507,-1.07,-0.99
