Massachusetts, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,1.04,1.09
189610,1.3,1.35
189710,1.22,1.27
189810,3.45,3.50
189910,-1.2,-1.15
190010,-1.47,-1.42
190110,1.45,1.50
190210,2.1,2.15
190310,-.25,-0.20
190410,-.27,-0.22
190510,-.36,-0.31
190610,-.4,-0.35
190710,2.08,2.13
190810,-.99,-0.94
190910,-1.46,-1.41
191010,-2.83,-2.78
191110,1.16,1.21
191210,-2.18,-2.13
191310,.84,0.89
191410,-2.48,-2.43
191510,1.71,1.76
191610,-.8,-0.75
191710,.93,0.98
191810,-.65,-0.60
191910,.9,0.95
192010,1.34,1.39
192110,-1.24,-1.19
192210,-.27,-0.22
192310,.35,0.40
192410,-1.02,-0.97
192510,.56,0.61
192610,.54,0.59
192710,2.38,2.43
192810,-.37,-0.32
192910,-2.3,-2.25
193010,-3.27,-3.22
193110,-.83,-0.78
193210,1.51,1.56
193310,2.24,2.29
193410,1.12,1.17
193510,-1.26,-1.21
193610,.52,0.57
193710,1.42,1.47
193810,-.25,-0.20
193910,-1.68,-1.63
194010,-1.54,-1.49
194110,-3,-2.95
194210,.42,0.47
194310,-.88,-0.83
194410,.23,0.28
194510,.98,1.03
194610,-.73,-0.68
194710,-1.6,-1.55
194810,-1.44,-1.39
194910,-3.44,-3.39
195010,-3.1,-3.05
195110,.35,0.40
195210,-.9,-0.85
195310,.34,0.39
195410,1.51,1.56
195510,4.65,4.70
195610,-1.14,-1.09
195710,-4.36,-4.31
195810,2.15,2.20
195910,1.01,1.06
196010,-.05,0.00
196110,-.57,-0.52
196210,1.25,1.30
196310,-2.58,-2.53
196410,-3.92,-3.87
196510,-4.71,-4.66
196610,-3.24,-3.19
196710,-.67,-0.62
196810,-2.7,-2.65
196910,-.81,-0.76
197010,-1.27,-1.22
197110,-1.98,-1.93
197210,2.64,2.69
197310,2.32,2.37
197410,1.56,1.61
197510,3.14,3.19
197610,1.48,1.53
197710,2.47,2.52
197810,-1.17,-1.12
197910,2.13,2.18
198010,-2.19,-2.14
198110,.58,0.63
198210,-.64,-0.59
198310,.62,0.67
198410,-1.37,-1.32
198510,1.17,1.22
198610,1.1,1.15
198710,1.01,1.06
198810,-.76,-0.71
198910,3.79,3.84
199010,2.76,2.81
199110,2.02,2.07
199210,1.21,1.26
199310,.27,0.32
199410,-.82,-0.77
199510,1.44,1.49
199610,4.65,4.70
199710,-1.97,-1.92
199810,-.71,-0.66
199910,1.9,1.95
200010,-.21,-0.16
200110,-1.24,-1.19
200210,.18,0.23
200310,2.96,3.01
200410,1.37,1.42
200510,3.54,3.59
200610,3.25,3.30
200710,-1.71,-1.66
200810,3.52,3.57
200910,4.08,4.13
201010,.8,0.85
201110,4.74,4.79
201210,-.58,-0.53
201310,-.94,-0.89
201410,.77,0.82
201510,-1.2,-1.15
