New Hampshire, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.29,-0.93
189605,-1.78,-1.42
189705,.51,0.87
189805,1.83,2.19
189905,-1.69,-1.33
190005,-.81,-0.45
190105,1.93,2.29
190205,1.62,1.98
190305,-1.97,-1.61
190405,-.13,0.23
190505,-2.84,-2.48
190605,.84,1.20
190705,-2.06,-1.70
190805,-.44,-0.08
190905,-1.58,-1.22
191005,-2.34,-1.98
191105,-4.28,-3.92
191205,1.1,1.46
191305,-.36,0.00
191405,-.87,-0.51
191505,-4.07,-3.71
191605,.34,0.70
191705,.14,0.50
191805,-2.4,-2.04
191905,-.01,0.35
192005,1.66,2.02
192105,-1.65,-1.29
192205,.55,0.91
192305,-1.26,-0.90
192405,-.04,0.32
192505,-1.52,-1.16
192605,-1.25,-0.89
192705,-1.69,-1.33
192805,1.81,2.17
192905,1.45,1.81
193005,-2.24,-1.88
193105,-2.76,-2.40
193205,-1.68,-1.32
193305,-.58,-0.22
193405,-.54,-0.18
193505,-1.24,-0.88
193605,-.44,-0.08
193705,2.06,2.42
193805,-1.03,-0.67
193905,-.61,-0.25
194005,1.6,1.96
194105,-2.9,-2.54
194205,-2.57,-2.21
194305,.72,1.08
194405,-1.86,-1.50
194505,1.43,1.79
194605,.52,0.88
194705,.56,0.92
194805,-1.5,-1.14
194905,-2.27,-1.91
195005,-2.83,-2.47
195105,1.42,1.78
195205,2.09,2.45
195305,3.06,3.42
195405,2.5,2.86
195505,-1.05,-0.69
195605,.03,0.39
195705,-2.78,-2.42
195805,-.35,0.01
195905,-2.08,-1.72
196005,1.75,2.11
196105,-.84,-0.48
196205,-1.87,-1.51
196305,-1.18,-0.82
196405,-2.05,-1.69
196505,-4.66,-4.30
196605,-3.42,-3.06
196705,-.65,-0.29
196805,.45,0.81
196905,1.11,1.47
197005,-.17,0.19
197105,-1.05,-0.69
197205,.95,1.31
197305,2.63,2.99
197405,3,3.36
197505,-1.12,-0.76
197605,2.03,2.39
197705,-.91,-0.55
197805,-1.42,-1.06
197905,.68,1.04
198005,-2.07,-1.71
198105,.81,1.17
198205,.9,1.26
198305,3.25,3.61
198405,4.45,4.81
198505,-2.71,-2.35
198605,-1.3,-0.94
198705,-.7,-0.34
198805,-1.24,-0.88
198905,.8,1.16
199005,1.58,1.94
199105,-1.07,-0.71
199205,-1.44,-1.08
199305,-.95,-0.59
199405,.73,1.09
199505,-1.66,-1.30
199605,3.47,3.83
199705,2.86,3.22
199805,-.99,-0.63
199905,-1.49,-1.13
200005,1.83,2.19
200105,-1.89,-1.53
200205,-1.69,-1.33
200305,-1.28,-0.92
200405,1.25,1.61
200505,2.33,2.69
200605,3.79,4.15
200705,4.01,4.37
200805,2.71,3.07
200905,2.76,3.12
201005,2.45,2.81
201105,2.52,2.88
201205,.53,0.89
201305,.53,0.89
201405,1.18,1.54
201505,-2.15,-1.79
