Nevada, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,2.87,2.87
189603,.77,0.77
189703,2.88,2.88
189803,-.35,-0.35
189903,1.38,1.38
190003,-2.72,-2.72
190103,-.26,-0.26
190203,.78,0.78
190303,.8,0.80
190403,1.13,1.13
190503,.44,0.44
190603,1.72,1.72
190703,6.19,6.19
190803,3.5,3.50
190903,2.39,2.39
191003,-.75,-0.75
191103,1.8,1.80
191203,.31,0.31
191303,-1.54,-1.54
191403,3.06,3.06
191503,-1.48,-1.48
191603,2.14,2.14
191703,1.48,1.48
191803,.7,0.70
191903,.71,0.71
192003,.77,0.77
192103,-1,-1.00
192203,2.61,2.61
192303,1.55,1.55
192403,-1.77,-1.77
192503,-3.51,-3.51
192603,-2.09,-2.09
192703,-2.05,-2.05
192803,-1.66,-1.66
192903,-3.61,-3.61
193003,-3.91,-3.91
193103,-3.24,-3.24
193203,2.19,2.19
193303,-1.37,-1.37
193403,-4.45,-4.45
193503,.67,0.67
193603,-.17,-0.17
193703,1.69,1.69
193803,1.85,1.85
193903,-.53,-0.53
194003,.75,0.75
194103,1.29,1.29
194203,4.87,4.87
194303,2.87,2.87
194403,1.49,1.49
194503,2.16,2.16
194603,3.27,3.27
194703,-1.23,-1.23
194803,-1.46,-1.46
194903,.91,0.91
195003,-2.27,-2.27
195103,-2.34,-2.34
195203,3.33,3.33
195303,-2.33,-2.33
195403,-2.8,-2.80
195503,-3.57,-3.57
195603,-.64,-0.64
195703,-1.93,-1.93
195803,1.75,1.75
195903,-2.61,-2.61
196003,-3.47,-3.47
196103,-3.02,-3.02
196203,1.4,1.40
196303,-2.82,-2.82
196403,-1.41,-1.41
196503,-.7,-0.70
196603,-1.11,-1.11
196703,.38,0.38
196803,-1.96,-1.96
196903,2.92,2.92
197003,-.88,-0.88
197103,0,0.00
197203,-1.95,-1.95
197303,3.12,3.12
197403,-.61,-0.61
197503,.91,0.91
197603,-1.5,-1.50
197703,-3.18,-3.18
197803,2.22,2.22
197903,3.33,3.33
198003,2.52,2.52
198103,-2.11,-2.11
198203,1,1.00
198303,5,5.00
198403,6.37,6.37
198503,.35,0.35
198603,.44,0.44
198703,-1.45,-1.45
198803,-1.02,-1.02
198903,-1.29,-1.29
199003,-3.39,-3.39
199103,-3.51,-3.51
199203,-1.88,-1.88
199303,2.73,2.73
199403,-1.97,-1.97
199503,2.74,2.74
199603,-.23,-0.23
199703,-.81,-0.81
199803,2.08,2.08
199903,-1.47,-1.47
200003,-1.89,-1.89
200103,-2.27,-2.27
200203,-3.25,-3.25
200303,-4.66,-4.66
200403,-2.73,-2.73
200503,3.72,3.72
200603,3.84,3.84
200703,-3.16,-3.16
200803,-3.14,-3.14
200903,-3.28,-3.28
201003,.11,0.11
201103,2.49,2.49
201203,-2.53,-2.53
201303,-4.08,-4.08
201403,-4.22,-4.22
201503,-5.76,-5.76
201603,-1.74,-1.74
