Nevada, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,1.43,1.41
189610,1.84,1.82
189710,2.03,2.01
189810,-1.22,-1.24
189910,-.18,-0.20
190010,-2.25,-2.27
190110,.97,0.95
190210,-1.82,-1.84
190310,-1.03,-1.05
190410,1.98,1.96
190510,-1.15,-1.17
190610,3.37,3.35
190710,5.58,5.56
190810,3,2.98
190910,1.1,1.08
191010,-.11,-0.13
191110,-.57,-0.59
191210,1.06,1.04
191310,1.31,1.29
191410,-.24,-0.26
191510,-1.49,-1.51
191610,2.11,2.09
191710,-1.05,-1.07
191810,1.23,1.21
191910,-1.72,-1.74
192010,1.64,1.62
192110,-1.52,-1.54
192210,2.56,2.54
192310,2.97,2.95
192410,-4.26,-4.28
192510,2.16,2.14
192610,-4.4,-4.42
192710,-.74,-0.76
192810,-4.22,-4.24
192910,-3.64,-3.66
193010,-2.15,-2.17
193110,.15,0.13
193210,-.74,-0.76
193310,-2.73,-2.75
193410,-5.72,-5.74
193510,-.88,-0.90
193610,1.01,0.99
193710,-1.16,-1.18
193810,3.99,3.97
193910,1.39,1.37
194010,.9,0.88
194110,6.38,6.36
194210,1.93,1.91
194310,1.99,1.97
194410,-1.49,-1.51
194510,5.16,5.14
194610,2.57,2.55
194710,-1.93,-1.95
194810,-1.58,-1.60
194910,-.78,-0.80
195010,-3.33,-3.35
195110,.38,0.36
195210,-.96,-0.98
195310,-3.11,-3.13
195410,-4.16,-4.18
195510,-2.59,-2.61
195610,-.66,-0.68
195710,.98,0.96
195810,-.77,-0.79
195910,-4.02,-4.04
196010,-4.31,-4.33
196110,-.11,-0.13
196210,-.87,-0.89
196310,.5,0.48
196410,-1.53,-1.55
196510,2.15,2.13
196610,-3.08,-3.10
196710,-.63,-0.65
196810,-.58,-0.60
196910,-.24,-0.26
197010,.18,0.16
197110,1.43,1.41
197210,1.67,1.65
197310,-.54,-0.56
197410,1.16,1.14
197510,2.79,2.77
197610,2.03,2.01
197710,-3.13,-3.15
197810,3.16,3.14
197910,1.63,1.61
198010,-.47,-0.49
198110,.81,0.79
198210,3.95,3.93
198310,7.21,7.19
198410,6.66,6.64
198510,.53,0.51
198610,-.13,-0.15
198710,.27,0.25
198810,-1.71,-1.73
198910,-2.03,-2.05
199010,-3.52,-3.54
199110,-1.91,-1.93
199210,.09,0.07
199310,-.2,-0.22
199410,-3.41,-3.43
199510,-.98,-1.00
199610,.14,0.12
199710,-.25,-0.27
199810,8.11,8.09
199910,-1.73,-1.75
200010,-1.91,-1.93
200110,-4.38,-4.40
200210,-4.72,-4.74
200310,-4.4,-4.42
200410,1.61,1.59
200510,4.56,4.54
200610,-1,-1.02
200710,-4.54,-4.56
200810,-4.28,-4.30
200910,-2.7,-2.72
201010,1.33,1.31
201110,-.23,-0.25
201210,-4.19,-4.21
201310,-3.56,-3.58
201410,-4.01,-4.03
201510,-4.06,-4.08
