Ohio, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.65,-0.86
189602,-3.55,-3.76
189702,3,2.79
189802,2.16,1.95
189902,1.73,1.52
190002,-2.01,-2.22
190102,-3.44,-3.65
190202,-3.35,-3.56
190302,2.93,2.72
190402,.56,0.35
190502,-2.69,-2.90
190602,-.62,-0.83
190702,1.75,1.54
190802,3.49,3.28
190902,1.46,1.25
191002,2.8,2.59
191102,-.13,-0.34
191202,2.47,2.26
191302,2.62,2.41
191402,-.34,-0.55
191502,-1.02,-1.23
191602,3.87,3.66
191702,.15,-0.06
191802,-.13,-0.34
191902,-.76,-0.97
192002,1.4,1.19
192102,1.53,1.32
192202,.96,0.75
192302,-.05,-0.26
192402,1.74,1.53
192502,-1.14,-1.35
192602,.51,0.30
192702,3.98,3.77
192802,2.95,2.74
192902,1.31,1.10
193002,3.99,3.78
193102,-7.2,-7.41
193202,-1.4,-1.61
193302,.29,0.08
193402,-3.11,-3.32
193502,-5.69,-5.90
193602,.17,-0.04
193702,2.62,2.41
193802,1.78,1.57
193902,1.18,0.97
194002,.28,0.07
194102,-1.68,-1.89
194202,-1.68,-1.89
194302,.65,0.44
194402,-2.76,-2.97
194502,.41,0.20
194602,-.1,-0.31
194702,-.75,-0.96
194802,1.03,0.82
194902,2.56,2.35
195002,3.13,2.92
195102,4.04,3.83
195202,1.97,1.76
195302,-2.91,-3.12
195402,-6.23,-6.44
195502,1.22,1.01
195602,1.16,0.95
195702,-1,-1.21
195802,-.76,-0.97
195902,3.71,3.50
196002,1.4,1.19
196102,.17,-0.04
196202,1.85,1.64
196302,-2.47,-2.68
196402,-6.17,-6.38
196502,-2.83,-3.04
196602,-.22,-0.43
196702,-.6,-0.81
196802,-.79,-1.00
196902,-.66,-0.87
197002,-.66,-0.87
197102,.85,0.64
197202,-1.63,-1.84
197302,2.41,2.20
197402,2.1,1.89
197502,3.18,2.97
197602,3.01,2.80
197702,-1.39,-1.60
197802,-.85,-1.06
197902,1.85,1.64
198002,2.67,2.46
198102,2.47,2.26
198202,2.06,1.85
198302,-1.53,-1.74
198402,1.4,1.19
198502,-.95,-1.16
198602,.44,0.23
198702,-1.13,-1.34
198802,-1.79,-2.00
198902,.36,0.15
199002,2.31,2.10
199102,-.21,-0.42
199202,-4.52,-4.73
199302,3.04,2.83
199402,-.17,-0.38
199502,-1.25,-1.46
199602,1.03,0.82
199702,3,2.79
199802,1.88,1.67
199902,-.77,-0.98
200002,-3.14,-3.35
200102,-.75,-0.96
200202,-.49,-0.70
200302,-1.02,-1.23
200402,3.9,3.69
200502,-.23,-0.44
200602,-1.27,-1.48
200702,-.06,-0.27
200802,1.91,1.70
200902,-.07,-0.28
201002,-.45,-0.66
201102,1.17,0.96
201202,-.34,-0.55
201302,-.14,-0.35
201402,2.58,2.37
201502,1.14,0.93
201602,1.4,1.19
