Rhode Island, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,.43,0.44
189607,-1.08,-1.07
189707,1.66,1.67
189807,2.86,2.87
189907,-1.15,-1.14
190007,-.58,-0.57
190107,2.66,2.67
190207,-.3,-0.29
190307,1.85,1.86
190407,.93,0.94
190507,.77,0.78
190607,1.69,1.70
190707,-.91,-0.90
190807,-.64,-0.63
190907,-.99,-0.98
191007,-1.06,-1.05
191107,.01,0.02
191207,-1.13,-1.12
191307,-.98,-0.97
191407,-.66,-0.65
191507,.31,0.32
191607,3.57,3.58
191707,.56,0.57
191807,.38,0.39
191907,1.34,1.35
192007,3.75,3.76
192107,1.35,1.36
192207,1.67,1.68
192307,-.65,-0.64
192407,-1.01,-1.00
192507,.34,0.35
192607,-.53,-0.52
192707,.94,0.95
192807,2.49,2.50
192907,-.97,-0.96
193007,-2.33,-2.32
193107,1.24,1.25
193207,-2.13,-2.12
193307,-1.34,-1.33
193407,-.44,-0.43
193507,.78,0.79
193607,-.98,-0.97
193707,-.44,-0.43
193807,3.06,3.07
193907,-1.55,-1.54
194007,.29,0.30
194107,-.94,-0.93
194207,.42,0.43
194307,-1.11,-1.10
194407,-3.5,-3.49
194507,-.61,-0.60
194607,.28,0.29
194707,1.33,1.34
194807,1.93,1.94
194907,-3,-2.99
195007,-2.88,-2.87
195107,-1.82,-1.81
195207,-1.16,-1.15
195307,-.43,-0.42
195407,.35,0.36
195507,-1.46,-1.45
195607,-.1,-0.09
195707,-3.7,-3.69
195807,2.41,2.42
195907,1.64,1.65
196007,.76,0.77
196107,-.69,-0.68
196207,.12,0.13
196307,-1.14,-1.13
196407,-1.82,-1.81
196507,-3.7,-3.69
196607,-3.67,-3.66
196707,2.04,2.05
196807,-.56,-0.55
196907,-1.21,-1.20
197007,-.54,-0.53
197107,-.93,-0.92
197207,3.46,3.47
197307,3.32,3.33
197407,-.76,-0.75
197507,.44,0.45
197607,.15,0.16
197707,.26,0.27
197807,-.74,-0.73
197907,1.22,1.23
198007,-.5,-0.49
198107,-2.09,-2.08
198207,.01,0.02
198307,2.34,2.35
198407,5.15,5.16
198507,.96,0.97
198607,1.45,1.46
198707,-1.92,-1.91
198807,1.21,1.22
198907,2.44,2.45
199007,2.24,2.25
199107,-1.79,-1.78
199207,.6,0.61
199307,-1.8,-1.79
199407,-1.67,-1.66
199507,-2.13,-2.12
199607,1.55,1.56
199707,-1.23,-1.22
199807,-.16,-0.15
199907,-2.57,-2.56
200007,1.88,1.89
200107,1.8,1.81
200207,-1.74,-1.73
200307,2.28,2.29
200407,-.83,-0.82
200507,-1.39,-1.38
200607,3.74,3.75
200707,-.42,-0.41
200807,1.01,1.02
200907,4.03,4.04
201007,2.9,2.91
201107,.72,0.73
201207,.65,0.66
201307,-.16,-0.15
201407,-.01,0.00
201507,-1.09,-1.08
