South Dakota, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,2.44,1.28
189608,2.77,1.61
189708,4.08,2.92
189808,-1.09,-2.25
189908,1.81,0.65
190008,1.36,0.20
190108,.03,-1.13
190208,2.56,1.40
190308,3.03,1.87
190408,1.99,0.83
190508,5.88,4.72
190608,6.84,5.68
190708,6.95,5.79
190808,5.51,4.35
190908,6.04,4.88
191008,-2.79,-3.95
191108,.52,-0.64
191208,1.75,0.59
191308,-2.04,-3.20
191408,.89,-0.27
191508,7.03,5.87
191608,8.29,7.13
191708,4.02,2.86
191808,1.89,0.73
191908,1.66,0.50
192008,6,4.84
192108,1.16,0.00
192208,-.22,-1.38
192308,3.59,2.43
192408,2.57,1.41
192508,-2.16,-3.32
192608,-.03,-1.19
192708,4.26,3.10
192808,1.35,0.19
192908,.87,-0.29
193008,-.9,-2.06
193108,-3.85,-5.01
193208,-.98,-2.14
193308,-3.2,-4.36
193408,-8.31,-9.47
193508,-2.39,-3.55
193608,-6.98,-8.14
193708,-3.31,-4.47
193808,-2.82,-3.98
193908,-4.11,-5.27
194008,-3.87,-5.03
194108,-.73,-1.89
194208,4.85,3.69
194308,-.02,-1.18
194408,4.54,3.38
194508,4.06,2.90
194608,1.52,0.36
194708,3.74,2.58
194808,2.27,1.11
194908,-2.56,-3.72
195008,.61,-0.55
195108,2.59,1.43
195208,-.8,-1.96
195308,4.52,3.36
195408,-.93,-2.09
195508,-4.33,-5.49
195608,-2.62,-3.78
195708,3.63,2.47
195808,-.52,-1.68
195908,-4.13,-5.29
196008,.87,-0.29
196108,-2.69,-3.85
196208,5.54,4.38
196308,2.27,1.11
196408,-.56,-1.72
196508,1.95,0.79
196608,1.48,0.32
196708,-.53,-1.69
196808,1.93,0.77
196908,-.51,-1.67
197008,-1.25,-2.41
197108,1.03,-0.13
197208,4.75,3.59
197308,1.28,0.12
197408,-2.19,-3.35
197508,-.59,-1.75
197608,-4.17,-5.33
197708,.58,-0.58
197808,4.93,3.77
197908,3.23,2.07
198008,-3.6,-4.76
198108,-3.95,-5.11
198208,3.01,1.85
198308,5.27,4.11
198408,5.47,4.31
198508,.51,-0.65
198608,4.65,3.49
198708,-1.09,-2.25
198808,-4.9,-6.06
198908,-4.22,-5.38
199008,-1.98,-3.14
199108,-.38,-1.54
199208,2.28,1.12
199308,7.31,6.15
199408,4.27,3.11
199508,6.64,5.48
199608,4.2,3.04
199708,8,6.84
199808,5.06,3.90
199908,7.44,6.28
200008,2.2,1.04
200108,-.61,-1.77
200208,-3.47,-4.63
200308,-2.97,-4.13
200408,-.41,-1.57
200508,-.31,-1.47
200608,.15,-1.01
200708,1.17,0.01
200808,2.91,1.75
200908,6.05,4.89
201008,8.42,7.26
201108,8.86,7.70
201208,-4.23,-5.39
201308,2.28,1.12
201408,6.68,5.52
201508,4.69,3.53
