South Dakota, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.29,0.31
189612,3.21,2.23
189712,-.53,-1.51
189812,-1.58,-2.56
189912,-.85,-1.83
190012,-.78,-1.76
190112,1.4,0.42
190212,1.91,0.93
190312,2.62,1.64
190412,-.74,-1.72
190512,5,4.02
190612,6.62,5.64
190712,4.36,3.38
190812,5.32,4.34
190912,5.58,4.60
191012,-2.67,-3.65
191112,1.79,0.81
191212,-1.25,-2.23
191312,-1.7,-2.68
191412,.03,-0.95
191512,6.76,5.78
191612,5.44,4.46
191712,1.89,0.91
191812,1.83,0.85
191912,2.38,1.40
192012,4.37,3.39
192112,1.38,0.40
192212,1.84,0.86
192312,3.13,2.15
192412,2.48,1.50
192512,-1.73,-2.71
192612,-.11,-1.09
192712,3.34,2.36
192812,1.15,0.17
192912,2.25,1.27
193012,-.27,-1.25
193112,-2.39,-3.37
193212,-1.34,-2.32
193312,-3.74,-4.72
193412,-6.12,-7.10
193512,-2.85,-3.83
193612,-5.69,-6.67
193712,-3.33,-4.31
193812,-3.07,-4.05
193912,-4.25,-5.23
194012,-3.72,-4.70
194112,-.52,-1.50
194212,-.39,-1.37
194312,-.69,-1.67
194412,3.53,2.55
194512,2.37,1.39
194612,4.5,3.52
194712,2.92,1.94
194812,1.11,0.13
194912,.21,-0.77
195012,-.66,-1.64
195112,3.68,2.70
195212,-2.14,-3.12
195312,-.62,-1.60
195412,-1.23,-2.21
195512,-3.42,-4.40
195612,-2.2,-3.18
195712,3.33,2.35
195812,-1.74,-2.72
195912,.93,-0.05
196012,-.45,-1.43
196112,-.47,-1.45
196212,3.3,2.32
196312,-1.02,-2.00
196412,-1.49,-2.47
196512,2.32,1.34
196612,-.18,-1.16
196712,-.67,-1.65
196812,2.26,1.28
196912,-.4,-1.38
197012,1.1,0.12
197112,2.97,1.99
197212,3.87,2.89
197312,2.28,1.30
197412,-3.2,-4.18
197512,-1.01,-1.99
197612,-4.19,-5.17
197712,3.24,2.26
197812,2.45,1.47
197912,-.71,-1.69
198012,-2.96,-3.94
198112,.16,-0.82
198212,5.09,4.11
198312,4.54,3.56
198412,4.28,3.30
198512,2.04,1.06
198612,4.98,4.00
198712,-1.49,-2.47
198812,-3.57,-4.55
198912,-2.59,-3.57
199012,-2.6,-3.58
199112,-.41,-1.39
199212,1.81,0.83
199312,6.54,5.56
199412,3.96,2.98
199512,6.13,5.15
199612,7.1,6.12
199712,5.34,4.36
199812,6.14,5.16
199912,4.51,3.53
200012,1.89,0.91
200112,-.75,-1.73
200212,-2.73,-3.71
200312,-2.42,-3.40
200412,-.62,-1.60
200512,.46,-0.52
200612,.81,-0.17
200712,-.3,-1.28
200812,4.53,3.55
200912,6.8,5.82
201012,7.2,6.22
201112,-.84,-1.82
201212,-4.14,-5.12
201312,4.85,3.87
201412,4.77,3.79
201512,4.06,3.08
