Utah, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.52,-0.98
189604,-.98,-1.44
189704,-.1,-0.56
189804,1.18,0.72
189904,.4,-0.06
190004,-1.39,-1.85
190104,-2.07,-2.53
190204,-2.98,-3.44
190304,1.3,0.84
190404,.17,-0.29
190504,1.09,0.63
190604,3.81,3.35
190704,5.41,4.95
190804,2.04,1.58
190904,5.46,5.00
191004,3.42,2.96
191104,1.92,1.46
191204,1.56,1.10
191304,1.69,1.23
191404,3.12,2.66
191504,1.37,0.91
191604,2.49,2.03
191704,4.25,3.79
191804,-1.48,-1.94
191904,-1.34,-1.80
192004,2.38,1.92
192104,2.68,2.22
192204,3.52,3.06
192304,3.45,2.99
192404,-1.27,-1.73
192504,-2.06,-2.52
192604,-1.21,-1.67
192704,1.43,0.97
192804,-1.12,-1.58
192904,1.34,0.88
193004,-2.09,-2.55
193104,-2.43,-2.89
193204,1.74,1.28
193304,.24,-0.22
193404,-4.68,-5.14
193504,-3.11,-3.57
193604,-1.8,-2.26
193704,1.47,1.01
193804,.63,0.17
193904,-1,-1.46
194004,-1.91,-2.37
194104,3.42,2.96
194204,5.32,4.86
194304,-1.62,-2.08
194404,1.81,1.35
194504,.74,0.28
194604,-1.35,-1.81
194704,2.18,1.72
194804,2.69,2.23
194904,1.5,1.04
195004,-.95,-1.41
195104,-2.51,-2.97
195204,3.33,2.87
195304,-1.81,-2.27
195404,-3.26,-3.72
195504,-2.84,-3.30
195604,-2.07,-2.53
195704,.84,0.38
195804,3.72,3.26
195904,-2.97,-3.43
196004,-2.8,-3.26
196104,-3.46,-3.92
196204,1.66,1.20
196304,-2.39,-2.85
196404,-2.3,-2.76
196504,2,1.54
196604,-.84,-1.30
196704,.2,-0.26
196804,.81,0.35
196904,2.39,1.93
197004,-.88,-1.34
197104,.23,-0.23
197204,-1.86,-2.32
197304,4.59,4.13
197404,-.77,-1.23
197504,1.01,0.55
197604,-.67,-1.13
197704,-5.36,-5.82
197804,2.17,1.71
197904,3.51,3.05
198004,3.12,2.66
198104,-2.42,-2.88
198204,1.73,1.27
198304,5.72,5.26
198404,5.99,5.53
198504,4.2,3.74
198604,3.29,2.83
198704,-1.81,-2.27
198804,.5,0.04
198904,-2.89,-3.35
199004,-4.53,-4.99
199104,-3.56,-4.02
199204,-2.38,-2.84
199304,2.64,2.18
199404,-.93,-1.39
199504,2.5,2.04
199604,-1.58,-2.04
199704,2.16,1.70
199804,3.41,2.95
199904,2.59,2.13
200004,-2.52,-2.98
200104,-1.28,-1.74
200204,-3.86,-4.32
200304,-4.01,-4.47
200404,-2.74,-3.20
200504,4.83,4.37
200604,-.49,-0.95
200704,-1.81,-2.27
200804,-1.61,-2.07
200904,-1.52,-1.98
201004,.34,-0.12
201104,3.54,3.08
201204,-2.44,-2.90
201304,-3.77,-4.23
201404,-3.09,-3.55
201504,-3.79,-4.25
