Vermont, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-2.24,-2.08
189610,-1.89,-1.73
189710,1.62,1.78
189810,-.48,-0.32
189910,-2.53,-2.37
190010,-2.06,-1.90
190110,-1.55,-1.39
190210,2.83,2.99
190310,-.92,-0.76
190410,1.79,1.95
190510,-.36,-0.20
190610,-1.66,-1.50
190710,2.38,2.54
190810,-3.89,-3.73
190910,-2.53,-2.37
191010,-2.37,-2.21
191110,-2.94,-2.78
191210,1.05,1.21
191310,-2.72,-2.56
191410,-3.08,-2.92
191510,-.76,-0.60
191610,-.97,-0.81
191710,1.58,1.74
191810,2.34,2.50
191910,.55,0.71
192010,.86,1.02
192110,-3.84,-3.68
192210,-1.72,-1.56
192310,-2.36,-2.20
192410,-.96,-0.80
192510,2.27,2.43
192610,1.29,1.45
192710,.72,0.88
192810,-.14,0.02
192910,-1.76,-1.60
193010,-2.14,-1.98
193110,-.13,0.03
193210,.65,0.81
193310,-1.75,-1.59
193410,-2.3,-2.14
193510,-.58,-0.42
193610,.74,0.90
193710,-.4,-0.24
193810,2.79,2.95
193910,-1.27,-1.11
194010,-.75,-0.59
194110,-2.78,-2.62
194210,-1.84,-1.68
194310,2.22,2.38
194410,-1.44,-1.28
194510,3.45,3.61
194610,.88,1.04
194710,-2.98,-2.82
194810,-2.65,-2.49
194910,-2.76,-2.60
195010,-1.91,-1.75
195110,1.14,1.30
195210,-1.63,-1.47
195310,-2.64,-2.48
195410,2.82,2.98
195510,1.22,1.38
195610,-.63,-0.47
195710,-2.39,-2.23
195810,.93,1.09
195910,1.1,1.26
196010,.92,1.08
196110,-1.85,-1.69
196210,1.55,1.71
196310,-3.38,-3.22
196410,-3.68,-3.52
196510,-2.72,-2.56
196610,-.95,-0.79
196710,-.53,-0.37
196810,-2.1,-1.94
196910,.64,0.80
197010,-1.74,-1.58
197110,-1.09,-0.93
197210,1.09,1.25
197310,2.17,2.33
197410,-.39,-0.23
197510,2.14,2.30
197610,5.47,5.63
197710,2.48,2.64
197810,-.88,-0.72
197910,-.86,-0.70
198010,-1.96,-1.80
198110,3.46,3.62
198210,-1.98,-1.82
198310,.56,0.72
198410,-1.41,-1.25
198510,.58,0.74
198610,1.85,2.01
198710,2.32,2.48
198810,-1.93,-1.77
198910,2.43,2.59
199010,4.01,4.17
199110,1.74,1.90
199210,.44,0.60
199310,.35,0.51
199410,-.87,-0.71
199510,1.56,1.72
199610,3,3.16
199710,1.67,1.83
199810,-.07,0.09
199910,1.8,1.96
200010,1.98,2.14
200110,-3.4,-3.24
200210,-1.04,-0.88
200310,2.48,2.64
200410,1.71,1.87
200510,3.38,3.54
200610,5.17,5.33
200710,2.64,2.80
200810,5.03,5.19
200910,3.69,3.85
201010,3.13,3.29
201110,6.31,6.47
201210,-.6,-0.44
201310,2.11,2.27
201410,-.28,-0.12
201510,-.37,-0.21
