Washington, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.79,-0.80
189607,-.55,-0.56
189707,1.55,1.54
189807,-.69,-0.70
189907,1.52,1.51
190007,1.62,1.61
190107,1.94,1.93
190207,2.22,2.21
190307,1.18,1.17
190407,-.8,-0.81
190507,1.68,1.67
190607,1.25,1.24
190707,-.43,-0.44
190807,.64,0.63
190907,.48,0.47
191007,-1.54,-1.55
191107,.37,0.36
191207,.46,0.45
191307,1.22,1.21
191407,-1.39,-1.40
191507,.87,0.86
191607,3.79,3.78
191707,-.15,-0.16
191807,-1.67,-1.68
191907,-.81,-0.82
192007,.68,0.67
192107,1.7,1.69
192207,-2.93,-2.94
192307,.8,0.79
192407,-4.02,-4.03
192507,-2.79,-2.80
192607,-4.83,-4.84
192707,-.54,-0.55
192807,-1.6,-1.61
192907,-2.7,-2.71
193007,-3.31,-3.32
193107,-.26,-0.27
193207,-.83,-0.84
193307,.37,0.36
193407,-2.9,-2.91
193507,-1.69,-1.70
193607,1.31,1.30
193707,2.38,2.37
193807,-2.19,-2.20
193907,-3.07,-3.08
194007,-2.51,-2.52
194107,1.08,1.07
194207,2.07,2.06
194307,.65,0.64
194407,-2.58,-2.59
194507,-.73,-0.74
194607,.67,0.66
194707,.63,0.62
194807,4.06,4.05
194907,-2.17,-2.18
195007,1.87,1.86
195107,-1.79,-1.80
195207,-1.51,-1.52
195307,1.71,1.70
195407,1.86,1.85
195507,1.78,1.77
195607,-1.37,-1.38
195707,.12,0.11
195807,-1.82,-1.83
195907,1.11,1.10
196007,-.94,-0.95
196107,-.72,-0.73
196207,.26,0.25
196307,.43,0.42
196407,.88,0.87
196507,-1.54,-1.55
196607,.37,0.36
196707,-1.29,-1.30
196807,.56,0.55
196907,-1.3,-1.31
197007,-2.17,-2.18
197107,1.93,1.92
197207,3.22,3.21
197307,-2.61,-2.62
197407,3.36,3.35
197507,-.14,-0.15
197607,1.28,1.27
197707,-.56,-0.57
197807,.64,0.63
197907,-2.58,-2.59
198007,1.17,1.16
198107,2.3,2.29
198207,1.55,1.54
198307,2.82,2.81
198407,3.19,3.18
198507,-2.52,-2.53
198607,-1.35,-1.36
198707,-1.65,-1.66
198807,-1.15,-1.16
198907,-1.18,-1.19
199007,1.55,1.54
199107,2.28,2.27
199207,-2.91,-2.92
199307,2.72,2.71
199407,-2.06,-2.07
199507,.61,0.60
199607,2.55,2.54
199707,4.79,4.78
199807,-.36,-0.37
199907,2.62,2.61
200007,.65,0.64
200107,.48,0.47
200207,-.29,-0.30
200307,-2.09,-2.10
200407,-2.57,-2.58
200507,1.12,1.11
200607,-.59,-0.60
200707,-.94,-0.95
200807,-1.27,-1.28
200907,-1.44,-1.45
201007,2.32,2.31
201107,3.98,3.97
201207,3.25,3.24
201307,.76,0.75
201407,-.25,-0.26
201507,-3.75,-3.76
