Wisconsin, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.41,-1.62
189605,1.24,1.03
189705,-.84,-1.05
189805,-1.71,-1.92
189905,.65,0.44
190005,-1.52,-1.73
190105,-1.7,-1.91
190205,.73,0.52
190305,2.45,2.24
190405,2.34,2.13
190505,1.76,1.55
190605,1.98,1.77
190705,1.52,1.31
190805,2.23,2.02
190905,-.14,-0.35
191005,-1.95,-2.16
191105,-5.03,-5.24
191205,2.02,1.81
191305,2.71,2.50
191405,.82,0.61
191505,.94,0.73
191605,2.79,2.58
191705,.8,0.59
191805,1.57,1.36
191905,.56,0.35
192005,1.47,1.26
192105,-.77,-0.98
192205,-.32,-0.53
192305,-1.63,-1.84
192405,1.47,1.26
192505,-2.47,-2.68
192605,.57,0.36
192705,2.66,2.45
192805,.73,0.52
192905,-.33,-0.54
193005,-1.78,-1.99
193105,-5.18,-5.39
193205,-1.69,-1.90
193305,-.76,-0.97
193405,-6.02,-6.23
193505,1.29,1.08
193605,-.96,-1.17
193705,-1.81,-2.02
193805,2.22,2.01
193905,-.86,-1.07
194005,.31,0.10
194105,-.75,-0.96
194205,2.12,1.91
194305,2.25,2.04
194405,.35,0.14
194505,1.71,1.50
194605,-1.67,-1.88
194705,1.35,1.14
194805,-1.92,-2.13
194905,-3.53,-3.74
195005,1.38,1.17
195105,1.87,1.66
195205,1.83,1.62
195305,1.19,0.98
195405,1.76,1.55
195505,-.94,-1.15
195605,.33,0.12
195705,-1.4,-1.61
195805,-2.33,-2.54
195905,-1.01,-1.22
196005,3.21,3.00
196105,-.18,-0.39
196205,-.16,-0.37
196305,-1.21,-1.42
196405,-4,-4.21
196505,1.44,1.23
196605,-.84,-1.05
196705,.73,0.52
196805,1.41,1.20
196905,-1.36,-1.57
197005,-.64,-0.85
197105,-.64,-0.85
197205,-.74,-0.95
197305,5.61,5.40
197405,.78,0.57
197505,-.61,-0.82
197605,-.54,-0.75
197705,-7.23,-7.44
197805,1.13,0.92
197905,3.28,3.07
198005,-1.8,-2.01
198105,1.16,0.95
198205,1.53,1.32
198305,3.44,3.23
198405,1.82,1.61
198505,1.61,1.40
198605,1.45,1.24
198705,-2.02,-2.23
198805,-2.14,-2.35
198905,-2.1,-2.31
199005,1.04,0.83
199105,2.4,2.19
199205,1.67,1.46
199305,2.99,2.78
199405,-.88,-1.09
199505,.84,0.63
199605,1.45,1.24
199705,1.13,0.92
199805,1.23,1.02
199905,1.06,0.85
200005,.27,0.06
200105,2.21,2.00
200205,2.09,1.88
200305,.95,0.74
200405,2.85,2.64
200505,-1.33,-1.54
200605,-.99,-1.20
200705,-1.34,-1.55
200805,2.68,2.47
200905,-.3,-0.51
201005,-1.86,-2.07
201105,3.03,2.82
201205,-.84,-1.05
201305,3.11,2.90
201405,2.34,2.13
201505,1.4,1.19
