West Virginia, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.07,-1.37
189603,-2.9,-3.20
189703,1.24,0.94
189803,.4,0.10
189903,2.78,2.48
190003,-1.5,-1.80
190103,-3.66,-3.96
190203,2.4,2.10
190303,1.83,1.53
190403,-2,-2.30
190503,-3.4,-3.70
190603,1.33,1.03
190703,1.97,1.67
190803,4.26,3.96
190903,.19,-0.11
191003,-1.76,-2.06
191103,-.6,-0.90
191203,2.38,2.08
191303,1.6,1.30
191403,1.62,1.32
191503,-.78,-1.08
191603,3.3,3.00
191703,3.3,3.00
191803,1.42,1.12
191903,-.91,-1.21
192003,2.34,2.04
192103,-1.78,-2.08
192203,2.07,1.77
192303,-.11,-0.41
192403,1.31,1.01
192503,-1.44,-1.74
192603,-.24,-0.54
192703,2.65,2.35
192803,1.43,1.13
192903,-.52,-0.82
193003,-1.35,-1.65
193103,.08,-0.22
193203,1.33,1.03
193303,1.83,1.53
193403,-.73,-1.03
193503,1.1,0.80
193603,3.11,2.81
193703,1.41,1.11
193803,-1.12,-1.42
193903,1.3,1.00
194003,.32,0.02
194103,-2.14,-2.44
194203,-2.75,-3.05
194303,2.55,2.25
194403,.98,0.68
194503,-.22,-0.52
194603,-.89,-1.19
194703,-2.78,-3.08
194803,.24,-0.06
194903,1.71,1.41
195003,1.93,1.63
195103,3.29,2.99
195203,1.14,0.84
195303,-1.53,-1.83
195403,-4.33,-4.63
195503,3.4,3.10
195603,2.11,1.81
195703,-.65,-0.95
195803,.35,0.05
195903,-1.71,-2.01
196003,-1.34,-1.64
196103,.55,0.25
196203,2.28,1.98
196303,1.55,1.25
196403,-1.58,-1.88
196503,.72,0.42
196603,-4.38,-4.68
196703,1.19,0.89
196803,-1.25,-1.55
196903,-2.66,-2.96
197003,-.79,-1.09
197103,-.51,-0.81
197203,1,0.70
197303,1.99,1.69
197403,1.74,1.44
197503,2.81,2.51
197603,-1.16,-1.46
197703,-2.22,-2.52
197803,-1.19,-1.49
197903,2.14,1.84
198003,2.28,1.98
198103,-1.5,-1.80
198203,.83,0.53
198303,-1.41,-1.71
198403,1.04,0.74
198503,-.7,-1.00
198603,-.99,-1.29
198703,-1.17,-1.47
198803,-3.11,-3.41
198903,.93,0.63
199003,1.33,1.03
199103,3.06,2.76
199203,-.37,-0.67
199303,1.26,0.96
199403,4.52,4.22
199503,-1.65,-1.95
199603,1.78,1.48
199703,3.69,3.39
199803,1.61,1.31
199903,-2.55,-2.85
200003,-3.9,-4.20
200103,-1.83,-2.13
200203,.41,0.11
200303,1.11,0.81
200403,3.74,3.44
200503,-.11,-0.41
200603,-2.83,-3.13
200703,-1,-1.30
200803,.76,0.46
200903,-1.41,-1.71
201003,-.34,-0.64
201103,.73,0.43
201203,-.68,-0.98
201303,-.64,-0.94
201403,-.27,-0.57
201503,.76,0.46
