Alaska, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192501,-3.5,-12.6
192601,21,11.9
192701,13.1,4.0
192801,15.3,6.2
192901,18.6,9.5
193001,17,7.9
193101,15.9,6.8
193201,1.8,-7.3
193301,-.9,-10.0
193401,-4.7,-13.8
193501,8,-1.1
193601,11.4,2.3
193701,23.9,14.8
193801,4.3,-4.8
193901,5.1,-4.0
194001,17,7.9
194101,6.5,-2.6
194201,18.1,9.0
194301,-1.6,-10.7
194401,10.9,1.8
194501,20.7,11.6
194601,12.9,3.8
194701,-2.1,-11.2
194801,11.4,2.3
194901,10.7,1.6
195001,15.2,6.1
195101,-.4,-9.5
195201,3.9,-5.2
195301,1.7,-7.4
195401,4.5,-4.6
195501,15.1,6.0
195601,1.1,-8.0
195701,17.1,8.0
195801,10.6,1.5
195901,4.1,-5.0
196001,11.1,2.0
196101,15.9,6.8
196201,11.1,2.0
196301,16.5,7.4
196401,6.4,-2.7
196501,5.7,-3.4
196601,4.3,-4.8
196701,8.8,-0.3
196801,9.5,0.4
196901,1.1,-8.0
197001,.6,-8.5
197101,-4,-13.1
197201,2.4,-6.7
197301,.9,-8.2
197401,4.5,-4.6
197501,2.4,-6.7
197601,7.5,-1.6
197701,23,13.9
197801,18.8,9.7
197901,16.2,7.1
198001,6.4,-2.7
198101,26.5,17.4
198201,5.6,-3.5
198301,5.8,-3.3
198401,9.8,0.7
198501,24.6,15.5
198601,11.9,2.8
198701,15.5,6.4
198801,14,4.9
198901,-5,-14.1
199001,5.2,-3.9
199101,11.2,2.1
199201,12.2,3.1
199301,10.3,1.2
199401,13.1,4.0
199501,11.5,2.4
199601,4,-5.1
199701,6.7,-2.4
199801,7,-2.1
199901,4.4,-4.7
200001,7.5,-1.6
200101,21.6,12.5
200201,16.1,7.0
200301,17.1,8.0
200401,6.8,-2.3
200501,13.4,4.3
200601,1.4,-7.7
200701,12.1,3.0
200801,7.5,-1.6
200901,6.7,-2.4
201001,7.5,-1.6
201101,13.9,4.8
201201,-5.4,-14.5
201301,15.8,6.7
201401,24,14.9
201501,13.3,4.2
201601,23.1,14.0
