Alaska, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192502,5.3,-7.2
192602,10.9,-1.6
192702,15.1,2.6
192802,20.9,8.4
192902,19.1,6.6
193002,1.7,-10.8
193102,17.5,5.0
193202,4.2,-8.3
193302,10.5,-2.0
193402,21.1,8.6
193502,18.8,6.3
193602,7.4,-5.1
193702,8.2,-4.3
193802,7.3,-5.2
193902,14,1.5
194002,17.1,4.6
194102,20.8,8.3
194202,22.9,10.4
194302,17.6,5.1
194402,21.1,8.6
194502,18.4,5.9
194602,11,-1.5
194702,14.8,2.3
194802,11.4,-1.1
194902,7,-5.5
195002,1.5,-11.0
195102,11.1,-1.4
195202,10.5,-2.0
195302,13.5,1.0
195402,2.8,-9.7
195502,5.7,-6.8
195602,5.1,-7.4
195702,11.2,-1.3
195802,14.6,2.1
195902,20.7,8.2
196002,19.2,6.7
196102,6.6,-5.9
196202,19.9,7.4
196302,15.5,3.0
196402,10.2,-2.3
196502,3.5,-9.0
196602,12.3,-0.2
196702,11.7,-0.8
196802,9.8,-2.7
196902,10.7,-1.8
197002,19.9,7.4
197102,6.8,-5.7
197202,6.5,-6.0
197302,14.4,1.9
197402,-.6,-13.1
197502,9.5,-3.0
197602,4.8,-7.7
197702,21.6,9.1
197802,17.3,4.8
197902,1.8,-10.7
198002,20.8,8.3
198102,16.3,3.8
198202,12.9,0.4
198302,14.4,1.9
198402,0,-12.5
198502,7.4,-5.1
198602,18.5,6.0
198702,15.8,3.3
198802,16.6,4.1
198902,23.1,10.6
199002,-2.2,-14.7
199102,12.1,-0.4
199202,7.5,-5.0
199302,18.1,5.6
199402,11.5,-1.0
199502,16.1,3.6
199602,12.5,0.0
199702,21.7,9.2
199802,17.7,5.2
199902,4.3,-8.2
200002,23,10.5
200102,22.3,9.8
200202,16,3.5
200302,22.2,9.7
200402,17,4.5
200502,15.7,3.2
200602,20.5,8.0
200702,13.9,1.4
200802,10,-2.5
200902,14,1.5
201002,18,5.5
201102,14.7,2.2
201202,19.4,6.9
201302,13.4,0.9
201402,14.4,1.9
201502,19.8,7.3
201602,24.2,11.7
