Alabama, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,89.6,-1.5
189607,91.6,0.5
189707,92.8,1.7
189807,90.5,-0.6
189907,91.9,0.8
190007,90.6,-0.5
190107,95.1,4.0
190207,96.1,5.0
190307,92,0.9
190407,90.6,-0.5
190507,91.1,0.0
190607,89.9,-1.2
190707,92.8,1.7
190807,91.9,0.8
190907,91.5,0.4
191007,88.8,-2.3
191107,89.1,-2.0
191207,90.2,-0.9
191307,92.7,1.6
191407,93.9,2.8
191507,92.2,1.1
191607,87.3,-3.8
191707,90.9,-0.2
191807,90.6,-0.5
191907,90.1,-1.0
192007,90.1,-1.0
192107,92.9,1.8
192207,91.1,0.0
192307,89.4,-1.7
192407,91.9,0.8
192507,93.6,2.5
192607,90.9,-0.2
192707,92.4,1.3
192807,91.4,0.3
192907,91.4,0.3
193007,96.9,5.8
193107,92.5,1.4
193207,93.6,2.5
193307,89.3,-1.8
193407,92,0.9
193507,91.9,0.8
193607,92.6,1.5
193707,91.3,0.2
193807,90.2,-0.9
193907,91.4,0.3
194007,87.8,-3.3
194107,90,-1.1
194207,91.4,0.3
194307,92.3,1.2
194407,91.8,0.7
194507,90.2,-0.9
194607,88.1,-3.0
194707,89.1,-2.0
194807,91.6,0.5
194907,90.3,-0.8
195007,88,-3.1
195107,92.5,1.4
195207,95.8,4.7
195307,90.2,-0.9
195407,94.8,3.7
195507,90.5,-0.6
195607,91.4,0.3
195707,90.9,-0.2
195807,89.2,-1.9
195907,91.1,0.0
196007,93.4,2.3
196107,89.2,-1.9
196207,93,1.9
196307,88.9,-2.2
196407,88.2,-2.9
196507,89.5,-1.6
196607,92.7,1.6
196707,86.5,-4.6
196807,89.9,-1.2
196907,92.3,1.2
197007,91,-0.1
197107,88.2,-2.9
197207,89.2,-1.9
197307,90.4,-0.7
197407,90.4,-0.7
197507,88,-3.1
197607,90,-1.1
197707,93,1.9
197807,92.1,1.0
197907,88.4,-2.7
198007,94.8,3.7
198107,93,1.9
198207,90.1,-1.0
198307,92,0.9
198407,89,-2.1
198507,88.8,-2.3
198607,94.2,3.1
198707,91.8,0.7
198807,89.1,-2.0
198907,87.8,-3.3
199007,90.5,-0.6
199107,90.6,-0.5
199207,89.9,-1.2
199307,93.9,2.8
199407,86.6,-4.5
199507,92.8,1.7
199607,90.2,-0.9
199707,90.2,-0.9
199807,91.8,0.7
199907,90.5,-0.6
200007,94.9,3.8
200107,90,-1.1
200207,90.8,-0.3
200307,87.8,-3.3
200407,89.5,-1.6
200507,89.5,-1.6
200607,93.9,2.8
200707,89.3,-1.8
200807,91.6,0.5
200907,88.9,-2.2
201007,93.3,2.2
201107,91.9,0.8
201207,92.3,1.2
201307,86.1,-5.0
201407,88.4,-2.7
201507,92.1,1.0
