Arizona, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,80.6,-0.3
189605,80.4,-0.5
189705,84.1,3.2
189805,78,-2.9
189905,77.9,-3.0
190005,81.8,0.9
190105,80.6,-0.3
190205,80.6,-0.3
190305,79.1,-1.8
190405,81.2,0.3
190505,76,-4.9
190605,79.5,-1.4
190705,76.1,-4.8
190805,76.7,-4.2
190905,78.9,-2.0
191005,85.5,4.6
191105,81.1,0.2
191205,79.1,-1.8
191305,81.5,0.6
191405,81.4,0.5
191505,75.2,-5.7
191605,80.3,-0.6
191705,72.7,-8.2
191805,76.6,-4.3
191905,81.6,0.7
192005,80.5,-0.4
192105,78.1,-2.8
192205,81.3,0.4
192305,82.7,1.8
192405,82.6,1.7
192505,84.2,3.3
192605,79.1,-1.8
192705,82.5,1.6
192805,82.2,1.3
192905,81.6,0.7
193005,75.3,-5.6
193105,82.4,1.5
193205,79.9,-1.0
193305,75.7,-5.2
193405,86.9,6.0
193505,75.5,-5.4
193605,85.6,4.7
193705,83.5,2.6
193805,80.6,-0.3
193905,83.4,2.5
194005,85.2,4.3
194105,79.8,-1.1
194205,80.7,-0.2
194305,83.4,2.5
194405,79.2,-1.7
194505,81.1,0.2
194605,80.6,-0.3
194705,84.5,3.6
194805,83.2,2.3
194905,80.2,-0.7
195005,80.6,-0.3
195105,80.9,0.0
195205,83.5,2.6
195305,75,-5.9
195405,83.6,2.7
195505,79.2,-1.7
195605,83.7,2.8
195705,75.5,-5.4
195805,86,5.1
195905,80.2,-0.7
196005,81.8,0.9
196105,81.7,0.8
196205,79.4,-1.5
196305,84.8,3.9
196405,80.4,-0.5
196505,77.3,-3.6
196605,84.5,3.6
196705,80.1,-0.8
196805,80.6,-0.3
196905,83.3,2.4
197005,83.1,2.2
197105,77.1,-3.8
197205,82.1,1.2
197305,81.8,0.9
197405,84,3.1
197505,78.4,-2.5
197605,81.6,0.7
197705,76.3,-4.6
197805,80.1,-0.8
197905,78.5,-2.4
198005,76.3,-4.6
198105,79.8,-1.1
198205,79.2,-1.7
198305,80.3,-0.6
198405,87.9,7.0
198505,82.2,1.3
198605,82.9,2.0
198705,79.5,-1.4
198805,81.7,0.8
198905,84.1,3.2
199005,80.3,-0.6
199105,79.5,-1.4
199205,80.4,-0.5
199305,83,2.1
199405,80.6,-0.3
199505,76.1,-4.8
199605,86.4,5.5
199705,86.4,5.5
199805,78.6,-2.3
199905,81.3,0.4
200005,88.2,7.3
200105,87.6,6.7
200205,84.3,3.4
200305,84.6,3.7
200405,84.7,3.8
200505,83.9,3.0
200605,87,6.1
200705,84.3,3.4
200805,79.4,-1.5
200905,86.2,5.3
201005,79.2,-1.7
201105,78.8,-2.1
201205,86.1,5.2
201305,83.1,2.2
201405,82.5,1.6
201505,77.3,-3.6
