Arizona, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,84.8,-1.7
189609,82.4,-4.1
189709,83.6,-2.9
189809,87.5,1.0
189909,90.6,4.1
190009,82.1,-4.4
190109,87.3,0.8
190209,86.5,0.0
190309,83.9,-2.6
190409,84.4,-2.1
190509,86.4,-0.1
190609,85.2,-1.3
190709,86.7,0.2
190809,85.7,-0.8
190909,83.3,-3.2
191009,89.6,3.1
191109,85.6,-0.9
191209,83.6,-2.9
191309,84,-2.5
191409,86.9,0.4
191509,84.5,-2.0
191609,84.3,-2.2
191709,85.7,-0.8
191809,87.1,0.6
191909,83.5,-3.0
192009,84.1,-2.4
192109,86.3,-0.2
192209,88.5,2.0
192309,82.1,-4.4
192409,86.9,0.4
192509,83.7,-2.8
192609,86.2,-0.3
192709,83.5,-3.0
192809,88.6,2.1
192909,84.5,-2.0
193009,85.2,-1.3
193109,85.8,-0.7
193209,88.8,2.3
193309,88.9,2.4
193409,87,0.5
193509,86.1,-0.4
193609,84.4,-2.1
193709,88.7,2.2
193809,88.1,1.6
193909,83,-3.5
194009,84,-2.5
194109,83.4,-3.1
194209,88.2,1.7
194309,88.5,2.0
194409,87.1,0.6
194509,88.1,1.6
194609,87,0.5
194709,90.1,3.6
194809,89.4,2.9
194909,88.7,2.2
195009,85.1,-1.4
195109,89.7,3.2
195209,89.3,2.8
195309,91.4,4.9
195409,88.2,1.7
195509,89.2,2.7
195609,92.4,5.9
195709,88.4,1.9
195809,85.4,-1.1
195909,86,-0.5
196009,89.4,2.9
196109,83.2,-3.3
196209,87.1,0.6
196309,87.9,1.4
196409,84.1,-2.4
196509,82.9,-3.6
196609,85.6,-0.9
196709,84.9,-1.6
196809,87.1,0.6
196909,87.9,1.4
197009,84.1,-2.4
197109,86,-0.5
197209,85.5,-1.0
197309,87.5,1.0
197409,86.3,-0.2
197509,86.1,-0.4
197609,82.7,-3.8
197709,86.9,0.4
197809,85.6,-0.9
197909,91.2,4.7
198009,88.1,1.6
198109,86.8,0.3
198209,85.2,-1.3
198309,88,1.5
198409,87,0.5
198509,81.9,-4.6
198609,81.8,-4.7
198709,86.3,-0.2
198809,85.7,-0.8
198909,88.7,2.2
199009,86.2,-0.3
199109,86.1,-0.4
199209,88.4,1.9
199309,87.6,1.1
199409,88,1.5
199509,88.9,2.4
199609,83.6,-2.9
199709,87.9,1.4
199809,87.4,0.9
199909,86.7,0.2
200009,90.2,3.7
200109,91.4,4.9
200209,87.5,1.0
200309,89.6,3.1
200409,86.4,-0.1
200509,88.3,1.8
200609,83.7,-2.8
200709,87.7,1.2
200809,88.1,1.6
200909,88.6,2.1
201009,91.2,4.7
201109,89,2.5
201209,87.5,1.0
201309,85.6,-0.9
201409,87.2,0.7
201509,88.5,2.0
