Colorado, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,46.1,-0.8
189603,44.8,-2.1
189703,42.8,-4.1
189803,43.5,-3.4
189903,43.7,-3.2
190003,51.9,5.0
190103,46,-0.9
190203,44.3,-2.6
190303,44.1,-2.8
190403,51.4,4.5
190503,48.8,1.9
190603,39.3,-7.6
190703,54,7.1
190803,51.2,4.3
190903,43.3,-3.6
191003,58.4,11.5
191103,51.1,4.2
191203,38.3,-8.6
191303,43.3,-3.6
191403,47.8,0.9
191503,40.6,-6.3
191603,52.7,5.8
191703,41,-5.9
191803,51.8,4.9
191903,44.5,-2.4
192003,45.8,-1.1
192103,52.2,5.3
192203,45.7,-1.2
192303,42.5,-4.4
192403,36.5,-10.4
192503,51.5,4.6
192603,46.1,-0.8
192703,44.6,-2.3
192803,49.1,2.2
192903,45.5,-1.4
193003,45.3,-1.6
193103,43.9,-3.0
193203,42.2,-4.7
193303,49.8,2.9
193403,53.6,6.7
193503,49.1,2.2
193603,49.7,2.8
193703,44.4,-2.5
193803,47.9,1.0
193903,47.2,0.3
194003,49.9,3.0
194103,44.1,-2.8
194203,43.2,-3.7
194303,46.4,-0.5
194403,42.6,-4.3
194503,48.9,2.0
194603,51.8,4.9
194703,45.4,-1.5
194803,39.2,-7.7
194903,46.5,-0.4
195003,46.7,-0.2
195103,45.3,-1.6
195203,40,-6.9
195303,50.6,3.7
195403,44.4,-2.5
195503,46,-0.9
195603,48.5,1.6
195703,45.4,-1.5
195803,38.4,-8.5
195903,45.9,-1.0
196003,45.2,-1.7
196103,45.6,-1.3
196203,43.2,-3.7
196303,47.1,0.2
196403,40.9,-6.0
196503,37.9,-9.0
196603,51.4,4.5
196703,53.4,6.5
196803,49.1,2.2
196903,40,-6.9
197003,41.8,-5.1
197103,47.6,0.7
197203,55.4,8.5
197303,43.1,-3.8
197403,51.6,4.7
197503,44.9,-2.0
197603,46.5,-0.4
197703,46.3,-0.6
197803,50.3,3.4
197903,45.6,-1.3
198003,43.5,-3.4
198103,46.9,0.0
198203,48.2,1.3
198303,44.4,-2.5
198403,43.8,-3.1
198503,48.3,1.4
198603,55,8.1
198703,45.2,-1.7
198803,46.5,-0.4
198903,53.7,6.8
199003,48.5,1.6
199103,47.5,0.6
199203,50.8,3.9
199303,48.7,1.8
199403,52.8,5.9
199503,49,2.1
199603,48,1.1
199703,54,7.1
199803,46.8,-0.1
199903,53.7,6.8
200003,49.1,2.2
200103,47.9,1.0
200203,46.9,0.0
200303,49.4,2.5
200403,56.7,9.8
200503,48.3,1.4
200603,48,1.1
200703,54.2,7.3
200803,47.8,0.9
200903,51.4,4.5
201003,48.3,1.4
201103,51.3,4.4
201203,57.2,10.3
201303,48.9,2.0
201403,50.5,3.6
201503,54.8,7.9
