Colorado, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,74,-2.2
189606,80.2,4.0
189706,77.5,1.3
189806,76.6,0.4
189906,77.2,1.0
190006,80.1,3.9
190106,76.8,0.6
190206,78.8,2.6
190306,69.8,-6.4
190406,71.7,-4.5
190506,77,0.8
190606,74.6,-1.6
190706,71.8,-4.4
190806,74.2,-2.0
190906,75.9,-0.3
191006,78.4,2.2
191106,77.9,1.7
191206,72.1,-4.1
191306,74.3,-1.9
191406,76,-0.2
191506,71.4,-4.8
191606,76.3,0.1
191706,75.3,-0.9
191806,80.7,4.5
191906,76.6,0.4
192006,74.1,-2.1
192106,74.8,-1.4
192206,79.5,3.3
192306,74.9,-1.3
192406,78.3,2.1
192506,76.1,-0.1
192606,76.5,0.3
192706,73.7,-2.5
192806,71.1,-5.1
192906,77,0.8
193006,77.8,1.6
193106,80.2,4.0
193206,74.8,-1.4
193306,81,4.8
193406,79.6,3.4
193506,77,0.8
193606,80.3,4.1
193706,74.8,-1.4
193806,76.3,0.1
193906,77.5,1.3
194006,79.7,3.5
194106,72.4,-3.8
194206,74.8,-1.4
194306,75.6,-0.6
194406,75.3,-0.9
194506,71,-5.2
194606,79.3,3.1
194706,72,-4.2
194806,75,-1.2
194906,72.8,-3.4
195006,77.9,1.7
195106,71.2,-5.0
195206,81,4.8
195306,79.8,3.6
195406,79.4,3.2
195506,73,-3.2
195606,82.2,6.0
195706,74.2,-2.0
195806,78.2,2.0
195906,79.7,3.5
196006,77.9,1.7
196106,77.7,1.5
196206,74.7,-1.5
196306,77.9,1.7
196406,74.7,-1.5
196506,71.7,-4.5
196606,76.3,0.1
196706,71.1,-5.1
196806,78.7,2.5
196906,70.7,-5.5
197006,74.9,-1.3
197106,78.7,2.5
197206,77.3,1.1
197306,75.8,-0.4
197406,78.5,2.3
197506,73.8,-2.4
197606,76.5,0.3
197706,80.9,4.7
197806,77,0.8
197906,75.3,-0.9
198006,80.3,4.1
198106,79.9,3.7
198206,72.5,-3.7
198306,71.7,-4.5
198406,74.5,-1.7
198506,77.7,1.5
198606,77.2,1.0
198706,78,1.8
198806,79.9,3.7
198906,74,-2.2
199006,81.6,5.4
199106,76.9,0.7
199206,73.5,-2.7
199306,75,-1.2
199406,82.2,6.0
199506,72.4,-3.8
199606,78.5,2.3
199706,76.5,0.3
199806,74.6,-1.6
199906,75.3,-0.9
200006,78.7,2.5
200106,79.8,3.6
200206,83.7,7.5
200306,74.4,-1.8
200406,75.7,-0.5
200506,75.9,-0.3
200606,82.1,5.9
200706,78.5,2.3
200806,77.7,1.5
200906,73.3,-2.9
201006,79.1,2.9
201106,78.9,2.7
201206,84.8,8.6
201306,82.3,6.1
201406,78,1.8
201506,79.2,3.0
