Iowa, Maximum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,42.1,-3.4
189611,37.2,-8.3
189711,44.4,-1.1
189811,41.8,-3.7
189911,53.4,7.9
190011,41.1,-4.4
190111,45.6,0.1
190211,48.4,2.9
190311,42.3,-3.2
190411,51.6,6.1
190511,47.7,2.2
190611,41.8,-3.7
190711,45.3,-0.2
190811,48.5,3.0
190911,50.9,5.4
191011,41.5,-4.0
191111,38.1,-7.4
191211,50,4.5
191311,51.4,5.9
191411,51.8,6.3
191511,49.3,3.8
191611,46.4,0.9
191711,50.1,4.6
191811,47.1,1.6
191911,41.5,-4.0
192011,42.3,-3.2
192111,40.8,-4.7
192211,48.8,3.3
192311,49.2,3.7
192411,48.2,2.7
192511,45.4,-0.1
192611,39.4,-6.1
192711,45.4,-0.1
192811,45.1,-0.4
192911,40,-5.5
193011,51.3,5.8
193111,51.6,6.1
193211,41.7,-3.8
193311,47.8,2.3
193411,49.1,3.6
193511,40.3,-5.2
193611,44.6,-0.9
193711,43.2,-2.3
193811,46.3,0.8
193911,50.3,4.8
194011,41,-4.5
194111,47.7,2.2
194211,47.3,1.8
194311,41.2,-4.3
194411,45.3,-0.2
194511,45.2,-0.3
194611,46.2,0.7
194711,38.1,-7.4
194811,45.3,-0.2
194911,51.7,6.2
195011,42.5,-3.0
195111,39.3,-6.2
195211,48.2,2.7
195311,51.3,5.8
195411,50.5,5.0
195511,40,-5.5
195611,44.9,-0.6
195711,41.6,-3.9
195811,50.3,4.8
195911,37.5,-8.0
196011,49.5,4.0
196111,44.3,-1.2
196211,48,2.5
196311,51.5,6.0
196411,50,4.5
196511,48.3,2.8
196611,47,1.5
196711,43.6,-1.9
196811,42.9,-2.6
196911,47,1.5
197011,43.4,-2.1
197111,46,0.5
197211,39.7,-5.8
197311,46.2,0.7
197411,45.5,0.0
197511,50.1,4.6
197611,41.4,-4.1
197711,44.1,-1.4
197811,44.3,-1.2
197911,43.5,-2.0
198011,49.8,4.3
198111,49,3.5
198211,43.8,-1.7
198311,44.8,-0.7
198411,47.7,2.2
198511,36.3,-9.2
198611,41.1,-4.4
198711,49.6,4.1
198811,47.1,1.6
198911,45.3,-0.2
199011,52.3,6.8
199111,36.3,-9.2
199211,38.5,-7.0
199311,42.9,-2.6
199411,48.7,3.2
199511,39.8,-5.7
199611,36.4,-9.1
199711,40.2,-5.3
199811,49.6,4.1
199911,57,11.5
200011,40.4,-5.1
200111,59,13.5
200211,44.6,-0.9
200311,44.7,-0.8
200411,49.7,4.2
200511,50.3,4.8
200611,50,4.5
200711,47.7,2.2
200811,46.1,0.6
200911,53.2,7.7
201011,48,2.5
201111,49.9,4.4
201211,50.1,4.6
201311,43.8,-1.7
201411,38.8,-6.7
201511,51.3,5.8
