Illinois, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,65.9,3.2
189604,70.1,7.4
189704,59.8,-2.9
189804,59.8,-2.9
189904,64,1.3
190004,64,1.3
190104,60.6,-2.1
190204,61.6,-1.1
190304,63.2,0.5
190404,56.6,-6.1
190504,62.9,0.2
190604,66.8,4.1
190704,53.6,-9.1
190804,62.8,0.1
190904,60.6,-2.1
191004,64.4,1.7
191104,59.2,-3.5
191204,63.9,1.2
191304,62.9,0.2
191404,62.4,-0.3
191504,70.5,7.8
191604,60.5,-2.2
191704,59.3,-3.4
191804,56.9,-5.8
191904,63.3,0.6
192004,55.9,-6.8
192104,65.3,2.6
192204,63.6,0.9
192304,62.1,-0.6
192404,64.8,2.1
192504,70.7,8.0
192604,56.4,-6.3
192704,61.5,-1.2
192804,58.7,-4.0
192904,64.3,1.6
193004,66.9,4.2
193104,64,1.3
193204,63.9,1.2
193304,61.6,-1.1
193404,64.5,1.8
193504,58.1,-4.6
193604,59.2,-3.5
193704,60.4,-2.3
193804,63.8,1.1
193904,58.8,-3.9
194004,60.7,-2.0
194104,66.8,4.1
194204,67.8,5.1
194304,62,-0.7
194404,59.2,-3.5
194504,62.9,0.2
194604,66.9,4.2
194704,61.2,-1.5
194804,67.1,4.4
194904,62.6,-0.1
195004,56.2,-6.5
195104,58.5,-4.2
195204,64.1,1.4
195304,58.7,-4.0
195404,69.1,6.4
195504,70,7.3
195604,62.2,-0.5
195704,62.1,-0.6
195804,63.3,0.6
195904,63.3,0.6
196004,66.1,3.4
196104,56.9,-5.8
196204,62.2,-0.5
196304,67.3,4.6
196404,64.4,1.7
196504,63.6,0.9
196604,58.9,-3.8
196704,64.9,2.2
196804,64.3,1.6
196904,64.7,2.0
197004,64.5,1.8
197104,65.3,2.6
197204,61.4,-1.3
197304,59.8,-2.9
197404,65.4,2.7
197504,59.2,-3.5
197604,66.3,3.6
197704,69.8,7.1
197804,63.7,1.0
197904,58.6,-4.1
198004,60.8,-1.9
198104,68.8,6.1
198204,58.1,-4.6
198304,55.7,-7.0
198404,58.9,-3.8
198504,67.8,5.1
198604,68.8,6.1
198704,65.9,3.2
198804,65,2.3
198904,62.7,0.0
199004,61.8,-0.9
199104,66.8,4.1
199204,61.9,-0.8
199304,59.2,-3.5
199404,65,2.3
199504,61.5,-1.2
199604,60.5,-2.2
199704,59.1,-3.6
199804,62.7,0.0
199904,64.1,1.4
200004,63.7,1.0
200104,69.8,7.1
200204,64.3,1.6
200304,65.3,2.6
200404,66,3.3
200504,67.4,4.7
200604,69.7,7.0
200704,61.7,-1.0
200804,62,-0.7
200904,62.1,-0.6
201004,71.4,8.7
201104,63.7,1.0
201204,66.7,4.0
201304,61,-1.7
201404,64.1,1.4
201504,66.3,3.6
