Illinois, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,86.5,1.6
189608,85.3,0.4
189708,84.2,-0.7
189808,83.7,-1.2
189908,87.8,2.9
190008,90.6,5.7
190108,87.3,2.4
190208,81.6,-3.3
190308,82.7,-2.2
190408,81.9,-3.0
190508,85.6,0.7
190608,87.1,2.2
190708,82.9,-2.0
190808,86,1.1
190908,89,4.1
191008,84.4,-0.5
191108,84.3,-0.6
191208,82.5,-2.4
191308,90.5,5.6
191408,87.6,2.7
191508,76.8,-8.1
191608,88.4,3.5
191708,83.3,-1.6
191808,89.8,4.9
191908,85,0.1
192008,83.7,-1.2
192108,83.9,-1.0
192208,86.9,2.0
192308,84.5,-0.4
192408,84.5,-0.4
192508,86.8,1.9
192608,85.4,0.5
192708,79.9,-5.0
192808,85.5,0.6
192908,83.7,-1.2
193008,88.8,3.9
193108,85.4,0.5
193208,85.5,0.6
193308,85,0.1
193408,86.1,1.2
193508,85.8,0.9
193608,93.3,8.4
193708,89,4.1
193808,87.8,2.9
193908,84.1,-0.8
194008,85.1,0.2
194108,87.7,2.8
194208,83.2,-1.7
194308,87.3,2.4
194408,86.1,1.2
194508,84.9,0.0
194608,80.5,-4.4
194708,92.9,8.0
194808,85.9,1.0
194908,85,0.1
195008,80.1,-4.8
195108,82.9,-2.0
195208,84.3,-0.6
195308,87.8,2.9
195408,85.2,0.3
195508,88.9,4.0
195608,85.3,0.4
195708,85.5,0.6
195808,84.6,-0.3
195908,87.3,2.4
196008,85.5,0.6
196108,83.9,-1.0
196208,85.4,0.5
196308,82.7,-2.2
196408,84.8,-0.1
196508,82.9,-2.0
196608,82.7,-2.2
196708,79.7,-5.2
196808,84.6,-0.3
196908,84.7,-0.2
197008,83.8,-1.1
197108,83.7,-1.2
197208,83.3,-1.6
197308,84.8,-0.1
197408,81.9,-3.0
197508,84.5,-0.4
197608,82.7,-2.2
197708,81.8,-3.1
197808,84.1,-0.8
197908,82.7,-2.2
198008,88.4,3.5
198108,82,-2.9
198208,81.7,-3.2
198308,91.3,6.4
198408,87,2.1
198508,80.7,-4.2
198608,81.4,-3.5
198708,85.3,0.4
198808,90,5.1
198908,83.7,-1.2
199008,82.9,-2.0
199108,86.4,1.5
199208,79.7,-5.2
199308,84.7,-0.2
199408,81.9,-3.0
199508,89,4.1
199608,84.4,-0.5
199708,81.2,-3.7
199808,84.9,0.0
199908,83.3,-1.6
200008,85,0.1
200108,85.6,0.7
200208,85.5,0.6
200308,86.5,1.6
200408,79.5,-5.4
200508,86.5,1.6
200608,84.7,-0.2
200708,89.4,4.5
200808,83,-1.9
200908,81,-3.9
201008,87.9,3.0
201108,86.3,1.4
201208,86.9,2.0
201308,83.8,-1.1
201408,83.3,-1.6
201508,82.4,-2.5
