Illinois, Maximum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,60.6,-5.8
189610,62.5,-3.9
189710,73.6,7.2
189810,59.6,-6.8
189910,70.3,3.9
190010,72.6,6.2
190110,68.7,2.3
190210,67.3,0.9
190310,65.4,-1.0
190410,65.8,-0.6
190510,64.5,-1.9
190610,63.9,-2.5
190710,63.1,-3.3
190810,66.8,0.4
190910,62.3,-4.1
191010,69.4,3.0
191110,62.6,-3.8
191210,68.1,1.7
191310,62.6,-3.8
191410,67.6,1.2
191510,68.1,1.7
191610,66.7,0.3
191710,56.5,-9.9
191810,67.7,1.3
191910,67.5,1.1
192010,71.6,5.2
192110,66.3,-0.1
192210,70.2,3.8
192310,61.8,-4.6
192410,73.2,6.8
192510,53.3,-13.1
192610,63,-3.4
192710,70.3,3.9
192810,67.5,1.1
192910,63.6,-2.8
193010,62.8,-3.6
193110,68.6,2.2
193210,64.5,-1.9
193310,64.3,-2.1
193410,69.4,3.0
193510,66,-0.4
193610,64.6,-1.8
193710,62.2,-4.2
193810,73.1,6.7
193910,69.9,3.5
194010,71.9,5.5
194110,67.1,0.7
194210,66.7,0.3
194310,65.7,-0.7
194410,67.7,1.3
194510,64.4,-2.0
194610,71.6,5.2
194710,74.1,7.7
194810,64.1,-2.3
194910,68.3,1.9
195010,71.9,5.5
195110,67.3,0.9
195210,64,-2.4
195310,72.4,6.0
195410,65.3,-1.1
195510,66.3,-0.1
195610,74.4,8.0
195710,62.5,-3.9
195810,68.3,1.9
195910,62.9,-3.5
196010,66.9,0.5
196110,66.8,0.4
196210,68,1.6
196310,77.7,11.3
196410,65.6,-0.8
196510,65.5,-0.9
196610,64.5,-1.9
196710,63.9,-2.5
196810,66.2,-0.2
196910,63.7,-2.7
197010,64.8,-1.6
197110,72.8,6.4
197210,61,-5.4
197310,70.1,3.7
197410,66.1,-0.3
197510,69.1,2.7
197610,59.7,-6.7
197710,62.7,-3.7
197810,64.3,-2.1
197910,66.1,-0.3
198010,63.3,-3.1
198110,63.5,-2.9
198210,67.2,0.8
198310,66,-0.4
198410,67.5,1.1
198510,66.6,0.2
198610,65.2,-1.2
198710,60.9,-5.5
198810,60.3,-6.1
198910,68.3,1.9
199010,65.3,-1.1
199110,67,0.6
199210,65.8,-0.6
199310,63.3,-3.1
199410,67.6,1.2
199510,68,1.6
199610,66.7,0.3
199710,66.4,0.0
199810,67.7,1.3
199910,67.8,1.4
200010,69.6,3.2
200110,64.6,-1.8
200210,62,-4.4
200310,66.9,0.5
200410,65.9,-0.5
200510,67.1,0.7
200610,62.2,-4.2
200710,71.3,4.9
200810,65.7,-0.7
200910,58.4,-8.0
201010,70.6,4.2
201110,67.8,1.4
201210,63,-3.4
201310,65.7,-0.7
201410,64.7,-1.7
201510,67.5,1.1
