Indiana, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,47.5,-2.1
189603,42.7,-6.9
189703,50.8,1.2
189803,54,4.4
189903,44.3,-5.3
190003,43,-6.6
190103,48.5,-1.1
190203,51.8,2.2
190303,55.3,5.7
190403,48.3,-1.3
190503,54.8,5.2
190603,37.6,-12.0
190703,56.9,7.3
190803,53.4,3.8
190903,47,-2.6
191003,62.3,12.7
191103,49.7,0.1
191203,39.4,-10.2
191303,49,-0.6
191403,45.1,-4.5
191503,42.5,-7.1
191603,47,-2.6
191703,50.6,1.0
191803,59.1,9.5
191903,52.6,3.0
192003,51.7,2.1
192103,60.8,11.2
192203,51.4,1.8
192303,48.5,-1.1
192403,41.9,-7.7
192503,53.9,4.3
192603,42.3,-7.3
192703,51.6,2.0
192803,48.1,-1.5
192903,57,7.4
193003,48.7,-0.9
193103,42.7,-6.9
193203,42.1,-7.5
193303,47.3,-2.3
193403,46.2,-3.4
193503,56.5,6.9
193603,54.1,4.5
193703,45.1,-4.5
193803,56.7,7.1
193903,52.3,2.7
194003,44.4,-5.2
194103,44.8,-4.8
194203,51.6,2.0
194303,47.2,-2.4
194403,46.3,-3.3
194503,61.6,12.0
194603,62.3,12.7
194703,41.5,-8.1
194803,51,1.4
194903,50.3,0.7
195003,44.8,-4.8
195103,47.1,-2.5
195203,47.9,-1.7
195303,50.9,1.3
195403,47.5,-2.1
195503,50.8,1.2
195603,49.8,0.2
195703,49.4,-0.2
195803,42.5,-7.1
195903,48.5,-1.1
196003,35.3,-14.3
196103,51.6,2.0
196203,44.4,-5.2
196303,52.4,2.8
196403,49.2,-0.4
196503,40.9,-8.7
196603,51.9,2.3
196703,50.8,1.2
196803,52.3,2.7
196903,45.1,-4.5
197003,44.3,-5.3
197103,45.2,-4.4
197203,48.6,-1.0
197303,56.9,7.3
197403,52.2,2.6
197503,45.1,-4.5
197603,57.3,7.7
197703,55.7,6.1
197803,41.7,-7.9
197903,50.5,0.9
198003,43.8,-5.8
198103,49.6,0.0
198203,49.3,-0.3
198303,51.1,1.5
198403,39.7,-9.9
198503,53.9,4.3
198603,53,3.4
198703,54.5,4.9
198803,50.6,1.0
198903,51.4,1.8
199003,53.8,4.2
199103,53.1,3.5
199203,51,1.4
199303,45.2,-4.4
199403,50,0.4
199503,54.3,4.7
199603,44.6,-5.0
199703,52.4,2.8
199803,49.7,0.1
199903,47.2,-2.4
200003,57.1,7.5
200103,46.7,-2.9
200203,48,-1.6
200303,53.5,3.9
200403,54.1,4.5
200503,46.9,-2.7
200603,50.1,0.5
200703,57.8,8.2
200803,47.5,-2.1
200903,55.5,5.9
201003,54,4.4
201103,50.8,1.2
201203,66.7,17.1
201303,42.9,-6.7
201403,45.3,-4.3
201503,47.4,-2.2
