Kansas, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,87.8,-2.4
189608,91.6,1.4
189708,88.4,-1.8
189808,90.7,0.5
189908,93.6,3.4
190008,93.5,3.3
190108,92.2,2.0
190208,90.4,0.2
190308,86.7,-3.5
190408,86.2,-4.0
190508,91.4,1.2
190608,87.7,-2.5
190708,89.4,-0.8
190808,87.8,-2.4
190908,93,2.8
191008,87.5,-2.7
191108,89,-1.2
191208,88.8,-1.4
191308,99.8,9.6
191408,90.8,0.6
191508,80,-10.2
191608,92.4,2.2
191708,85.3,-4.9
191808,95.5,5.3
191908,91.8,1.6
192008,84.5,-5.7
192108,91.1,0.9
192208,93.3,3.1
192308,90.9,0.7
192408,90.9,0.7
192508,89.7,-0.5
192608,92.7,2.5
192708,81.5,-8.7
192808,88.7,-1.5
192908,91.7,1.5
193008,92.3,2.1
193108,88.1,-2.1
193208,91.3,1.1
193308,87.7,-2.5
193408,97.1,6.9
193508,93.1,2.9
193608,99.8,9.6
193708,96.2,6.0
193808,95.7,5.5
193908,91.2,1.0
194008,87.6,-2.6
194108,90.5,0.3
194208,87.6,-2.6
194308,96.2,6.0
194408,89.4,-0.8
194508,91,0.8
194608,89.6,-0.6
194708,96,5.8
194808,88.8,-1.4
194908,88.2,-2.0
195008,82.4,-7.8
195108,89.4,-0.8
195208,91.8,1.6
195308,89.8,-0.4
195408,94.2,4.0
195508,93.3,3.1
195608,94.6,4.4
195708,92.1,1.9
195808,89.4,-0.8
195908,92.6,2.4
196008,90.5,0.3
196108,87,-3.2
196208,91.8,1.6
196308,91.9,1.7
196408,88.5,-1.7
196508,88.8,-1.4
196608,85.2,-5.0
196708,86.7,-3.5
196808,87.9,-2.3
196908,88.7,-1.5
197008,94.6,4.4
197108,88.7,-1.5
197208,87.5,-2.7
197308,91.5,1.3
197408,85.1,-5.1
197508,92.4,2.2
197608,92.1,1.9
197708,86.8,-3.4
197808,91.5,1.3
197908,88.2,-2.0
198008,94.1,3.9
198108,86.9,-3.3
198208,90,-0.2
198308,98.2,8.0
198408,94.1,3.9
198508,86.6,-3.6
198608,85.9,-4.3
198708,88.1,-2.1
198808,92.7,2.5
198908,86.1,-4.1
199008,89.7,-0.5
199108,90.3,0.1
199208,82.1,-8.1
199308,88.5,-1.7
199408,90.2,0.0
199508,92.6,2.4
199608,85,-5.2
199708,86.5,-3.7
199808,90.3,0.1
199908,90.1,-0.1
200008,97.3,7.1
200108,92.7,2.5
200208,90.7,0.5
200308,93.7,3.5
200408,84.9,-5.3
200508,89.1,-1.1
200608,90.7,0.5
200708,93.4,3.2
200808,86.3,-3.9
200908,86.7,-3.5
201008,93,2.8
201108,94.3,4.1
201208,91.3,1.1
201308,87.7,-2.5
201408,91.4,1.2
201508,87.7,-2.5
