Kansas, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,86.7,4.8
189609,78.3,-3.6
189709,87.8,5.9
189809,82.1,0.2
189909,83.4,1.5
190009,81.4,-0.5
190109,80.9,-1.0
190209,76.6,-5.3
190309,80.2,-1.7
190409,82.7,0.8
190509,83.4,1.5
190609,81,-0.9
190709,83.1,1.2
190809,83.6,1.7
190909,83.2,1.3
191009,82.5,0.6
191109,87.2,5.3
191209,77.9,-4.0
191309,79.2,-2.7
191409,85.3,3.4
191509,79.3,-2.6
191609,81.4,-0.5
191709,81.3,-0.6
191809,77.1,-4.8
191909,85.1,3.2
192009,82.1,0.2
192109,86.3,4.4
192209,87.1,5.2
192309,81.5,-0.4
192409,78.7,-3.2
192509,83.5,1.6
192609,79.4,-2.5
192709,81.5,-0.4
192809,82.4,0.5
192909,78.8,-3.1
193009,83.4,1.5
193109,90.6,8.7
193209,81.3,-0.6
193309,86.2,4.3
193409,78.9,-3.0
193509,81.6,-0.3
193609,83.1,1.2
193709,83.9,2.0
193809,85.8,3.9
193909,90.3,8.4
194009,82,0.1
194109,82.4,0.5
194209,78.5,-3.4
194309,81.4,-0.5
194409,81.7,-0.2
194509,82.3,0.4
194609,80.6,-1.3
194709,88.5,6.6
194809,86,4.1
194909,78,-3.9
195009,77.6,-4.3
195109,76.8,-5.1
195209,86.5,4.6
195309,88.1,6.2
195409,89.3,7.4
195509,84.5,2.6
195609,89.2,7.3
195709,78.3,-3.6
195809,81.9,0.0
195909,80.7,-1.2
196009,84,2.1
196109,76.3,-5.6
196209,77,-4.9
196309,83.3,1.4
196409,80.4,-1.5
196509,76.5,-5.4
196609,79,-2.9
196709,77.8,-4.1
196809,81.5,-0.4
196909,80.9,-1.0
197009,80.4,-1.5
197109,81.5,-0.4
197209,80.2,-1.7
197309,74.5,-7.4
197409,75.3,-6.6
197509,78,-3.9
197609,81.6,-0.3
197709,82.3,0.4
197809,86.4,4.5
197909,85.5,3.6
198009,84.9,3.0
198109,82.9,1.0
198209,81.1,-0.8
198309,85.6,3.7
198409,81.1,-0.8
198509,78,-3.9
198609,81.6,-0.3
198709,81,-0.9
198809,82,0.1
198909,77,-4.9
199009,85.8,3.9
199109,81.6,-0.3
199209,81.3,-0.6
199309,76.6,-5.3
199409,81.5,-0.4
199509,78.5,-3.4
199609,76.5,-5.4
199709,82.2,0.3
199809,88,6.1
199909,77.7,-4.2
200009,87.1,5.2
200109,80.9,-1.0
200209,84,2.1
200309,78.3,-3.6
200409,84.6,2.7
200509,85.2,3.3
200609,77.7,-4.2
200709,83.7,1.8
200809,78.2,-3.7
200909,76.6,-5.3
201009,84.5,2.6
201109,80.5,-1.4
201209,82.8,0.9
201309,85.3,3.4
201409,80.9,-1.0
201509,86.9,5.0
