Massachusetts, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,73.8,2.5
189609,68.4,-2.9
189709,70.3,-1.0
189809,73.7,2.4
189909,69,-2.3
190009,73.5,2.2
190109,72.1,0.8
190209,69.2,-2.1
190309,71.9,0.6
190409,69.6,-1.7
190509,68.5,-2.8
190609,73.7,2.4
190709,69.4,-1.9
190809,73.2,1.9
190909,69.9,-1.4
191009,70.5,-0.8
191109,69,-2.3
191209,69.4,-1.9
191309,68.7,-2.6
191409,72.4,1.1
191509,74.4,3.1
191609,71.5,0.2
191709,67.6,-3.7
191809,67.1,-4.2
191909,69.8,-1.5
192009,72.1,0.8
192109,75.5,4.2
192209,72.7,1.4
192309,71.9,0.6
192409,69.2,-2.1
192509,70.7,-0.6
192609,69.2,-2.1
192709,71.7,0.4
192809,67.5,-3.8
192909,73.3,2.0
193009,75.9,4.6
193109,74.3,3.0
193209,71.8,0.5
193309,71,-0.3
193409,71.6,0.3
193509,69.1,-2.2
193609,70.6,-0.7
193709,70.4,-0.9
193809,69.2,-2.1
193909,72,0.7
194009,70.4,-0.9
194109,75.8,4.5
194209,72.5,1.2
194309,70.8,-0.5
194409,72.2,0.9
194509,73.9,2.6
194609,73.7,2.4
194709,72.4,1.1
194809,75,3.7
194909,70,-1.3
195009,67.7,-3.6
195109,71.8,0.5
195209,73.4,2.1
195309,74.2,2.9
195409,68.4,-2.9
195509,71,-0.3
195609,67.2,-4.1
195709,73.9,2.6
195809,70.6,-0.7
195909,75.2,3.9
196009,70.6,-0.7
196109,77.1,5.8
196209,68.9,-2.4
196309,68.1,-3.2
196409,70.7,-0.6
196509,70.9,-0.4
196609,69.5,-1.8
196709,71.4,0.1
196809,74,2.7
196909,71.7,0.4
197009,71.7,0.4
197109,73.7,2.4
197209,72.1,0.8
197309,71.9,0.6
197409,69.9,-1.4
197509,67.8,-3.5
197609,70.4,-0.9
197709,69.3,-2.0
197809,69.5,-1.8
197909,71.7,0.4
198009,73.7,2.4
198109,69.2,-2.1
198209,71,-0.3
198309,76.5,5.2
198409,70.4,-0.9
198509,72.1,0.8
198609,68.9,-2.4
198709,69.8,-1.5
198809,71.4,0.1
198909,72.2,0.9
199009,71.3,0.0
199109,70.7,-0.6
199209,70.9,-0.4
199309,70.1,-1.2
199409,69.6,-1.7
199509,70.8,-0.5
199609,70.3,-1.0
199709,71.2,-0.1
199809,74.6,3.3
199909,74.6,3.3
200009,71.2,-0.1
200109,73.4,2.1
200209,75.4,4.1
200309,72.4,1.1
200409,72.9,1.6
200509,76.5,5.2
200609,70.6,-0.7
200709,75.4,4.1
200809,72.2,0.9
200909,70.8,-0.5
201009,75.3,4.0
201109,73.9,2.6
201209,72.4,1.1
201309,72.3,1.0
201409,73.7,2.4
201509,78.4,7.1
