Maryland, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,38,-3.1
189601,38.9,-2.2
189701,37.8,-3.3
189801,42.8,1.7
189901,41,-0.1
190001,42.7,1.6
190101,40.4,-0.7
190201,37.5,-3.6
190301,38.7,-2.4
190401,34.7,-6.4
190501,36.7,-4.4
190601,46.1,5.0
190701,43.9,2.8
190801,40.5,-0.6
190901,42.8,1.7
191001,39.4,-1.7
191101,44.6,3.5
191201,32.1,-9.0
191301,50.9,9.8
191401,43.3,2.2
191501,41.1,0.0
191601,47.2,6.1
191701,41.8,0.7
191801,28.7,-12.4
191901,44.4,3.3
192001,34.8,-6.3
192101,43.7,2.6
192201,37.7,-3.4
192301,41.8,0.7
192401,43.3,2.2
192501,39,-2.1
192601,40.6,-0.5
192701,40,-1.1
192801,43.9,2.8
192901,41.3,0.2
193001,42,0.9
193101,42.7,1.6
193201,52.1,11.0
193301,49.7,8.6
193401,45.6,4.5
193501,39.3,-1.8
193601,35.8,-5.3
193701,48.8,7.7
193801,40.9,-0.2
193901,43.1,2.0
194001,30.1,-11.0
194101,38.4,-2.7
194201,40.8,-0.3
194301,41.2,0.1
194401,43.1,2.0
194501,35.5,-5.6
194601,42.9,1.8
194701,47.7,6.6
194801,34.1,-7.0
194901,48.7,7.6
195001,54.4,13.3
195101,45.4,4.3
195201,46,4.9
195301,46.5,5.4
195401,42.3,1.2
195501,39.8,-1.3
195601,38.6,-2.5
195701,38.3,-2.8
195801,38.3,-2.8
195901,41.2,0.1
196001,42.3,1.2
196101,36.1,-5.0
196201,41.1,0.0
196301,38.4,-2.7
196401,43.6,2.5
196501,40.4,-0.7
196601,36.7,-4.4
196701,46.5,5.4
196801,37.1,-4.0
196901,38,-3.1
197001,34.8,-6.3
197101,36.4,-4.7
197201,44,2.9
197301,43.7,2.6
197401,46.6,5.5
197501,45.6,4.5
197601,37.8,-3.3
197701,29.8,-11.3
197801,35.2,-5.9
197901,39,-2.1
198001,39.6,-1.5
198101,35.4,-5.7
198201,34.4,-6.7
198301,41.1,0.0
198401,36.3,-4.8
198501,36,-5.1
198601,42.1,1.0
198701,38.9,-2.2
198801,37.2,-3.9
198901,46.1,5.0
199001,49.9,8.8
199101,43.7,2.6
199201,44.4,3.3
199301,44.6,3.5
199401,34.4,-6.7
199501,44,2.9
199601,38.9,-2.2
199701,42.3,1.2
199801,48.4,7.3
199901,45.9,4.8
200001,42,0.9
200101,40.7,-0.4
200201,48.4,7.3
200301,36.2,-4.9
200401,36.3,-4.8
200501,42.3,1.2
200601,50.5,9.4
200701,47.3,6.2
200801,44.6,3.5
200901,37.4,-3.7
201001,40.2,-0.9
201101,37.2,-3.9
201201,47.1,6.0
201301,44.7,3.6
201401,38,-3.1
201501,38.7,-2.4
201601,41.4,0.3
