Maine, Maximum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,41.9,1.8
189611,39.5,-0.6
189711,37.6,-2.5
189811,39.7,-0.4
189911,38.5,-1.6
190011,40.1,0.0
190111,34.5,-5.6
190211,43.7,3.6
190311,38.2,-1.9
190411,35,-5.1
190511,37.9,-2.2
190611,36.6,-3.5
190711,39.2,-0.9
190811,38.8,-1.3
190911,42.4,2.3
191011,36.9,-3.2
191111,37.6,-2.5
191211,40.6,0.5
191311,43.3,3.2
191411,37.4,-2.7
191511,40,-0.1
191611,37,-3.1
191711,34.5,-5.6
191811,39.6,-0.5
191911,37.8,-2.3
192011,35.3,-4.8
192111,32.8,-7.3
192211,38.2,-1.9
192311,41.9,1.8
192411,42.1,2.0
192511,39,-1.1
192611,40.3,0.2
192711,44,3.9
192811,38.3,-1.8
192911,39.4,-0.7
193011,42.8,2.7
193111,45.7,5.6
193211,38.9,-1.2
193311,33.8,-6.3
193411,41.4,1.3
193511,42.2,2.1
193611,34.6,-5.5
193711,39.5,-0.6
193811,43.1,3.0
193911,37.4,-2.7
194011,38,-2.1
194111,41.3,1.2
194211,39.9,-0.2
194311,39.3,-0.8
194411,41,0.9
194511,39.1,-1.0
194611,41.5,1.4
194711,39.4,-0.7
194811,45.4,5.3
194911,36.7,-3.4
195011,45.6,5.5
195111,38.9,-1.2
195211,40.7,0.6
195311,46.3,6.2
195411,41.2,1.1
195511,37.8,-2.3
195611,42.6,2.5
195711,43.4,3.3
195811,40.8,0.7
195911,40.1,0.0
196011,43.1,3.0
196111,41.9,1.8
196211,38.4,-1.7
196311,43.1,3.0
196411,40.5,0.4
196511,36.1,-4.0
196611,43.8,3.7
196711,38.4,-1.7
196811,35.9,-4.2
196911,42.4,2.3
197011,42.5,2.4
197111,38.6,-1.5
197211,36.5,-3.6
197311,37.9,-2.2
197411,40.8,0.7
197511,44.9,4.8
197611,36.2,-3.9
197711,43.5,3.4
197811,40.6,0.5
197911,45.1,5.0
198011,37.7,-2.4
198111,40.4,0.3
198211,43.7,3.6
198311,41,0.9
198411,43,2.9
198511,39.1,-1.0
198611,37.6,-2.5
198711,39.9,-0.2
198811,42.9,2.8
198911,38.5,-1.6
199011,41.5,1.4
199111,41.3,1.2
199211,39,-1.1
199311,41.5,1.4
199411,45.7,5.6
199511,38.1,-2.0
199611,38.5,-1.6
199711,38.6,-1.5
199811,39.9,-0.2
199911,45.5,5.4
200011,41.4,1.3
200111,44.9,4.8
200211,37.8,-2.3
200311,43.6,3.5
200411,41.3,1.2
200511,43.2,3.1
200611,46,5.9
200711,39.2,-0.9
200811,42.1,2.0
200911,47.4,7.3
201011,42.3,2.2
201111,48.5,8.4
201211,41,0.9
201311,40.6,0.5
201411,39.4,-0.7
201511,45.2,5.1
