Missouri, Maximum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189510,65.7,-3.8
189610,67,-2.5
189710,77.4,7.9
189810,63.4,-6.1
189910,75.4,5.9
190010,73.4,3.9
190110,72.7,3.2
190210,71,1.5
190310,68.2,-1.3
190410,69.8,0.3
190510,65.5,-4.0
190610,67.2,-2.3
190710,67.6,-1.9
190810,67.8,-1.7
190910,69.7,0.2
191010,71.7,2.2
191110,65.8,-3.7
191210,71.7,2.2
191310,64.8,-4.7
191410,68.4,-1.1
191510,72,2.5
191610,70.5,1.0
191710,62.6,-6.9
191810,70.8,1.3
191910,68.9,-0.6
192010,72.2,2.7
192110,70.3,0.8
192210,72.6,3.1
192310,63.1,-6.4
192410,75.3,5.8
192510,57.3,-12.2
192610,66.7,-2.8
192710,74,4.5
192810,72.2,2.7
192910,67.7,-1.8
193010,65.5,-4.0
193110,72,2.5
193210,68,-1.5
193310,67.9,-1.6
193410,73,3.5
193510,67.4,-2.1
193610,66.9,-2.6
193710,67.7,-1.8
193810,78.7,9.2
193910,74.7,5.2
194010,76.3,6.8
194110,69.8,0.3
194210,69.6,0.1
194310,67.8,-1.7
194410,72.4,2.9
194510,67.8,-1.7
194610,73.3,3.8
194710,76.7,7.2
194810,69.1,-0.4
194910,70.1,0.6
195010,76.2,6.7
195110,68.6,-0.9
195210,68.9,-0.6
195310,74.4,4.9
195410,67.7,-1.8
195510,69.7,0.2
195610,76.9,7.4
195710,65.2,-4.3
195810,70.7,1.2
195910,65.6,-3.9
196010,70.3,0.8
196110,70.3,0.8
196210,70.2,0.7
196310,81.4,11.9
196410,69.2,-0.3
196510,69.3,-0.2
196610,68.1,-1.4
196710,68,-1.5
196810,69.4,-0.1
196910,66.1,-3.4
197010,65.3,-4.2
197110,74.6,5.1
197210,64.4,-5.1
197310,72.6,3.1
197410,69.5,0.0
197510,71.9,2.4
197610,63.1,-6.4
197710,67.4,-2.1
197810,69.2,-0.3
197910,71.4,1.9
198010,68.5,-1.0
198110,66.3,-3.2
198210,69.4,-0.1
198310,68.8,-0.7
198410,68,-1.5
198510,68.6,-0.9
198610,66.9,-2.6
198710,65,-4.5
198810,63.7,-5.8
198910,71.2,1.7
199010,68.5,-1.0
199110,70.5,1.0
199210,69.2,-0.3
199310,64.8,-4.7
199410,69.5,0.0
199510,71.3,1.8
199610,68.8,-0.7
199710,68.3,-1.2
199810,70.1,0.6
199910,71.2,1.7
200010,71.8,2.3
200110,67.9,-1.6
200210,63.3,-6.2
200310,69.7,0.2
200410,68.9,-0.6
200510,68.8,-0.7
200610,65.5,-4.0
200710,71.5,2.0
200810,67.6,-1.9
200910,59.9,-9.6
201010,72.6,3.1
201110,71,1.5
201210,65.7,-3.8
201310,67.4,-2.1
201410,69.4,-0.1
201510,69.6,0.1
