Mississippi, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,88.8,-1.0
189606,89.5,-0.3
189706,93,3.2
189806,91.9,2.1
189906,91.6,1.8
190006,86,-3.8
190106,92.7,2.9
190206,94.4,4.6
190306,85.2,-4.6
190406,90.8,1.0
190506,90.4,0.6
190606,91.3,1.5
190706,88.3,-1.5
190806,90,0.2
190906,88.7,-1.1
191006,87.1,-2.7
191106,94.1,4.3
191206,85,-4.8
191306,91.2,1.4
191406,96.4,6.6
191506,90.7,0.9
191606,88.5,-1.3
191706,91.3,1.5
191806,93.2,3.4
191906,88.4,-1.4
192006,88.5,-1.3
192106,91.7,1.9
192206,90.2,0.4
192306,87.7,-2.1
192406,91.5,1.7
192506,93.2,3.4
192606,90.5,0.7
192706,88.6,-1.2
192806,86.6,-3.2
192906,89.6,-0.2
193006,91.3,1.5
193106,92.7,2.9
193206,91.5,1.7
193306,91.8,2.0
193406,91.9,2.1
193506,88.1,-1.7
193606,94.7,4.9
193706,91.1,1.3
193806,88.7,-1.1
193906,89.3,-0.5
194006,87.3,-2.5
194106,90.2,0.4
194206,89.8,0.0
194306,93.7,3.9
194406,93.3,3.5
194506,89.4,-0.4
194606,87.1,-2.7
194706,88.8,-1.0
194806,92.4,2.6
194906,89.1,-0.7
195006,88.7,-1.1
195106,90.2,0.4
195206,95.3,5.5
195306,95.4,5.6
195406,93.1,3.3
195506,87.1,-2.7
195606,87.9,-1.9
195706,88.8,-1.0
195806,88.9,-0.9
195906,87.6,-2.2
196006,91.1,1.3
196106,85.6,-4.2
196206,88.6,-1.2
196306,90.8,1.0
196406,90.5,0.7
196506,88.7,-1.1
196606,88.3,-1.5
196706,89.2,-0.6
196806,90.6,0.8
196906,91,1.2
197006,87.9,-1.9
197106,91.2,1.4
197206,89.3,-0.5
197306,89.7,-0.1
197406,85.5,-4.3
197506,87.7,-2.1
197606,86.4,-3.4
197706,93.3,3.5
197806,89.6,-0.2
197906,87.8,-2.0
198006,90.5,0.7
198106,90.6,0.8
198206,88.6,-1.2
198306,85.2,-4.6
198406,90.1,0.3
198506,90.1,0.3
198606,89.9,0.1
198706,88.3,-1.5
198806,91.6,1.8
198906,86,-3.8
199006,90.3,0.5
199106,88.2,-1.6
199206,86.6,-3.2
199306,88.6,-1.2
199406,88.8,-1.0
199506,87.5,-2.3
199606,88,-1.8
199706,85.1,-4.7
199806,92.3,2.5
199906,88.3,-1.5
200006,89.2,-0.6
200106,87,-2.8
200206,88.8,-1.0
200306,86.5,-3.3
200406,86.4,-3.4
200506,88.2,-1.6
200606,91.4,1.6
200706,91.3,1.5
200806,90.4,0.6
200906,91.9,2.1
201006,92.6,2.8
201106,94.2,4.4
201206,90,0.2
201306,89.1,-0.7
201406,87.8,-2.0
201506,89.2,-0.6
