North Dakota, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,79.9,-2.4
189607,80.1,-2.2
189707,81.5,-0.8
189807,80.8,-1.5
189907,81.8,-0.5
190007,82.1,-0.2
190107,83.3,1.0
190207,80.3,-2.0
190307,79.4,-2.9
190407,77.7,-4.6
190507,78,-4.3
190607,80.4,-1.9
190707,78.3,-4.0
190807,82.8,0.5
190907,78.6,-3.7
191007,85,2.7
191107,80,-2.3
191207,78,-4.3
191307,78.7,-3.6
191407,85.8,3.5
191507,73.5,-8.8
191607,84.7,2.4
191707,85.9,3.6
191807,79.3,-3.0
191907,85.7,3.4
192007,81.5,-0.8
192107,84.7,2.4
192207,78.8,-3.5
192307,83.5,1.2
192407,78.8,-3.5
192507,80.7,-1.6
192607,84.8,2.5
192707,77.5,-4.8
192807,78.8,-3.5
192907,86.3,4.0
193007,87.6,5.3
193107,84.6,2.3
193207,84.3,2.0
193307,86.6,4.3
193407,87.1,4.8
193507,86.4,4.1
193607,96.6,14.3
193707,84.3,2.0
193807,82.8,0.5
193907,87.6,5.3
194007,85.7,3.4
194107,84.6,2.3
194207,79.8,-2.5
194307,83.6,1.3
194407,81,-1.3
194507,81.3,-1.0
194607,84,1.7
194707,83.9,1.6
194807,81.3,-1.0
194907,83.3,1.0
195007,78.7,-3.6
195107,82.1,-0.2
195207,81.6,-0.7
195307,80.6,-1.7
195407,83.2,0.9
195507,83.7,1.4
195607,78,-4.3
195707,86.8,4.5
195807,77.5,-4.8
195907,85.5,3.2
196007,86.7,4.4
196107,82.9,0.6
196207,77.2,-5.1
196307,84.3,2.0
196407,84.2,1.9
196507,80.1,-2.2
196607,84.7,2.4
196707,84,1.7
196807,81.3,-1.0
196907,79,-3.3
197007,84.7,2.4
197107,78.5,-3.8
197207,77.6,-4.7
197307,82.2,-0.1
197407,87.4,5.1
197507,85.6,3.3
197607,84.6,2.3
197707,83.6,1.3
197807,80.5,-1.8
197907,82.1,-0.2
198007,85.4,3.1
198107,83.4,1.1
198207,82.1,-0.2
198307,85.4,3.1
198407,84.4,2.1
198507,84.5,2.2
198607,80.5,-1.8
198707,81.9,-0.4
198807,87.5,5.2
198907,87.6,5.3
199007,81.1,-1.2
199107,81.8,-0.5
199207,73.2,-9.1
199307,72.2,-10.1
199407,78.4,-3.9
199507,79.4,-2.9
199607,78.8,-3.5
199707,80,-2.3
199807,83,0.7
199907,81.6,-0.7
200007,81.8,-0.5
200107,82.1,-0.2
200207,85.1,2.8
200307,83.2,0.9
200407,79.8,-2.5
200507,82.4,0.1
200607,89.5,7.2
200707,86.5,4.2
200807,83.1,0.8
200907,76.9,-5.4
201007,81.3,-1.0
201107,82.6,0.3
201207,87.3,5.0
201307,80.5,-1.8
201407,79,-3.3
201507,82.3,0.0
