North Dakota, Maximum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189511,28.6,-7.3
189611,13,-22.9
189711,29.2,-6.7
189811,31.1,-4.8
189911,45.5,9.6
190011,27.7,-8.2
190111,37.1,1.2
190211,34.9,-1.0
190311,33.8,-2.1
190411,47.3,11.4
190511,40.7,4.8
190611,33,-2.9
190711,40.7,4.8
190811,39.6,3.7
190911,38.2,2.3
191011,30.9,-5.0
191111,25.2,-10.7
191211,40.3,4.4
191311,42.7,6.8
191411,41.1,5.2
191511,36.3,0.4
191611,38.6,2.7
191711,46.8,10.9
191811,36.3,0.4
191911,23,-12.9
192011,35.8,-0.1
192111,28.3,-7.6
192211,36.7,0.8
192311,45.7,9.8
192411,35.6,-0.3
192511,38.3,2.4
192611,27.4,-8.5
192711,27.1,-8.8
192811,41.3,5.4
192911,32,-3.9
193011,38.6,2.7
193111,38.9,3.0
193211,33.2,-2.7
193311,36,0.1
193411,43.2,7.3
193511,25.9,-10.0
193611,36.7,0.8
193711,33.2,-2.7
193811,32.2,-3.7
193911,47.3,11.4
194011,28.5,-7.4
194111,37.6,1.7
194211,37.8,1.9
194311,34.7,-1.2
194411,32,-3.9
194511,29.8,-6.1
194611,35.1,-0.8
194711,29.3,-6.6
194811,35.7,-0.2
194911,47.2,11.3
195011,30.5,-5.4
195111,30.4,-5.5
195211,39.7,3.8
195311,44,8.1
195411,45.4,9.5
195511,23.9,-12.0
195611,37.1,1.2
195711,36,0.1
195811,36.2,0.3
195911,27.9,-8.0
196011,38,2.1
196111,39.3,3.4
196211,42.9,7.0
196311,43.9,8.0
196411,35.3,-0.6
196511,36.4,0.5
196611,30.8,-5.1
196711,37,1.1
196811,37.5,1.6
196911,40.7,4.8
197011,32,-3.9
197111,35.6,-0.3
197211,32.6,-3.3
197311,30.2,-5.7
197411,37.5,1.6
197511,39.9,4.0
197611,35.8,-0.1
197711,34.7,-1.2
197811,32,-3.9
197911,34.7,-1.2
198011,42.8,6.9
198111,45.3,9.4
198211,32.5,-3.4
198311,36.4,0.5
198411,36.9,1.0
198511,22.4,-13.5
198611,30.8,-5.1
198711,44.8,8.9
198811,35.8,-0.1
198911,36.1,0.2
199011,41.9,6.0
199111,30,-5.9
199211,31,-4.9
199311,33,-2.9
199411,39.2,3.3
199511,30.8,-5.1
199611,23.1,-12.8
199711,33.8,-2.1
199811,35.6,-0.3
199911,50,14.1
200011,29.2,-6.7
200111,48.5,12.6
200211,39,3.1
200311,29,-6.9
200411,44.8,8.9
200511,39.8,3.9
200611,39.7,3.8
200711,39.6,3.7
200811,38,2.1
200911,48.7,12.8
201011,36.5,0.6
201111,41.6,5.7
201211,36.2,0.3
201311,36.5,0.6
201411,29.4,-6.5
201511,42.7,6.8
