New Hampshire, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,75.2,-3.3
189607,78.6,0.1
189707,78.9,0.4
189807,79.4,0.9
189907,77.9,-0.6
190007,79.3,0.8
190107,79.9,1.4
190207,73.4,-5.1
190307,75.3,-3.2
190407,77.2,-1.3
190507,78,-0.5
190607,78,-0.5
190707,77.6,-0.9
190807,81.6,3.1
190907,76,-2.5
191007,80.1,1.6
191107,83,4.5
191207,79.1,0.6
191307,79.6,1.1
191407,74.9,-3.6
191507,74.9,-3.6
191607,79.1,0.6
191707,78.8,0.3
191807,77.7,-0.8
191907,80.5,2.0
192007,75.8,-2.7
192107,81.9,3.4
192207,77.7,-0.8
192307,75.2,-3.3
192407,78.8,0.3
192507,75,-3.5
192607,77.4,-1.1
192707,77.3,-1.2
192807,78.5,0.0
192907,79,0.5
193007,77.4,-1.1
193107,80.3,1.8
193207,76,-2.5
193307,78,-0.5
193407,80,1.5
193507,80.3,1.8
193607,76.9,-1.6
193707,80,1.5
193807,76.6,-1.9
193907,79.3,0.8
194007,78.6,0.1
194107,79.4,0.9
194207,77.3,-1.2
194307,79.4,0.9
194407,80,1.5
194507,77.8,-0.7
194607,78.9,0.4
194707,80.2,1.7
194807,80,1.5
194907,82.2,3.7
195007,79.6,1.1
195107,78.1,-0.4
195207,83.7,5.2
195307,80,1.5
195407,76.1,-2.4
195507,84.4,5.9
195607,74.8,-3.7
195707,77.4,-1.1
195807,76.6,-1.9
195907,81.4,2.9
196007,77,-1.5
196107,77.1,-1.4
196207,75.1,-3.4
196307,80.7,2.2
196407,79.1,0.6
196507,76.8,-1.7
196607,79.9,1.4
196707,78.4,-0.1
196807,80.3,1.8
196907,75.7,-2.8
197007,80.1,1.6
197107,79.4,0.9
197207,78.1,-0.4
197307,79.7,1.2
197407,77.7,-0.8
197507,80.9,2.4
197607,76.1,-2.4
197707,78.3,-0.2
197807,79.3,0.8
197907,80,1.5
198007,79.1,0.6
198107,78.2,-0.3
198207,79.6,1.1
198307,81,2.5
198407,77.8,-0.7
198507,79.9,1.4
198607,75.1,-3.4
198707,79.1,0.6
198807,80.7,2.2
198907,78.7,0.2
199007,78.8,0.3
199107,78.5,0.0
199207,74.2,-4.3
199307,79.4,0.9
199407,80.9,2.4
199507,81,2.5
199607,76.2,-2.3
199707,78,-0.5
199807,78.5,0.0
199907,81.3,2.8
200007,74.8,-3.7
200107,76.5,-2.0
200207,79.5,1.0
200307,79,0.5
200407,75.9,-2.6
200507,80.2,1.7
200607,81.2,2.7
200707,76.6,-1.9
200807,79.2,0.7
200907,73.8,-4.7
201007,82.1,3.6
201107,81.3,2.8
201207,81.4,2.9
201307,81,2.5
201407,79.1,0.6
201507,78.5,0.0
