Tennessee, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,58.4,-1.5
189603,54.8,-5.1
189703,62.5,2.6
189803,64.1,4.2
189903,58.6,-1.3
190003,56.3,-3.6
190103,59.8,-0.1
190203,59.4,-0.5
190303,63.2,3.3
190403,61.6,1.7
190503,66.3,6.4
190603,52.2,-7.7
190703,69.7,9.8
190803,66.6,6.7
190903,59.5,-0.4
191003,70.3,10.4
191103,62.6,2.7
191203,54.4,-5.5
191303,60,0.1
191403,54.3,-5.6
191503,49.5,-10.4
191603,59.4,-0.5
191703,59.7,-0.2
191803,68.4,8.5
191903,61.7,1.8
192003,58.6,-1.3
192103,70.7,10.8
192203,60.5,0.6
192303,60.4,0.5
192403,52.4,-7.5
192503,64,4.1
192603,53.4,-6.5
192703,60.1,0.2
192803,59.7,-0.2
192903,64.1,4.2
193003,57.7,-2.2
193103,52.5,-7.4
193203,54.8,-5.1
193303,58.8,-1.1
193403,58.1,-1.8
193503,66.6,6.7
193603,64.5,4.6
193703,56,-3.9
193803,66.9,7.0
193903,63.1,3.2
194003,56.9,-3.0
194103,54,-5.9
194203,61.1,1.2
194303,56.4,-3.5
194403,59.9,0.0
194503,69.3,9.4
194603,66.9,7.0
194703,50.4,-9.5
194803,62.5,2.6
194903,58.8,-1.1
195003,57.1,-2.8
195103,58.4,-1.5
195203,58.5,-1.4
195303,62.5,2.6
195403,58.4,-1.5
195503,61.4,1.5
195603,60.4,0.5
195703,57.1,-2.8
195803,51.3,-8.6
195903,58.8,-1.1
196003,44.8,-15.1
196103,61.6,1.7
196203,53.8,-6.1
196303,65.6,5.7
196403,60.2,0.3
196503,52.5,-7.4
196603,61.3,1.4
196703,66,6.1
196803,60.1,0.2
196903,52.4,-7.5
197003,56.7,-3.2
197103,55,-4.9
197203,59.6,-0.3
197303,65.3,5.4
197403,64.8,4.9
197503,55.8,-4.1
197603,64.7,4.8
197703,64.9,5.0
197803,56.1,-3.8
197903,61.1,1.2
198003,55.3,-4.6
198103,58,-1.9
198203,62.8,2.9
198303,58.6,-1.3
198403,56.5,-3.4
198503,63.2,3.3
198603,62.6,2.7
198703,62.7,2.8
198803,61.1,1.2
198903,62.6,2.7
199003,61.5,1.6
199103,62,2.1
199203,60,0.1
199303,54.8,-5.1
199403,60.6,0.7
199503,64.2,4.3
199603,55,-4.9
199703,65,5.1
199803,57.6,-2.3
199903,56.2,-3.7
200003,65.3,5.4
200103,55.1,-4.8
200203,60.2,0.3
200303,62.8,2.9
200403,64.1,4.2
200503,58.4,-1.5
200603,61.4,1.5
200703,69.6,9.7
200803,60.5,0.6
200903,61.2,1.3
201003,57.5,-2.4
201103,60.9,1.0
201203,72.2,12.3
201303,52.6,-7.3
201403,57.4,-2.5
201503,60.1,0.2
