Tennessee, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,87.6,2.0
189606,83.8,-1.8
189706,88,2.4
189806,89.1,3.5
189906,88.8,3.2
190006,82.8,-2.8
190106,88.5,2.9
190206,87.9,2.3
190306,79.9,-5.7
190406,85.4,-0.2
190506,86.4,0.8
190606,86.5,0.9
190706,83.2,-2.4
190806,85.3,-0.3
190906,85.2,-0.4
191006,81.7,-3.9
191106,89.6,4.0
191206,82.2,-3.4
191306,88.7,3.1
191406,93,7.4
191506,84.5,-1.1
191606,83.3,-2.3
191706,84.1,-1.5
191806,87,1.4
191906,86.7,1.1
192006,84.2,-1.4
192106,89.8,4.2
192206,86.9,1.3
192306,84.7,-0.9
192406,86.4,0.8
192506,91.3,5.7
192606,84.7,-0.9
192706,82.7,-2.9
192806,80.4,-5.2
192906,85,-0.6
193006,87.4,1.8
193106,89.9,4.3
193206,87.6,2.0
193306,89.4,3.8
193406,88.9,3.3
193506,82.5,-3.1
193606,92.5,6.9
193706,87.2,1.6
193806,82.6,-3.0
193906,85.8,0.2
194006,85,-0.6
194106,87.7,2.1
194206,87.5,1.9
194306,90.4,4.8
194406,90.4,4.8
194506,83.8,-1.8
194606,84.9,-0.7
194706,84.1,-1.5
194806,87.4,1.8
194906,85.3,-0.3
195006,84.4,-1.2
195106,85.3,-0.3
195206,93.5,7.9
195306,91.1,5.5
195406,88.6,3.0
195506,81,-4.6
195606,85.4,-0.2
195706,85.4,-0.2
195806,86,0.4
195906,84.1,-1.5
196006,84.9,-0.7
196106,81.9,-3.7
196206,84.3,-1.3
196306,84.6,-1.0
196406,87.2,1.6
196506,83.3,-2.3
196606,85.6,0.0
196706,84.3,-1.3
196806,86.1,0.5
196906,86.4,0.8
197006,83,-2.6
197106,87.4,1.8
197206,83.2,-2.4
197306,85.8,0.2
197406,80.1,-5.5
197506,84.7,-0.9
197606,82.4,-3.2
197706,86.3,0.7
197806,85.8,0.2
197906,83.3,-2.3
198006,85.6,0.0
198106,86.5,0.9
198206,83.2,-2.4
198306,83.4,-2.2
198406,87.9,2.3
198506,84.7,-0.9
198606,86.6,1.0
198706,86.3,0.7
198806,89,3.4
198906,81.5,-4.1
199006,85.8,0.2
199106,84,-1.6
199206,80.4,-5.2
199306,84.9,-0.7
199406,85.9,0.3
199506,83.1,-2.5
199606,84.2,-1.4
199706,79.5,-6.1
199806,86.6,1.0
199906,84.7,-0.9
200006,85,-0.6
200106,83.1,-2.5
200206,86.5,0.9
200306,81.2,-4.4
200406,83.1,-2.5
200506,84.5,-1.1
200606,85.1,-0.5
200706,88.1,2.5
200806,87.1,1.5
200906,86.8,1.2
201006,89,3.4
201106,87.7,2.1
201206,86.8,1.2
201306,84.5,-1.1
201406,84.5,-1.1
201506,86.4,0.8
