Texas, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,50.2,-12.0
189602,63.4,1.2
189702,64.5,2.3
189802,65.7,3.5
189902,52.4,-9.8
190002,59.4,-2.8
190102,58.1,-4.1
190202,60.1,-2.1
190302,53.6,-8.6
190402,68.4,6.2
190502,48.8,-13.4
190602,59.7,-2.5
190702,68.1,5.9
190802,62.1,-0.1
190902,67,4.8
191002,59.7,-2.5
191102,63,0.8
191202,58.6,-3.6
191302,56.7,-5.5
191402,59.3,-2.9
191502,63.3,1.1
191602,66.6,4.4
191702,66.1,3.9
191802,65,2.8
191902,59.7,-2.5
192002,62.8,0.6
192102,65.2,3.0
192202,65,2.8
192302,57.2,-5.0
192402,59.2,-3.0
192502,69.8,7.6
192602,68.5,6.3
192702,67.2,5.0
192802,60.4,-1.8
192902,54.1,-8.1
193002,69.4,7.2
193102,62,-0.2
193202,67.7,5.5
193302,59.8,-2.4
193402,63.3,1.1
193502,62.7,0.5
193602,59.1,-3.1
193702,62.2,0.0
193802,65,2.8
193902,60.3,-1.9
194002,61,-1.2
194102,57.8,-4.4
194202,59.9,-2.3
194302,68,5.8
194402,62.9,0.7
194502,63.8,1.6
194602,65.3,3.1
194702,57.6,-4.6
194802,58.6,-3.6
194902,61.3,-0.9
195002,66,3.8
195102,63,0.8
195202,65.9,3.7
195302,62.2,0.0
195402,70.7,8.5
195502,61,-1.2
195602,61.6,-0.6
195702,66.1,3.9
195802,55.6,-6.6
195902,59.6,-2.6
196002,56.1,-6.1
196102,62.4,0.2
196202,70.5,8.3
196302,62.5,0.3
196402,56.3,-5.9
196502,58.4,-3.8
196602,56.9,-5.3
196702,62.1,-0.1
196802,56.7,-5.5
196902,61,-1.2
197002,61.9,-0.3
197102,64,1.8
197202,65.1,2.9
197302,57.8,-4.4
197402,66.7,4.5
197502,60.6,-1.6
197602,71.2,9.0
197702,63.8,1.6
197802,51.2,-11.0
197902,57.5,-4.7
198002,61,-1.2
198102,62.4,0.2
198202,58.5,-3.7
198302,59.9,-2.3
198402,65.1,2.9
198502,56.7,-5.5
198602,66.2,4.0
198702,61.1,-1.1
198802,61.5,-0.7
198902,56,-6.2
199002,66.4,4.2
199102,65.4,3.2
199202,64.5,2.3
199302,60.9,-1.3
199402,62.1,-0.1
199502,66.5,4.3
199602,67.1,4.9
199702,59.2,-3.0
199802,62.9,0.7
199902,70.9,8.7
200002,71,8.8
200102,63.5,1.3
200202,60.6,-1.6
200302,59.3,-2.9
200402,58.6,-3.6
200502,61.3,-0.9
200602,64.2,2.0
200702,62.2,0.0
200802,68.4,6.2
200902,70.5,8.3
201002,54,-8.2
201102,62.9,0.7
201202,62.9,0.7
201302,64.9,2.7
201402,61.1,-1.1
201502,60.4,-1.8
201602,68.8,6.6
