Texas, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,89.4,-2.2
189606,95.5,3.9
189706,92.2,0.6
189806,90.2,-1.4
189906,90.8,-0.8
190006,93.6,2.0
190106,94.8,3.2
190206,94.9,3.3
190306,84.7,-6.9
190406,89.1,-2.5
190506,90.5,-1.1
190606,92.4,0.8
190706,91.9,0.3
190806,92.2,0.6
190906,92.4,0.8
191006,92.8,1.2
191106,96.5,4.9
191206,89.8,-1.8
191306,87.8,-3.8
191406,90.7,-0.9
191506,92.7,1.1
191606,94.6,3.0
191706,94.8,3.2
191806,95,3.4
191906,86.6,-5.0
192006,89.4,-2.2
192106,89.2,-2.4
192206,90.3,-1.3
192306,91.8,0.2
192406,94.8,3.2
192506,95.6,4.0
192606,91.5,-0.1
192706,90.8,-0.8
192806,91.6,0.0
192906,93,1.4
193006,90.9,-0.7
193106,93,1.4
193206,91.9,0.3
193306,93.6,2.0
193406,97.1,5.5
193506,89.2,-2.4
193606,94.7,3.1
193706,93,1.4
193806,92.1,0.5
193906,93.6,2.0
194006,88.5,-3.1
194106,87.4,-4.2
194206,92,0.4
194306,91.8,0.2
194406,92.2,0.6
194506,92.5,0.9
194606,90.6,-1.0
194706,92.7,1.1
194806,94.7,3.1
194906,91.6,0.0
195006,90.9,-0.7
195106,91.9,0.3
195206,93.9,2.3
195306,98.4,6.8
195406,93.1,1.5
195506,91,-0.6
195606,95,3.4
195706,89.6,-2.0
195806,93.5,1.9
195906,91.4,-0.2
196006,94.3,2.7
196106,89,-2.6
196206,90.2,-1.4
196306,92,0.4
196406,91.8,0.2
196506,89.9,-1.7
196606,89.7,-1.9
196706,92.2,0.6
196806,89.8,-1.8
196906,91.4,-0.2
197006,89.9,-1.7
197106,92.2,0.6
197206,91.2,-0.4
197306,89.2,-2.4
197406,91.8,0.2
197506,90.4,-1.2
197606,90.3,-1.3
197706,92.6,1.0
197806,92.3,0.7
197906,88.6,-3.0
198006,95.7,4.1
198106,90.2,-1.4
198206,89.9,-1.7
198306,88.7,-2.9
198406,91.5,-0.1
198506,90,-1.6
198606,88.8,-2.8
198706,87.9,-3.7
198806,90.9,-0.7
198906,89.2,-2.4
199006,96.1,4.5
199106,90.9,-0.7
199206,89.3,-2.3
199306,89.7,-1.9
199406,94.4,2.8
199506,89.4,-2.2
199606,93.5,1.9
199706,88.8,-2.8
199806,97,5.4
199906,89.7,-1.9
200006,88.6,-3.0
200106,93.2,1.6
200206,92.4,0.8
200306,90,-1.6
200406,89.6,-2.0
200506,92.9,1.3
200606,93.9,2.3
200706,88.5,-3.1
200806,95.5,3.9
200906,94.3,2.7
201006,94.2,2.6
201106,99,7.4
201206,95.1,3.5
201306,94,2.4
201406,91.4,-0.2
201506,89.9,-1.7
