Utah, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,46.2,-2.5
189603,48.2,-0.5
189703,39.4,-9.3
189803,42.9,-5.8
189903,47.1,-1.6
190003,56.5,7.8
190103,47.3,-1.4
190203,42.6,-6.1
190303,45,-3.7
190403,49.3,0.6
190503,50.5,1.8
190603,45.1,-3.6
190703,50.4,1.7
190803,50.2,1.5
190903,46,-2.7
191003,57.7,9.0
191103,51.3,2.6
191203,44.5,-4.2
191303,45,-3.7
191403,51.9,3.2
191503,49.1,0.4
191603,52.8,4.1
191703,41.3,-7.4
191803,52.5,3.8
191903,46.6,-2.1
192003,44.9,-3.8
192103,52.8,4.1
192203,43.6,-5.1
192303,43.7,-5.0
192403,41.7,-7.0
192503,51.7,3.0
192603,51.5,2.8
192703,47.4,-1.3
192803,51.2,2.5
192903,47.3,-1.4
193003,49.1,0.4
193103,48.8,0.1
193203,46.3,-2.4
193303,48.9,0.2
193403,59.7,11.0
193503,46.4,-2.3
193603,50,1.3
193703,46.7,-2.0
193803,46.8,-1.9
193903,49.7,1.0
194003,53.3,4.6
194103,49.5,0.8
194203,44.9,-3.8
194303,48.9,0.2
194403,43.8,-4.9
194503,45.7,-3.0
194603,51.5,2.8
194703,52.8,4.1
194803,41.1,-7.6
194903,46.9,-1.8
195003,49,0.3
195103,47.4,-1.3
195203,38.9,-9.8
195303,52.1,3.4
195403,46.8,-1.9
195503,45.2,-3.5
195603,51.9,3.2
195703,49.7,1.0
195803,43.4,-5.3
195903,50.4,1.7
196003,51.4,2.7
196103,48.2,-0.5
196203,43.7,-5.0
196303,48.3,-0.4
196403,42,-6.7
196503,45.5,-3.2
196603,51.9,3.2
196703,52.7,4.0
196803,51.8,3.1
196903,43.9,-4.8
197003,46.5,-2.2
197103,49.1,0.4
197203,58.2,9.5
197303,42.8,-5.9
197403,53.4,4.7
197503,45.6,-3.1
197603,45.9,-2.8
197703,46.6,-2.1
197803,52.7,4.0
197903,46.3,-2.4
198003,45.4,-3.3
198103,48.9,0.2
198203,47.7,-1.0
198303,47.5,-1.2
198403,46.2,-2.5
198503,46.8,-1.9
198603,56.4,7.7
198703,47.7,-1.0
198803,48.7,0.0
198903,55.1,6.4
199003,52.8,4.1
199103,46.8,-1.9
199203,53,4.3
199303,51.6,2.9
199403,55.5,6.8
199503,50.6,1.9
199603,52.8,4.1
199703,55.7,7.0
199803,50.3,1.6
199903,55.6,6.9
200003,50.6,1.9
200103,52.8,4.1
200203,49.2,0.5
200303,51.8,3.1
200403,59.3,10.6
200503,50.6,1.9
200603,47.3,-1.4
200703,56.3,7.6
200803,49.7,1.0
200903,52.2,3.5
201003,49.7,1.0
201103,50.8,2.1
201203,55.7,7.0
201303,53.5,4.8
201403,53.9,5.2
201503,58.5,9.8
201603,54.5,5.8
