Washington, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,41.8,1.5
189602,43.7,3.4
189702,39.6,-0.7
189802,43.8,3.5
189902,35,-5.3
190002,38.9,-1.4
190102,39,-1.3
190202,41.5,1.2
190302,37.3,-3.0
190402,36.8,-3.5
190502,39.3,-1.0
190602,41,0.7
190702,38.8,-1.5
190802,38.9,-1.4
190902,39.9,-0.4
191002,34,-6.3
191102,37,-3.3
191202,41.8,1.5
191302,35,-5.3
191402,38.3,-2.0
191502,42.8,2.5
191602,37.6,-2.7
191702,36.5,-3.8
191802,37.7,-2.6
191902,38.1,-2.2
192002,42,1.7
192102,40.1,-0.2
192202,34.3,-6.0
192302,34.8,-5.5
192402,45.6,5.3
192502,44.1,3.8
192602,45,4.7
192702,40.7,0.4
192802,41.6,1.3
192902,32.2,-8.1
193002,42.8,2.5
193102,41.4,1.1
193202,37.3,-3.0
193302,33.2,-7.1
193402,47.6,7.3
193502,42.9,2.6
193602,27.5,-12.8
193702,35.7,-4.6
193802,39.2,-1.1
193902,37.1,-3.2
194002,41.6,1.3
194102,45.4,5.1
194202,40.5,0.2
194302,41.8,1.5
194402,40.3,0.0
194502,42.1,1.8
194602,41.1,0.8
194702,44.8,4.5
194802,37.7,-2.6
194902,35.5,-4.8
195002,36.8,-3.5
195102,40,-0.3
195202,39.7,-0.6
195302,43.7,3.4
195402,41.2,0.9
195502,37.9,-2.4
195602,31.9,-8.4
195702,37.9,-2.4
195802,46.7,6.4
195902,38.3,-2.0
196002,40.8,0.5
196102,43.8,3.5
196202,41.6,1.3
196302,46,5.7
196402,42.6,2.3
196502,41.9,1.6
196602,41.5,1.2
196702,45.4,5.1
196802,46.9,6.6
196902,36.7,-3.6
197002,44.8,4.5
197102,41.8,1.5
197202,39.4,-0.9
197302,42.7,2.4
197402,42.3,2.0
197502,37.2,-3.1
197602,40.6,0.3
197702,45.5,5.2
197802,41.8,1.5
197902,37.8,-2.5
198002,39.4,-0.9
198102,42.7,2.4
198202,40.1,-0.2
198302,44.1,3.8
198402,42.2,1.9
198502,36.7,-3.6
198602,40.6,0.3
198702,44,3.7
198802,44.8,4.5
198902,33.3,-7.0
199002,39.5,-0.8
199102,48.4,8.1
199202,46.4,6.1
199302,37.6,-2.7
199402,38.1,-2.2
199502,45.8,5.5
199602,40.1,-0.2
199702,41.3,1.0
199802,44,3.7
199902,41.3,1.0
200002,42,1.7
200102,39.9,-0.4
200202,42.3,2.0
200302,43.6,3.3
200402,42,1.7
200502,46.5,6.2
200602,41.2,0.9
200702,41.7,1.4
200802,42.8,2.5
200902,40.5,0.2
201002,45.6,5.3
201102,38.6,-1.7
201202,41.4,1.1
201302,42.5,2.2
201402,36.3,-4.0
201502,48.3,8.0
